"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Groningen"
"Nummer";;"HSB1"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Groningen";"Stadskanaal";"Veendam";"Pekela";"Oldambt";"Westerwolde";"Midden-Groningen";"Het Hogeland";"Westerkwartier";"Eemsdelta"
;;"3";"Boutkan, E.";"67";"52";"1";"1";"1";"0";"0";"3";"2";"6";"1"
;;"4";"Elfilali, I.";"312";"282";"1";"4";"0";"1";"0";"8";"6";"9";"1"
;;"5";"Hagoort, M.B.J.";"23";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Frijters, R.M.J.";"186";"172";"2";"1";"0";"0";"1";"3";"0";"6";"1"
;;"7";"de Boer, R.W.";"18";"17";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"8";"van der Lugt, S.";"127";"114";"0";"1";"0";"1";"0";"2";"3";"4";"2"
;;"9";"Beijnon, B.";"45";"38";"1";"0";"0";"1";"1";"0";"0";"4";"0"
;;"10";"Twickler, R.";"1574";"1231";"15";"21";"4";"17";"19";"70";"55";"99";"43"
;;"11";"Ercan, C.";"26";"23";"0";"0";"0";"1";"0";"0";"1";"0";"1"
;;"12";"Hamel, J.E.R.";"25";"23";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"13";"van Ewijk, W.H.E.";"6";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"14";"van Laar, S.A.";"37";"34";"0";"0";"0";"0";"1";"0";"0";"0";"2"
;;"15";"Tai, M.T.";"7";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"16";"Pajak, V.L.";"15";"14";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"17";"Eigenhuis, F.";"12";"11";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"18";"Verbeek, E.L.I.";"14";"13";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Hemmes, B.J.A.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"20";"Elsinga, D.";"24";"21";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"21";"Dreteler, S.J.";"19";"16";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"11";"JA21";;;"2013";"967";"88";"83";"27";"119";"82";"173";"143";"209";"122"
;;"1";"Eerdmans, B.J.";"1442";"696";"69";"64";"19";"82";"63";"119";"100";"149";"81"
;;"2";"Nanninga, A.";"254";"146";"9";"12";"1";"14";"2";"19";"18";"14";"19"
;;"3";"Ceulemans, S.";"11";"6";"0";"0";"1";"0";"0";"0";"1";"1";"2"
;;"4";"Bakker-Derks, E.H.M.";"39";"20";"0";"0";"0";"1";"10";"2";"3";"1";"2"
;;"5";"van Doorn, D.M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Goudzwaard, M.";"31";"18";"0";"1";"0";"2";"0";"5";"0";"3";"2"
;;"7";"Schyns, P.F.M.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Uiterwijk, K.";"10";"6";"0";"0";"0";"0";"0";"0";"0";"3";"1"
;;"9";"Dijksterhuis, R.G.";"19";"6";"0";"0";"0";"0";"0";"4";"6";"1";"2"
;;"10";"van den Berg, D.J.";"6";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2"
;;"11";"Omlo, H.";"11";"1";"1";"1";"0";"0";"2";"2";"2";"1";"1"
;;"12";"Hesselink, S.W.J.";"4";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Nuijten, K.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"14";"Roos, S.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Soltani, M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"16";"Baten, L.C.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"21";"Lodders, I.A.G.";"7";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"22";"Vos, L.L.";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"24";"de Rijke, W.M.";"33";"14";"2";"2";"1";"1";"1";"6";"4";"1";"1"
;;"25";"Hogendoorn, G.A.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"6";"2";"0";"0";"0";"1";"1";"1";"0";"1";"0"
;;"27";"Bloemenkamp, J.H.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Waitz, J.W.A.";"52";"17";"1";"0";"0";"1";"0";"3";"2";"27";"1"
;;"29";"Veenvliet, A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"30";"Koetje, J.M.";"56";"10";"3";"1";"4";"16";"3";"9";"2";"3";"5"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"38";"Fortuijn, S.A.F.";"6";"3";"0";"1";"1";"0";"0";"0";"0";"0";"1"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"3280";"752";"355";"71";"74";"131";"88";"309";"489";"777";"234"
;;"1";"Stoffer, C.";"2923";"658";"326";"58";"61";"118";"72";"277";"448";"697";"208"
;;"2";"van Dijk, D.J.H.";"78";"22";"7";"2";"2";"4";"6";"7";"8";"13";"7"
;;"3";"Flach, A.J.";"27";"9";"3";"1";"1";"0";"0";"3";"2";"4";"4"
;;"4";"Middelkoop, P.N.";"54";"18";"4";"4";"2";"3";"2";"3";"7";"9";"2"
;;"5";"Vroegindeweij, W.J.";"21";"6";"1";"2";"7";"1";"0";"0";"2";"2";"0"
;;"6";"van der Maas, A.J.";"7";"1";"0";"0";"0";"1";"0";"0";"0";"5";"0"
;;"7";"van der Wind, H.J.";"8";"2";"1";"0";"0";"0";"1";"0";"0";"1";"3"
;;"8";"Both, D.D.";"3";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"9";"Kloosterman, J.";"7";"0";"1";"1";"0";"0";"0";"2";"1";"2";"0"
;;"10";"van Heijst, R.C.";"7";"2";"1";"1";"0";"1";"0";"0";"1";"1";"0"
;;"11";"van der Wulp, A.D.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"12";"Polinder, H.J.";"8";"4";"1";"1";"0";"0";"0";"1";"0";"0";"1"
;;"13";"Slingerland, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"van Duijn, W.J.";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"15";"Barth, L.G.I.";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"16";"Lukasse, J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"17";"Tanis, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Bosma, E.G.";"5";"2";"0";"0";"0";"1";"0";"1";"1";"0";"0"
;;"19";"Schipaanboord, G.P.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"20";"Veldman, J.D.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"21";"Hartog, J.";"81";"11";"7";"0";"0";"1";"2";"7";"12";"37";"4"
;;"22";"Koekoek, J.T.";"13";"2";"1";"1";"0";"0";"0";"2";"1";"2";"4"
;;"23";"de Knegt, L.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Bakker, T.";"4";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"26";"Kok, W.H.";"4";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Westreenen, S.";"3";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"28";"Noordergraaf, P.T.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Boersma, A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"5";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0"
;;"31";"van de Waerdt, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Laar, G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Scheppink, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"van Iwaarden, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"43";"van Tuijl, L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Proos, A.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"13";"DENK";;;"2794";"1277";"45";"289";"14";"101";"14";"537";"72";"91";"354"
;;"1";"van Baarle, S.R.T.";"1922";"876";"36";"191";"10";"85";"5";"360";"56";"71";"232"
;;"2";"Ergin, D.A.";"163";"53";"0";"39";"0";"1";"1";"44";"0";"2";"23"
;;"3";"El Abassi, I.";"124";"83";"3";"4";"1";"0";"2";"21";"1";"1";"8"
;;"4";"Alrubey, A.";"134";"97";"0";"4";"0";"3";"0";"8";"10";"5";"7"
;;"5";"Gün, E.";"46";"17";"1";"9";"1";"1";"0";"5";"0";"2";"10"
;;"6";"Usta, Y.";"147";"38";"0";"16";"0";"1";"0";"35";"0";"2";"55"
;;"7";"Rijssel, N.E.";"22";"17";"1";"0";"0";"0";"0";"0";"0";"1";"3"
;;"8";"Maroof, A.";"21";"11";"0";"0";"0";"0";"2";"5";"1";"2";"0"
;;"9";"Mac Intosch, G.J.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Safranti, M.";"3";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"11";"Bayrakci, Y.C.";"8";"5";"0";"1";"0";"0";"0";"1";"0";"0";"1"
;;"12";"Ghazi, M.I.";"7";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"13";"Özçelik, S.";"13";"4";"1";"0";"0";"1";"3";"3";"0";"0";"1"
;;"14";"Kaya, A.";"34";"2";"0";"8";"2";"0";"0";"20";"0";"1";"1"
;;"15";"Konuksever-Tekin, A.";"8";"5";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"16";"Fkihi, O.";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Çetinkaya, T.";"7";"4";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"18";"Şahin, E.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Kaplan, Ç.";"6";"4";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Manhoef, E.E.";"6";"2";"1";"0";"0";"0";"0";"2";"0";"1";"0"
;;"22";"Tan, C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"23";"Kondu, F.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Ileri, F.";"18";"5";"1";"1";"0";"0";"0";"4";"0";"0";"7"
;;"26";"Buyatui, H.";"6";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"27";"van Burik, M.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Muradin, N.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Delener, I.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Ağirbaş, A.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Özcan, R.";"7";"2";"0";"2";"0";"0";"0";"3";"0";"0";"0"
;;"33";"Tangali, M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Othman, R.";"5";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"35";"Yildirim, A.";"9";"1";"0";"3";"0";"1";"0";"4";"0";"0";"0"
;;"36";"Akhatab, N.";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Ben Touhami, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Bal, M.I.";"7";"3";"0";"0";"0";"0";"0";"2";"1";"1";"0"
;;"39";"Pancar, Ş.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Akça, S.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"3";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"Icar, N.";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0"
;;"43";"Khan, S.Y.";"13";"8";"0";"0";"0";"0";"0";"5";"0";"0";"0"
;;"44";"Sungur, M.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"45";"Koyuncu, S.";"8";"0";"0";"5";"0";"0";"0";"3";"0";"0";"0"
;;"46";"Achbar, F.";"9";"2";"0";"0";"0";"1";"1";"2";"1";"0";"2"
"14";"50PLUS";;;"1432";"391";"95";"99";"26";"111";"56";"249";"114";"157";"134"
;;"1";"van Hooft, G.O.P.C.";"753";"199";"53";"61";"15";"62";"37";"96";"50";"97";"83"
;;"2";"van Rooij, M.G.J.H.";"31";"12";"1";"1";"0";"4";"1";"7";"2";"1";"2"
;;"3";"Brouwers, J.F.X.M.";"25";"9";"1";"0";"0";"2";"0";"5";"2";"5";"1"
;;"4";"Hoek, W.M.M.";"181";"66";"6";"9";"5";"14";"7";"28";"16";"16";"14"
;;"5";"van Acquoij, R.H.";"3";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"6";"Hernández Martínez, A.";"43";"16";"2";"0";"1";"1";"1";"9";"5";"4";"4"
;;"7";"Fonhof, G.J.";"45";"13";"3";"1";"0";"7";"1";"5";"7";"5";"3"
;;"8";"van Tilborg, H.C.A.M.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van Orsouw, J.H.T.";"4";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0"
;;"10";"Faassen, A.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"11";"Hessing, J.C.";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Jablonski, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Bongers, J.W.M.";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1"
;;"14";"Franse, A.H.";"10";"2";"0";"0";"0";"2";"0";"3";"2";"1";"0"
;;"15";"van Loon, J.C.A.";"5";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0"
;;"16";"de Kruif, F.N.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van Es, J.W.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0"
;;"18";"Biever, R.M.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Hamersma, K.";"273";"55";"17";"24";"2";"18";"5";"86";"25";"18";"23"
;;"20";"Hornis, M.P.";"28";"7";"6";"1";"2";"0";"3";"2";"2";"3";"2"
;;"21";"van Aert, J.L.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Vriens, M.F.L.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Voets, J.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Hendriks, J.";"12";"1";"1";"1";"1";"0";"0";"4";"2";"2";"0"
"15";"BBB";;;"22356";"3331";"1582";"1013";"578";"1737";"2000";"2760";"2878";"4418";"2059"
;;"1";"van der Plas, C.A.M.";"16766";"2513";"1198";"777";"433";"1248";"1242";"2084";"2257";"3377";"1637"
;;"2";"Keijzer, M.C.G.";"1696";"302";"101";"76";"43";"104";"132";"190";"263";"343";"142"
;;"3";"Tuinman, G.P.";"180";"36";"5";"3";"1";"15";"14";"34";"25";"25";"22"
;;"4";"Vermeer, H.";"69";"17";"2";"2";"1";"4";"4";"9";"7";"14";"9"
;;"5";"Helder, L.M.J.S.";"77";"21";"3";"6";"3";"5";"2";"6";"11";"18";"2"
;;"6";"Pierik, C.R.";"77";"11";"0";"0";"0";"3";"3";"6";"12";"27";"15"
;;"7";"van Zanten, C.R.";"59";"30";"2";"3";"0";"5";"1";"2";"3";"8";"5"
;;"8";"Rummenie, J.F.";"13";"2";"1";"2";"1";"0";"0";"1";"3";"3";"0"
;;"9";"Pouw-Verweij, N.J.F.";"95";"29";"2";"3";"0";"6";"4";"8";"12";"22";"9"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"152";"43";"3";"8";"2";"7";"1";"13";"18";"45";"12"
;;"11";"Wijen-Nass, M.J.M.H.";"26";"9";"1";"1";"0";"3";"0";"4";"4";"3";"1"
;;"12";"Oostenbrink, M.";"5";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1"
;;"13";"Rekers, J.D.";"11";"2";"1";"0";"0";"1";"2";"1";"1";"3";"0"
;;"14";"Hendriks, A.J.";"11";"1";"4";"1";"0";"0";"1";"0";"1";"3";"0"
;;"15";"Govaert, C.A.H.M.";"17";"3";"0";"1";"1";"0";"6";"1";"0";"4";"1"
;;"16";"van Vliet, L.R.";"15";"2";"0";"0";"0";"0";"1";"6";"1";"3";"2"
;;"17";"Hemmen, H.M.";"1944";"152";"223";"84";"71";"157";"544";"250";"138";"206";"119"
;;"18";"van Vuuren, C.H.";"12";"2";"2";"0";"0";"0";"3";"1";"2";"2";"0"
;;"19";"van der Meer, S.";"47";"16";"3";"5";"0";"0";"0";"7";"4";"8";"4"
;;"20";"Stoop, C.J.";"3";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"21";"van Veen, A.";"12";"4";"0";"0";"0";"3";"0";"0";"4";"1";"0"
;;"22";"van Lissum, J.T.M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"23";"Stegink, T.W.";"8";"1";"0";"0";"1";"0";"3";"0";"1";"0";"2"
;;"24";"Huiskamp, F.M.";"5";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0"
;;"25";"Eppink, D.J.";"10";"3";"0";"1";"0";"1";"0";"2";"1";"0";"2"
;;"26";"Hankers, H.F.";"4";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"27";"Berghout, N.C.G.";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"28";"Roubos, G.L.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Evers, G.J.A.";"8";"3";"0";"2";"0";"0";"0";"1";"1";"1";"0"
;;"30";"Sijbolts, M.A.";"370";"42";"6";"17";"13";"123";"16";"66";"28";"18";"41"
;;"31";"Poppe, W.P.";"6";"2";"0";"0";"0";"1";"1";"0";"1";"1";"0"
;;"32";"Swaag, J.H.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"33";"Waalkens, D.E.";"160";"18";"16";"14";"4";"38";"12";"22";"12";"13";"11"
;;"34";"de Ridder, R.J.G.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"35";"Jaspers, W.C.P.H.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Floors, G.W.C.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Luitwieler-Bosma, J.M.";"9";"3";"1";"0";"0";"1";"0";"1";"0";"2";"1"
;;"38";"Rood, I.";"4";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
;;"39";"van Noort, M.";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"40";"Cromwijk, J.";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"41";"van Wijk, J.W.";"4";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0"
;;"42";"Bos-Zandstra, K.J.";"54";"5";"0";"0";"0";"1";"0";"2";"3";"40";"3"
;;"43";"Egelmeers, P.C.J.M.";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"44";"Baltus, A.W.M.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"45";"van der Wereld-Verkerk, P.C.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"46";"Schoone, L.";"10";"3";"0";"1";"0";"0";"1";"0";"1";"3";"1"
;;"47";"Spätgens, J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"48";"Zeedzen, D.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"49";"Kiewiet, K.J.";"188";"25";"1";"1";"0";"3";"2";"12";"23";"117";"4"
;;"50";"Moes, G.";"200";"19";"2";"2";"0";"3";"1";"24";"38";"100";"11"
"16";"BIJ1";;;"1182";"938";"17";"21";"3";"23";"12";"54";"33";"42";"39"
;;"1";"Olf, E.M.";"360";"268";"7";"11";"0";"3";"6";"23";"13";"16";"13"
;;"2";"Mc Cray, L.";"304";"241";"3";"7";"2";"4";"3";"13";"9";"12";"10"
;;"3";"Salmi, L.";"66";"57";"2";"0";"1";"3";"0";"1";"0";"0";"2"
;;"4";"Courtar, G.O.";"48";"41";"0";"0";"0";"0";"0";"1";"3";"1";"2"
;;"5";"de Miranda, E.N.";"37";"34";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"6";"Berend, C.E.W.R.";"136";"110";"2";"1";"0";"6";"1";"7";"4";"3";"2"
;;"7";"Luhrs, Y.";"31";"27";"1";"0";"0";"0";"1";"0";"0";"1";"1"
;;"8";"Gal, Y.";"10";"7";"0";"0";"0";"0";"0";"1";"1";"0";"1"
;;"9";"ten Caat, J.";"17";"14";"0";"0";"0";"0";"1";"1";"0";"0";"1"
;;"10";"Zandee, J.I.N.";"34";"31";"0";"0";"0";"2";"0";"1";"0";"0";"0"
;;"11";"Bakker, D.L.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"12";"Wienen, R.D.";"38";"30";"1";"0";"0";"0";"0";"2";"0";"4";"1"
;;"13";"Bijleveld, D.";"48";"42";"1";"1";"0";"0";"0";"2";"0";"0";"2"
;;"14";"Vrede, R.I.";"21";"16";"0";"0";"0";"1";"0";"1";"0";"0";"3"
;;"15";"Timmer, R.S.Y.";"30";"20";"0";"1";"0";"4";"0";"0";"2";"3";"0"
"17";"Piratenpartij - De Groenen";;;"370";"182";"13";"14";"11";"17";"9";"57";"25";"31";"11"
;;"1";"van Treuren, M.A.";"200";"95";"8";"8";"4";"10";"5";"32";"13";"19";"6"
;;"2";"Sadloe, S.";"62";"29";"1";"3";"2";"2";"2";"14";"3";"5";"1"
;;"3";"van Zwoll, R.M.E.";"14";"7";"1";"1";"0";"0";"0";"3";"2";"0";"0"
;;"4";"Pontier, M.A.";"13";"11";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"5";"Brandsma, W.A.";"18";"6";"0";"0";"0";"1";"0";"3";"3";"4";"1"
;;"6";"ter Haar, O.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Zimmerman, H.K.";"7";"4";"1";"1";"0";"0";"0";"0";"0";"1";"0"
;;"8";"van Rijn, M.P.";"4";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1"
;;"9";"Berendsen, P.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"10";"Yadegari, S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"11";"Pot, A.A.M.";"5";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"12";"Werner, D.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van Deijk, D.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Russchenberg, S.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hallegraeff, D.S.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"16";"Bresser, A.C.";"3";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"17";"Abendroth, A.M.";"5";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"18";"Darvish-Zadeh, P.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schrama, D.D.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Werner-Wafelman, L.S.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Plesa, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Bouma, E.";"5";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0"
;;"23";"Bethlehem, C.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Dekkers, S.A.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Nes, T.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Linnenbank, A.C.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"27";"Braun, P.W.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Doting, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
