"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Groningen"
"Nummer";;"HSB1"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Groningen";"Stadskanaal";"Veendam";"Pekela";"Oldambt";"Westerwolde";"Midden-Groningen";"Het Hogeland";"Westerkwartier";"Eemsdelta"
;;"16";"Thijssen, J.";"47";"35";"1";"1";"0";"0";"1";"2";"1";"5";"1"
;;"17";"Bouchallikh, K.";"278";"227";"4";"3";"1";"7";"2";"8";"12";"8";"6"
;;"18";"Kathmann, B.C.";"208";"162";"1";"5";"0";"2";"3";"11";"11";"8";"5"
;;"19";"Slagt-Tichelman, E.";"1202";"775";"41";"38";"11";"27";"19";"74";"56";"122";"39"
;;"20";"Tseggai, M.";"145";"113";"9";"2";"0";"0";"2";"1";"11";"5";"2"
;;"21";"White, R.J.";"65";"59";"0";"0";"0";"1";"0";"1";"1";"2";"1"
;;"22";"Pijpelink, A.";"177";"153";"0";"1";"0";"0";"2";"1";"6";"10";"4"
;;"23";"Chakor, G.";"6727";"5038";"40";"72";"21";"152";"53";"359";"365";"403";"224"
;;"24";"Nordkamp, J.";"70";"61";"0";"4";"0";"0";"1";"2";"1";"0";"1"
;;"25";"Stultiens, L.C.J.";"65";"62";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"26";"Haage, M.W.";"480";"437";"1";"4";"1";"2";"1";"7";"8";"17";"2"
;;"27";"Hirsch, D.H.";"690";"621";"3";"2";"0";"6";"4";"16";"15";"17";"6"
;;"28";"de Jong, H.A.";"38";"32";"1";"0";"1";"0";"1";"0";"2";"1";"0"
;;"29";"Postma, J.P.";"8";"4";"0";"0";"0";"0";"1";"1";"0";"1";"1"
;;"30";"Oosting, I.";"448";"365";"7";"3";"0";"7";"5";"13";"16";"24";"8"
;;"31";"de Boer, M.M.";"102";"86";"0";"1";"0";"0";"0";"3";"4";"7";"1"
;;"32";"Daenen, J.W.B.";"11";"8";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"33";"Ranshuijsen, A.B.";"172";"153";"0";"0";"0";"0";"0";"3";"7";"7";"2"
;;"34";"Köseoglu, E.";"150";"129";"0";"4";"0";"3";"0";"3";"6";"4";"1"
;;"35";"van Roemburg, E.T.W.";"53";"44";"1";"0";"1";"0";"0";"2";"2";"3";"0"
;;"36";"Nessar, A.";"27";"24";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"37";"Muns, L.";"32";"30";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"38";"Vrolijks, I.L.";"198";"169";"0";"1";"0";"3";"0";"7";"4";"11";"3"
;;"39";"Smits, P.L.";"26";"22";"0";"0";"0";"0";"0";"1";"2";"1";"0"
;;"40";"Nabih, M.";"13";"7";"2";"0";"0";"0";"0";"3";"0";"0";"1"
;;"41";"Rietveld, M.D.";"4";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
;;"42";"Torunoglu, Y.";"12";"7";"1";"3";"0";"0";"0";"0";"0";"0";"1"
;;"43";"de Bruijn, E.";"103";"84";"0";"1";"1";"0";"1";"4";"1";"9";"2"
;;"44";"Bosman, E.M.";"22";"16";"0";"0";"0";"0";"2";"0";"1";"1";"2"
;;"45";"Kuipers, C.M.";"90";"50";"1";"1";"1";"3";"0";"6";"3";"21";"4"
;;"46";"van Schalkwijk, M.W.";"22";"16";"0";"0";"0";"0";"1";"1";"2";"2";"0"
;;"47";"Boshove, R.";"5";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"48";"Meijerink, E.G.";"39";"34";"0";"0";"0";"0";"1";"0";"0";"3";"1"
;;"49";"de Vries, J.H.";"14";"8";"0";"0";"0";"0";"0";"3";"2";"1";"0"
;;"50";"Hümmels, Y.A.";"89";"60";"3";"4";"1";"2";"2";"4";"4";"7";"2"
"4";"PVV (Partij voor de Vrijheid)";;;"79808";"19346";"6323";"5201";"2977";"7732";"5293";"10113";"6437";"9252";"7134"
;;"1";"Wilders, G.";"71179";"16610";"5841";"4749";"2678";"6935";"4824";"9144";"5736";"8237";"6425"
;;"2";"Agema, M.";"3513";"1200";"201";"188";"70";"258";"167";"388";"311";"435";"295"
;;"3";"van Meetelen, R.F.";"182";"76";"6";"11";"2";"7";"7";"20";"14";"25";"14"
;;"4";"Markuszower, G.";"91";"46";"3";"4";"3";"4";"3";"5";"2";"7";"14"
;;"5";"Bosma, M.";"1625";"630";"65";"82";"38";"105";"90";"155";"135";"195";"130"
;;"6";"Claassen, R.A.B.";"19";"4";"1";"1";"1";"0";"1";"0";"6";"3";"2"
;;"7";"Faber, M.H.M.";"106";"44";"4";"6";"0";"7";"2";"6";"9";"19";"9"
;;"8";"Mulder, E.";"79";"25";"7";"6";"2";"5";"4";"6";"5";"10";"9"
;;"9";"Maeijer, V.";"42";"20";"0";"2";"0";"1";"0";"8";"4";"6";"1"
;;"10";"van Dijck, A.P.C.";"12";"6";"2";"0";"0";"1";"0";"1";"0";"1";"1"
;;"11";"Kops, A.";"11";"1";"2";"1";"0";"0";"0";"1";"2";"2";"2"
;;"12";"Madlener, B.";"6";"4";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"13";"de Jong, L.W.E.";"40";"8";"3";"1";"1";"17";"5";"3";"0";"1";"1"
;;"14";"Graus, D.J.G.";"34";"10";"1";"0";"3";"3";"2";"4";"3";"4";"4"
;;"15";"Blaauw, R.B.";"1295";"143";"72";"80";"161";"340";"66";"205";"73";"55";"100"
;;"16";"de Roon, R.";"10";"3";"0";"1";"0";"0";"2";"1";"0";"2";"1"
;;"17";"van Dijk, E.";"5";"2";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"18";"de Vree, J.H.";"6";"3";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"19";"Aardema, M.";"118";"20";"1";"2";"4";"4";"1";"6";"8";"72";"0"
;;"20";"van der Velde, M.K.";"57";"25";"4";"6";"0";"2";"0";"3";"2";"6";"9"
;;"21";"van der Hoeff, P.H.";"4";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0"
;;"22";"Deen, M.";"6";"4";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Nijhof-Leeuw, J.M.";"56";"27";"4";"4";"0";"3";"5";"2";"2";"7";"2"
;;"24";"Boon, M.C.H.";"9";"2";"0";"0";"1";"1";"0";"0";"1";"1";"3"
;;"25";"Mooiman, J.";"21";"13";"3";"1";"0";"2";"0";"0";"0";"1";"1"
;;"26";"Ram, D.";"848";"362";"23";"31";"7";"19";"16";"111";"89";"104";"86"
;;"27";"Vlottes, E.";"4";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0"
;;"28";"Smitskam, P.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0"
;;"29";"Esser, E.R.F.";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"30";"Boutkan, W.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1"
;;"31";"van den Born, V.H.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Crijns, P.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
