"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
;;"32";"Daenen, J.W.B.";"38";"38"
;;"33";"Ranshuijsen, A.B.";"262";"262"
;;"34";"Köseoglu, E.";"468";"468"
;;"35";"van Roemburg, E.T.W.";"109";"109"
;;"36";"Nessar, A.";"42";"42"
;;"37";"Muns, L.";"46";"46"
;;"38";"Vrolijks, I.L.";"164";"164"
;;"39";"Smits, P.L.";"23";"23"
;;"40";"Nabih, M.";"49";"49"
;;"41";"Rietveld, M.D.";"38";"38"
;;"42";"Torunoglu, Y.";"32";"32"
;;"43";"de Bruijn, E.";"150";"150"
;;"44";"Bosman, E.M.";"69";"69"
;;"45";"Kuipers, C.M.";"13";"13"
;;"46";"van Schalkwijk, M.W.";"34";"34"
;;"47";"Bijlsma, J.S.";"71";"71"
;;"48";"Rowaan, R.";"16";"16"
;;"49";"van der Hoeven, A.A.M.";"192";"192"
;;"50";"van Kalken, L.";"87";"87"
"4";"PVV (Partij voor de Vrijheid)";;;"53202";"53202"
;;"1";"Wilders, G.";"48506";"48506"
;;"2";"Agema, M.";"2669";"2669"
;;"3";"van Meetelen, R.F.";"97";"97"
;;"4";"Markuszower, G.";"65";"65"
;;"5";"Bosma, M.";"1225";"1225"
;;"6";"Claassen, R.A.B.";"21";"21"
;;"7";"Faber, M.H.M.";"80";"80"
;;"8";"Mulder, E.";"29";"29"
;;"9";"Maeijer, V.";"39";"39"
;;"10";"van Dijck, A.P.C.";"63";"63"
;;"11";"Kops, A.";"15";"15"
;;"12";"Madlener, B.";"7";"7"
;;"13";"de Jong, L.W.E.";"80";"80"
;;"14";"Graus, D.J.G.";"21";"21"
;;"15";"Blaauw, R.B.";"7";"7"
;;"16";"de Roon, R.";"5";"5"
;;"17";"van Dijk, E.";"33";"33"
;;"18";"de Vree, J.H.";"3";"3"
;;"19";"Aardema, M.";"6";"6"
;;"20";"van der Velde, M.K.";"33";"33"
;;"21";"van der Hoeff, P.H.";"4";"4"
;;"22";"Deen, M.";"2";"2"
;;"23";"Nijhof-Leeuw, J.M.";"19";"19"
;;"24";"Boon, M.C.H.";"8";"8"
;;"25";"Mooiman, J.";"11";"11"
;;"26";"Ram, D.";"28";"28"
;;"27";"Vlottes, E.";"3";"3"
;;"28";"Smitskam, P.";"11";"11"
;;"29";"Esser, E.R.F.";"1";"1"
;;"30";"Boutkan, W.";"7";"7"
;;"31";"van den Born, V.H.";"1";"1"
;;"32";"Crijns, P.P.";"0";"0"
;;"33";"van Haasen, J.P.";"5";"5"
;;"34";"Vondeling, M.";"34";"34"
;;"35";"Valize, J.J.T.M.";"0";"0"
;;"36";"Heutink, H.D.";"4";"4"
;;"37";"Pool, J.";"0";"0"
;;"38";"Faddegon, C.J.";"10";"10"
;;"39";"Uppelschoten, N.A.";"8";"8"
;;"40";"Rep, R.J.H.H.";"4";"4"
;;"41";"Thiadens, F.M.";"1";"1"
;;"42";"Raijer, A.J.";"18";"18"
;;"43";"van Bijnen, H.M.";"2";"2"
;;"44";"van Hattem, A.W.J.A.";"1";"1"
;;"45";"van Strien, G.A.";"16";"16"
"5";"CDA";;;"4688";"4688"
;;"1";"Bontenbal, H.";"3948";"3948"
;;"2";"Vedder, E.C.";"236";"236"
;;"3";"Boswijk, D.G.";"68";"68"
;;"4";"van Dijk, I.";"81";"81"
;;"5";"Krul, H.M.";"22";"22"
;;"6";"Palland-Mulder, H.M.";"26";"26"
;;"7";"van den Brink, G.";"12";"12"
;;"8";"Absil, M.G.J.A.C.";"8";"8"
;;"9";"Steen, H.S.";"16";"16"
;;"10";"Kuik, A.";"24";"24"
;;"11";"Spoelstra, J.";"6";"6"
;;"12";"Slootweg, E.J.";"5";"5"
;;"13";"Chaoui-Nhass, S.";"23";"23"
;;"14";"Zwinkels, J.M.";"23";"23"
;;"15";"Diederen, R.";"11";"11"
;;"16";"Hamstra, S.";"13";"13"
;;"17";"Houmes, E.S.";"12";"12"
;;"18";"van den Berg, J.H.C.";"8";"8"
;;"19";"de Haan, J.D.P.";"2";"2"
;;"20";"Vermeer, J.";"16";"16"
;;"21";"van der Heide, E.J.";"62";"62"
;;"22";"Goos, J.C.M.";"1";"1"
;;"23";"Boogaard, P.";"1";"1"
;;"24";"Goudzwaard-Wiersma, W.";"6";"6"
