"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"33";"Ranshuijsen, A.B.";"541";"1";"12";"1";"9";"9";"1";"86";"14";"143";"8";"7";"1";"64";"12";"1";"0";"5";"11";"14";"3";"7";"3";"4";"4";"1";"13";"5";"1";"12";"11";"63";"15"
;;"34";"Köseoglu, E.";"345";"0";"2";"1";"3";"2";"3";"80";"25";"52";"7";"4";"2";"64";"0";"2";"2";"4";"2";"5";"2";"1";"1";"1";"1";"0";"2";"0";"1";"5";"12";"22";"37"
;;"35";"van Roemburg, E.T.W.";"187";"0";"1";"0";"3";"3";"2";"51";"15";"41";"2";"4";"1";"7";"2";"0";"1";"2";"4";"7";"2";"1";"2";"0";"1";"5";"1";"3";"2";"5";"4";"11";"4"
;;"36";"Nessar, A.";"24";"0";"0";"0";"2";"0";"0";"7";"0";"3";"0";"2";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"2"
;;"37";"Muns, L.";"37";"0";"0";"0";"0";"1";"0";"14";"3";"7";"0";"0";"0";"1";"0";"3";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3"
;;"38";"Vrolijks, I.L.";"285";"3";"5";"2";"8";"4";"1";"65";"11";"55";"7";"2";"3";"11";"8";"3";"3";"10";"1";"7";"3";"8";"4";"8";"2";"3";"7";"0";"1";"2";"9";"18";"11"
;;"39";"Smits, P.L.";"41";"0";"0";"0";"1";"1";"0";"8";"2";"11";"0";"0";"0";"3";"1";"0";"0";"0";"2";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"5";"2"
;;"40";"Nabih, M.";"44";"0";"1";"0";"2";"0";"0";"21";"0";"8";"1";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0"
;;"41";"Rietveld, M.D.";"16";"0";"0";"0";"0";"0";"0";"11";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Torunoglu, Y.";"954";"1";"11";"4";"12";"7";"4";"676";"22";"15";"3";"27";"4";"12";"3";"6";"8";"9";"21";"5";"9";"1";"5";"5";"3";"1";"4";"6";"6";"36";"16";"5";"7"
;;"43";"de Bruijn, E.";"3992";"15";"78";"11";"42";"51";"42";"2077";"168";"249";"33";"100";"22";"55";"35";"19";"47";"86";"160";"58";"76";"47";"39";"41";"3";"23";"33";"38";"23";"139";"101";"32";"49"
;;"44";"Bosman, E.M.";"71";"1";"1";"0";"6";"0";"10";"12";"3";"14";"3";"0";"0";"5";"1";"1";"3";"0";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0"
;;"45";"Kuipers, C.M.";"10";"0";"1";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"46";"van Schalkwijk, M.W.";"43";"0";"1";"0";"0";"1";"0";"11";"2";"9";"1";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"2";"0";"2";"3";"2"
;;"47";"van Son, L.J.M.";"295";"2";"6";"0";"6";"0";"1";"53";"6";"57";"31";"10";"6";"10";"11";"0";"3";"1";"5";"9";"5";"0";"1";"1";"2";"2";"8";"0";"3";"1";"39";"4";"12"
;;"48";"Penninx, A.";"29";"0";"0";"0";"1";"0";"1";"4";"2";"4";"0";"0";"0";"8";"1";"1";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"49";"Roozendaal, H.";"84";"3";"1";"0";"1";"2";"1";"19";"1";"9";"2";"0";"1";"6";"1";"1";"0";"2";"3";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"5";"19";"1"
;;"50";"van de Wolde, F.";"76";"1";"0";"0";"2";"1";"1";"19";"6";"15";"0";"0";"0";"4";"2";"0";"1";"1";"3";"0";"3";"1";"0";"1";"0";"0";"3";"0";"0";"2";"3";"3";"4"
"4";"PVV (Partij voor de Vrijheid)";;;"230162";"2922";"4841";"2214";"5207";"6301";"3013";"24066";"16663";"22560";"8235";"3202";"3493";"17607";"4846";"3843";"2460";"5819";"7251";"3818";"2052";"5912";"2528";"4467";"2411";"4362";"5771";"3393";"3774";"6848";"14874";"15381";"10028"
;;"1";"Wilders, G.";"213475";"2682";"4443";"2076";"4839";"5841";"2823";"22080";"15567";"20760";"7557";"2924";"3247";"16561";"4509";"3601";"2229";"5448";"6710";"3498";"1885";"5557";"2311";"4213";"2263";"4032";"5380";"3184";"3514";"6356";"13858";"14232";"9295"
;;"2";"Agema, M.";"9135";"135";"224";"85";"200";"269";"100";"1088";"609";"848";"367";"171";"142";"565";"138";"140";"139";"216";"302";"152";"74";"210";"116";"166";"88";"188";"222";"121";"144";"276";"580";"638";"422"
;;"3";"van Meetelen, R.F.";"965";"18";"45";"7";"17";"36";"14";"141";"66";"56";"48";"15";"23";"51";"24";"17";"12";"22";"41";"20";"12";"22";"15";"10";"11";"20";"15";"17";"16";"31";"53";"39";"31"
;;"4";"Markuszower, G.";"153";"0";"5";"1";"4";"2";"2";"14";"10";"18";"6";"2";"3";"2";"6";"1";"2";"5";"2";"6";"12";"9";"0";"2";"0";"1";"5";"1";"0";"3";"11";"11";"7"
;;"5";"Bosma, M.";"3188";"50";"62";"25";"79";"78";"41";"430";"223";"365";"111";"56";"31";"198";"80";"44";"60";"67";"96";"83";"49";"49";"56";"30";"21";"72";"39";"40";"51";"96";"163";"208";"135"
;;"6";"Claassen, R.A.B.";"161";"3";"4";"1";"2";"7";"1";"19";"25";"6";"2";"2";"4";"8";"2";"2";"0";"5";"9";"0";"1";"3";"2";"2";"4";"3";"2";"3";"4";"4";"14";"11";"6"
;;"7";"Faber, M.H.M.";"283";"5";"4";"2";"6";"6";"2";"33";"10";"38";"8";"10";"4";"19";"5";"3";"3";"5";"6";"2";"3";"9";"4";"4";"5";"3";"15";"4";"6";"8";"20";"21";"10"
;;"8";"Mulder, E.";"64";"0";"0";"0";"0";"1";"0";"8";"3";"5";"2";"2";"2";"4";"1";"2";"0";"0";"0";"0";"0";"3";"1";"2";"2";"2";"1";"0";"1";"4";"6";"9";"3"
;;"9";"Maeijer, V.";"148";"1";"2";"5";"2";"5";"2";"18";"8";"14";"6";"1";"2";"10";"3";"4";"0";"6";"3";"1";"2";"4";"1";"5";"1";"3";"2";"0";"2";"6";"9";"11";"9"
;;"10";"van Dijck, A.P.C.";"44";"2";"2";"0";"1";"3";"0";"5";"3";"1";"1";"0";"1";"4";"0";"1";"1";"4";"1";"0";"1";"1";"2";"0";"0";"0";"2";"0";"0";"1";"4";"3";"0"
;;"11";"Kops, A.";"177";"1";"1";"2";"1";"1";"1";"7";"10";"8";"2";"1";"1";"15";"2";"1";"0";"1";"1";"0";"0";"2";"1";"0";"1";"1";"4";"0";"0";"0";"9";"83";"20"
;;"12";"Madlener, B.";"22";"0";"2";"0";"0";"2";"1";"1";"2";"2";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"1";"2"
;;"13";"de Jong, L.W.E.";"77";"1";"1";"0";"3";"2";"2";"9";"9";"8";"1";"0";"0";"3";"1";"5";"1";"1";"2";"2";"0";"2";"0";"2";"3";"1";"1";"0";"1";"4";"3";"2";"7"
;;"14";"Graus, D.J.G.";"103";"2";"1";"0";"2";"1";"1";"19";"8";"15";"2";"1";"4";"3";"0";"0";"0";"5";"0";"4";"1";"2";"0";"2";"0";"3";"3";"2";"0";"3";"3";"15";"1"
;;"15";"Blaauw, R.B.";"30";"0";"2";"0";"1";"3";"0";"1";"1";"3";"2";"0";"1";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"2";"0";"4";"1"
;;"16";"de Roon, R.";"14";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1"
;;"17";"van Dijk, E.";"31";"1";"0";"0";"1";"1";"0";"1";"3";"4";"1";"0";"0";"2";"2";"0";"0";"1";"4";"0";"0";"0";"2";"0";"1";"1";"0";"1";"0";"1";"1";"1";"2"
;;"18";"de Vree, J.H.";"12";"0";"0";"0";"1";"0";"0";"3";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1"
;;"19";"Aardema, M.";"21";"0";"0";"0";"1";"1";"0";"2";"1";"1";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"2";"1";"2";"0";"2"
;;"20";"van der Velde, M.K.";"151";"3";"4";"0";"3";"8";"0";"18";"10";"20";"6";"1";"2";"11";"1";"4";"1";"4";"4";"2";"1";"6";"0";"3";"1";"0";"3";"0";"3";"3";"13";"9";"7"
;;"21";"van der Hoeff, P.H.";"18";"0";"1";"0";"2";"0";"0";"2";"3";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1"
;;"22";"Deen, M.";"15";"0";"1";"0";"0";"1";"0";"1";"1";"2";"1";"0";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1"
;;"23";"Nijhof-Leeuw, J.M.";"87";"0";"5";"1";"0";"0";"1";"16";"4";"6";"3";"1";"3";"4";"3";"0";"2";"3";"2";"3";"1";"0";"0";"1";"0";"3";"0";"1";"2";"6";"7";"8";"1"
;;"24";"Boon, M.C.H.";"75";"3";"1";"1";"1";"3";"1";"11";"5";"5";"4";"1";"2";"4";"0";"4";"0";"1";"5";"0";"1";"0";"0";"4";"1";"2";"2";"0";"5";"3";"3";"1";"1"
;;"25";"Mooiman, J.";"68";"1";"2";"0";"1";"2";"2";"16";"4";"2";"0";"1";"0";"2";"1";"1";"1";"3";"3";"1";"1";"1";"0";"2";"1";"1";"1";"0";"2";"3";"3";"5";"5"
;;"26";"Ram, D.";"16";"0";"1";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"2"
;;"27";"Vlottes, E.";"11";"0";"0";"1";"1";"1";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0"
;;"28";"Smitskam, P.";"6";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"29";"Esser, E.R.F.";"868";"3";"16";"2";"22";"9";"11";"63";"37";"252";"89";"7";"9";"57";"38";"1";"3";"8";"30";"30";"4";"10";"8";"3";"4";"10";"20";"10";"8";"18";"60";"9";"17"
;;"30";"Boutkan, W.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"van den Born, V.H.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"32";"Crijns, P.P.";"16";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0"
;;"33";"van Haasen, J.P.";"10";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"90";"1";"2";"0";"1";"1";"1";"16";"7";"11";"3";"0";"1";"4";"0";"1";"2";"1";"8";"1";"0";"1";"0";"3";"0";"3";"2";"0";"1";"1";"10";"6";"2"
;;"35";"Valize, J.J.T.M.";"45";"2";"1";"1";"0";"5";"0";"3";"4";"0";"0";"1";"0";"1";"0";"5";"0";"2";"0";"0";"0";"0";"1";"1";"0";"3";"0";"0";"0";"2";"1";"11";"1"
;;"36";"Heutink, H.D.";"8";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0"
;;"37";"Pool, J.";"9";"3";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"38";"Faddegon, C.J.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"39";"Uppelschoten, N.A.";"14";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1"
;;"40";"Rep, R.J.H.H.";"21";"0";"0";"0";"2";"0";"0";"4";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"1"
;;"41";"Thiadens, F.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"42";"Raijer, A.J.";"50";"0";"1";"1";"2";"1";"1";"5";"7";"5";"2";"0";"0";"2";"1";"0";"1";"1";"2";"0";"0";"3";"1";"1";"0";"2";"2";"0";"0";"1";"4";"1";"3"
;;"43";"van Bijnen, H.M.";"13";"1";"0";"0";"0";"0";"0";"0";"3";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"44";"van Hattem, A.W.J.A.";"292";"0";"5";"2";"6";"0";"3";"10";"3";"78";"2";"1";"0";"50";"19";"1";"1";"4";"1";"2";"0";"4";"1";"3";"2";"3";"43";"3";"2";"1";"22";"5";"15"
;;"45";"van Strien, G.A.";"153";"2";"2";"1";"4";"6";"2";"11";"9";"9";"2";"1";"7";"6";"3";"3";"2";"4";"8";"5";"1";"3";"2";"5";"0";"3";"2";"2";"3";"5";"4";"22";"14"
"5";"CDA";;;"31807";"551";"597";"382";"678";"869";"706";"2635";"1124";"2480";"1129";"609";"642";"1749";"798";"563";"474";"652";"919";"725";"424";"1263";"499";"565";"405";"532";"1085";"884";"616";"853";"2247";"2705";"1447"
;;"1";"Bontenbal, H.";"24307";"377";"489";"256";"586";"555";"576";"2107";"809";"2103";"977";"522";"520";"1496";"669";"383";"389";"542";"770";"633";"354";"381";"388";"365";"334";"423";"886";"481";"506";"664";"1690";"1995";"1081"
;;"2";"Vedder, E.C.";"1081";"20";"27";"6";"25";"27";"26";"113";"38";"102";"56";"17";"26";"66";"25";"23";"19";"20";"21";"29";"19";"9";"14";"15";"11";"16";"40";"19";"15";"27";"72";"82";"56"
;;"3";"Boswijk, D.G.";"172";"1";"2";"1";"6";"4";"1";"11";"9";"24";"8";"0";"2";"13";"2";"1";"2";"3";"13";"5";"2";"2";"0";"1";"1";"3";"2";"5";"15";"6";"7";"15";"5"
;;"4";"van Dijk, I.";"4826";"139";"52";"114";"44";"263";"65";"183";"240";"146";"66";"57";"75";"130";"71";"152";"55";"45";"81";"37";"29";"865";"81";"170";"35";"74";"123";"34";"49";"122";"431";"554";"244"
;;"5";"Krul, H.M.";"69";"0";"2";"1";"3";"0";"0";"9";"5";"8";"2";"0";"2";"4";"2";"0";"0";"1";"2";"1";"4";"3";"1";"3";"0";"0";"1";"0";"1";"1";"3";"4";"6"
;;"6";"Palland-Mulder, H.M.";"64";"1";"3";"0";"1";"0";"2";"17";"0";"11";"1";"1";"0";"1";"0";"0";"2";"1";"3";"2";"1";"0";"0";"1";"1";"0";"1";"1";"0";"4";"5";"2";"2"
;;"7";"van den Brink, G.";"18";"0";"0";"0";"1";"0";"0";"5";"1";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"1";"1"
;;"8";"Absil, M.G.J.A.C.";"69";"1";"4";"0";"0";"10";"1";"4";"1";"8";"2";"1";"1";"2";"2";"1";"0";"2";"1";"2";"1";"0";"0";"0";"0";"4";"1";"0";"3";"6";"1";"9";"1"
;;"9";"Steen, H.S.";"43";"1";"0";"0";"1";"0";"0";"10";"2";"7";"0";"2";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"9";"1";"1";"1";"0";"1";"2"
;;"10";"Kuik, A.";"68";"1";"5";"0";"0";"0";"0";"2";"3";"11";"2";"0";"1";"6";"3";"1";"1";"1";"1";"1";"1";"1";"3";"0";"0";"3";"7";"0";"3";"2";"2";"6";"1"
;;"11";"Spoelstra, J.";"15";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0"
;;"12";"Slootweg, E.J.";"10";"0";"0";"0";"0";"0";"0";"3";"1";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Chaoui-Nhass, S.";"13";"0";"0";"0";"0";"0";"0";"4";"1";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"41";"0";"5";"1";"0";"0";"1";"4";"4";"9";"1";"1";"1";"1";"2";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"2";"2";"0"
;;"15";"Diederen, R.";"40";"0";"0";"0";"1";"1";"0";"12";"2";"10";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0";"2";"0";"1";"1";"1";"1"
;;"16";"Hamstra, S.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Houmes, E.S.";"6";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"18";"van den Berg, J.H.C.";"24";"0";"0";"0";"0";"1";"1";"5";"0";"1";"1";"2";"0";"1";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"1";"1";"1"
;;"19";"de Haan, J.D.P.";"10";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"20";"Vermeer, J.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"21";"van der Heide, E.J.";"11";"0";"0";"0";"1";"1";"0";"1";"1";"2";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"22";"Goos, J.C.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"23";"Boogaard, P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"6";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"27";"Goudriaan, L.H.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2"
;;"28";"van Lagen, M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"29";"van der Spek, A.M.";"14";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"30";"Out, F.M.S.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"31";"Silos, J.J.";"7";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"32";"Tuncer, Y.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"34";"van den Oever, J.A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"54";"0";"2";"0";"2";"1";"2";"10";"0";"6";"1";"0";"4";"2";"2";"0";"1";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"4";"0";"0";"4";"6";"1"
;;"37";"van Luik, D.A.N.";"26";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"9";"3"
;;"38";"van Dekken, B.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"478";"3";"1";"0";"1";"1";"30";"12";"0";"1";"0";"2";"6";"0";"0";"0";"1";"30";"10";"0";"6";"0";"3";"0";"19";"3";"1";"332";"14";"0";"2";"0";"0"
;;"40";"Dost, H.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"van de Giessen, L.H.";"5";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Bracke, D.G.A.J.";"14";"0";"0";"0";"0";"0";"0";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2"
;;"44";"Joosten, J.P.J.";"149";"3";"3";"0";"1";"0";"0";"86";"5";"3";"0";"2";"0";"1";"3";"1";"1";"2";"6";"0";"3";"0";"2";"3";"1";"2";"3";"0";"1";"9";"5";"1";"2"
;;"45";"Meppelink, E.M.";"12";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"46";"van Dijk, Q.A.";"16";"0";"1";"0";"0";"0";"0";"2";"1";"4";"2";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"47";"van Lankvelt, F.J.M.";"70";"1";"0";"1";"1";"3";"1";"0";"0";"2";"1";"0";"0";"5";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"5";"0";"0";"0";"5";"8";"32"
;;"48";"Siegmann, A.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"11";"0";"0";"0";"0";"1";"0";"4";"0";"1";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6";"SP (Socialistische Partij)";;;"39458";"405";"723";"296";"917";"770";"443";"5061";"2285";"4053";"1170";"553";"403";"4551";"928";"381";"378";"822";"1122";"780";"386";"790";"354";"646";"318";"428";"1204";"382";"603";"986";"2387";"2959";"1974"
