"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"26";"Valstar, P.J.";"52";"0";"0";"2";"2";"0";"0";"12";"3";"7";"1";"2";"0";"2";"1";"0";"1";"2";"1";"0";"0";"2";"0";"0";"1";"0";"3";"1";"1";"1";"2";"2";"3"
;;"27";"Bevers, H.";"29";"0";"0";"0";"2";"0";"1";"3";"5";"4";"2";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"1";"2";"1"
;;"28";"Buijsse, M.R.G.";"1044";"6";"5";"186";"7";"37";"0";"19";"56";"27";"4";"14";"1";"56";"12";"19";"9";"2";"3";"0";"3";"55";"5";"31";"7";"5";"38";"1";"4";"12";"104";"180";"136"
;;"29";"Dral, R.M.";"146";"3";"4";"1";"5";"4";"1";"30";"5";"24";"8";"1";"1";"2";"5";"0";"1";"1";"4";"3";"3";"1";"2";"2";"1";"0";"3";"3";"1";"4";"8";"9";"6"
;;"30";"Bikkers, B.T.";"27";"0";"0";"1";"1";"0";"0";"3";"4";"3";"0";"0";"0";"2";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"2"
;;"31";"Verkuijlen, R.";"19";"0";"0";"0";"0";"0";"0";"4";"1";"2";"1";"1";"0";"1";"2";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1"
;;"32";"Richardson, S.M.";"119";"2";"3";"0";"3";"2";"1";"26";"9";"25";"6";"2";"0";"7";"1";"0";"1";"1";"4";"3";"0";"0";"2";"2";"1";"0";"3";"1";"0";"4";"5";"2";"3"
;;"33";"de Beer, M.E.E.";"46";"2";"0";"2";"1";"1";"0";"8";"3";"8";"2";"1";"0";"1";"1";"2";"1";"1";"0";"1";"1";"0";"1";"0";"1";"3";"1";"0";"0";"1";"0";"2";"1"
;;"34";"van Strien, P.J.T.";"26";"0";"1";"0";"1";"0";"1";"4";"1";"7";"2";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"35";"Hartsuiker, R.J.J.";"18";"1";"0";"0";"2";"0";"0";"3";"0";"3";"1";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"36";"Klein Lankhorst, H.";"51";"0";"1";"0";"2";"1";"0";"10";"1";"8";"2";"1";"0";"7";"1";"0";"1";"0";"0";"2";"1";"2";"0";"0";"0";"1";"0";"1";"0";"1";"3";"3";"2"
;;"37";"Haverkort, E.A.";"37";"0";"0";"1";"1";"1";"0";"7";"2";"9";"2";"1";"0";"1";"1";"0";"1";"1";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0"
;;"38";"Simons, C.";"17";"0";"0";"0";"1";"0";"0";"5";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"39";"Bijenhof, Y.";"31";"0";"0";"0";"0";"1";"1";"8";"0";"1";"1";"0";"0";"3";"2";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"4"
;;"40";"van Groningen, D.A.";"42";"0";"0";"0";"0";"0";"0";"8";"4";"9";"3";"2";"0";"6";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"2";"1";"1"
;;"41";"Zeeuw van der Laan, E.M.";"22";"0";"0";"0";"0";"0";"0";"6";"0";"5";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2"
;;"42";"Volkman, Y.";"21";"0";"0";"1";"2";"0";"0";"7";"2";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"43";"van Kessel, P.W.";"15";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0"
;;"44";"Rahimi, H.";"38";"0";"0";"0";"0";"1";"0";"8";"2";"9";"2";"0";"0";"4";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"4";"1"
;;"45";"Omlo, B.F.";"18";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"2";"0";"1";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"19";"0";"0";"0";"0";"0";"0";"4";"0";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0";"1"
;;"47";"Nelisse, R.M.L.";"37";"1";"0";"0";"0";"0";"0";"2";"0";"5";"5";"0";"0";"0";"2";"0";"1";"0";"1";"2";"0";"0";"0";"0";"2";"1";"2";"0";"0";"0";"7";"4";"2"
;;"48";"de Wit, B.G.P.";"13";"0";"0";"0";"0";"0";"0";"3";"0";"2";"2";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van Meerten-Kok, M.A.";"17";"0";"0";"0";"0";"0";"0";"3";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
;;"50";"Hoogezand, B.";"10";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"51";"Achterbergh, M.";"6";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"52";"Wendel, H.";"35";"0";"1";"0";"0";"0";"0";"9";"0";"7";"0";"2";"0";"1";"1";"0";"0";"1";"3";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"1";"2"
;;"53";"Kohli, N.R.";"207";"0";"4";"0";"2";"1";"0";"150";"2";"11";"0";"2";"0";"3";"0";"0";"3";"0";"18";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"5";"1";"1";"0"
;;"54";"Klerks, I.C.";"269";"1";"3";"0";"5";"2";"0";"18";"3";"58";"91";"2";"3";"9";"6";"1";"2";"1";"3";"9";"1";"1";"4";"0";"7";"3";"8";"1";"2";"2";"13";"3";"7"
;;"55";"Dijkema, H.M.";"18";"0";"0";"0";"0";"0";"0";"8";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0"
;;"56";"Elkerbout, A.";"18";"0";"1";"0";"0";"1";"0";"5";"0";"3";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"57";"van Rijn, D.";"7";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1"
;;"58";"Aptroot, B.W.";"13";"0";"1";"0";"0";"1";"0";"3";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"15";"0";"0";"0";"0";"1";"0";"8";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"61";"Vulpes, M.J.";"6";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"11";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"2";"2";"0"
;;"63";"van der Klauw, R.A.";"14";"0";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"1";"1";"1";"0"
;;"64";"Rahmani, A.";"16";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1"
;;"65";"Bouma, R.A.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"455";"9";"5";"6";"4";"28";"4";"21";"56";"15";"0";"9";"1";"18";"4";"5";"10";"1";"3";"1";"1";"66";"4";"28";"1";"2";"10";"3";"2";"15";"43";"58";"22"
;;"67";"Talens, A.E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
