"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"4";"Piri, K.P.";"4290";"4290"
;;"5";"Westerveld, E.M.";"8341";"8341"
;;"6";"Patijn, M.H.";"1085";"1085"
;;"7";"Kröger, S.C.";"8306";"8306"
;;"8";"Bushoff, T.J.";"193";"193"
;;"9";"van der Lee, T.M.T.";"760";"760"
;;"10";"Mutluer, S.";"1273";"1273"
;;"11";"Bromet, L.";"2862";"2862"
;;"12";"de Hoop, H.E.";"1061";"1061"
;;"13";"Maatoug, S.";"1268";"1268"
;;"14";"Mohandis, M.";"295";"295"
;;"15";"Gabriëls, G.J.W.";"241";"241"
;;"16";"Thijssen, J.";"181";"181"
;;"17";"Bouchallikh, K.";"3921";"3921"
;;"18";"Kathmann, B.C.";"612";"612"
;;"19";"Slagt-Tichelman, E.";"338";"338"
;;"20";"Tseggai, M.";"1189";"1189"
;;"21";"White, R.J.";"985";"985"
;;"22";"Pijpelink, A.";"587";"587"
;;"23";"Chakor, G.";"1840";"1840"
;;"24";"Nordkamp, J.";"93";"93"
;;"25";"Stultiens, L.C.J.";"372";"372"
;;"26";"Haage, M.W.";"1649";"1649"
;;"27";"Hirsch, D.H.";"6695";"6695"
;;"28";"de Jong, H.A.";"348";"348"
;;"29";"Postma, J.P.";"39";"39"
;;"30";"Oosting, I.";"828";"828"
;;"31";"de Boer, M.M.";"1403";"1403"
;;"32";"Daenen, J.W.B.";"104";"104"
;;"33";"Ranshuijsen, A.B.";"874";"874"
;;"34";"Köseoglu, E.";"1632";"1632"
;;"35";"van Roemburg, E.T.W.";"472";"472"
;;"36";"Nessar, A.";"77";"77"
;;"37";"Muns, L.";"450";"450"
;;"38";"Vrolijks, I.L.";"491";"491"
;;"39";"Smits, P.L.";"75";"75"
;;"40";"Nabih, M.";"106";"106"
;;"41";"Rietveld, M.D.";"33";"33"
;;"42";"Torunoglu, Y.";"81";"81"
;;"43";"de Bruijn, E.";"396";"396"
;;"44";"Bosman, E.M.";"75";"75"
;;"45";"Kuipers, C.M.";"56";"56"
;;"46";"van Schalkwijk, M.W.";"79";"79"
;;"47";"van der Steenhoven, G.P.G.";"16";"16"
;;"48";"Tselms, R.V.";"120";"120"
;;"49";"Gankema, P.";"206";"206"
;;"50";"Moorman, M.";"4922";"4922"
"4";"PVV (Partij voor de Vrijheid)";;;"40470";"40470"
;;"1";"Wilders, G.";"35666";"35666"
;;"2";"Agema, M.";"2027";"2027"
;;"3";"van Meetelen, R.F.";"126";"126"
;;"4";"Markuszower, G.";"367";"367"
;;"5";"Bosma, M.";"1726";"1726"
;;"6";"Claassen, R.A.B.";"40";"40"
;;"7";"Faber, M.H.M.";"97";"97"
;;"8";"Mulder, E.";"25";"25"
;;"9";"Maeijer, V.";"46";"46"
;;"10";"van Dijck, A.P.C.";"11";"11"
;;"11";"Kops, A.";"9";"9"
;;"12";"Madlener, B.";"2";"2"
;;"13";"de Jong, L.W.E.";"34";"34"
;;"14";"Graus, D.J.G.";"27";"27"
;;"15";"Blaauw, R.B.";"12";"12"
;;"16";"de Roon, R.";"6";"6"
;;"17";"van Dijk, E.";"13";"13"
;;"18";"de Vree, J.H.";"1";"1"
;;"19";"Aardema, M.";"7";"7"
;;"20";"van der Velde, M.K.";"49";"49"
;;"21";"van der Hoeff, P.H.";"12";"12"
;;"22";"Deen, M.";"7";"7"
;;"23";"Nijhof-Leeuw, J.M.";"17";"17"
;;"24";"Boon, M.C.H.";"5";"5"
;;"25";"Mooiman, J.";"8";"8"
;;"26";"Ram, D.";"9";"9"
;;"27";"Vlottes, E.";"4";"4"
;;"28";"Smitskam, P.";"1";"1"
;;"29";"Esser, E.R.F.";"5";"5"
;;"30";"Boutkan, W.";"10";"10"
;;"31";"van den Born, V.H.";"5";"5"
;;"32";"Crijns, P.P.";"0";"0"
;;"33";"van Haasen, J.P.";"8";"8"
;;"34";"Vondeling, M.";"35";"35"
;;"35";"Valize, J.J.T.M.";"3";"3"
;;"36";"Heutink, H.D.";"2";"2"
;;"37";"Pool, J.";"2";"2"
;;"38";"Faddegon, C.J.";"3";"3"
;;"39";"Uppelschoten, N.A.";"1";"1"
;;"40";"Rep, R.J.H.H.";"1";"1"
;;"41";"Thiadens, F.M.";"1";"1"
;;"42";"Raijer, A.J.";"26";"26"
;;"43";"van Bijnen, H.M.";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"0";"0"
;;"45";"van Strien, G.A.";"14";"14"
"5";"CDA";;;"3717";"3717"
;;"1";"Bontenbal, H.";"3039";"3039"
;;"2";"Vedder, E.C.";"224";"224"
;;"3";"Boswijk, D.G.";"42";"42"
;;"4";"van Dijk, I.";"64";"64"
;;"5";"Krul, H.M.";"32";"32"
;;"6";"Palland-Mulder, H.M.";"27";"27"
;;"7";"van den Brink, G.";"12";"12"
;;"8";"Absil, M.G.J.A.C.";"11";"11"
;;"9";"Steen, H.S.";"16";"16"
;;"10";"Kuik, A.";"33";"33"
;;"11";"Spoelstra, J.";"7";"7"
;;"12";"Slootweg, E.J.";"7";"7"
;;"13";"Chaoui-Nhass, S.";"15";"15"
;;"14";"Zwinkels, J.M.";"32";"32"
;;"15";"Diederen, R.";"3";"3"
;;"16";"Hamstra, S.";"7";"7"
;;"17";"Houmes, E.S.";"11";"11"
;;"18";"van den Berg, J.H.C.";"13";"13"
;;"19";"de Haan, J.D.P.";"3";"3"
;;"20";"Vermeer, J.";"1";"1"
;;"21";"van der Heide, E.J.";"2";"2"
;;"22";"Goos, J.C.M.";"1";"1"
;;"23";"Boogaard, P.";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"7";"7"
;;"25";"Segers-Hoogendoorn, R.G.C.";"4";"4"
;;"26";"van Gijssel, A.K.";"1";"1"
;;"27";"Goudriaan, L.H.";"2";"2"
;;"28";"van Lagen, M.";"3";"3"
;;"29";"van der Spek, A.M.";"2";"2"
;;"30";"Out, F.M.S.";"3";"3"
;;"31";"Silos, J.J.";"0";"0"
;;"32";"Tuncer, Y.";"5";"5"
;;"33";"Broekhuis, J.C.";"2";"2"
;;"34";"van den Oever, J.A.";"1";"1"
;;"35";"van den Berg, J.A.M.J.";"0";"0"
;;"36";"Beers, A.M.A.G.";"5";"5"
;;"37";"van Luik, D.A.N.";"0";"0"
;;"38";"van Dekken, B.";"4";"4"
;;"39";"Luijten, S.C.A.";"2";"2"
;;"40";"Dost, H.J.";"0";"0"
;;"41";"Buijs, T.S.F.";"1";"1"
;;"42";"van de Giessen, L.H.";"3";"3"
;;"43";"Bracke, D.G.A.J.";"1";"1"
;;"44";"Joosten, J.P.J.";"0";"0"
;;"45";"Meppelink, E.M.";"6";"6"
;;"46";"van Dijk, Q.A.";"1";"1"
;;"47";"van Lankvelt, F.J.M.";"0";"0"
;;"48";"Siegmann, A.H.";"9";"9"
;;"49";"van de Kamp, L.B.";"53";"53"
"6";"SP (Socialistische Partij)";;;"13383";"13383"
;;"1";"Marijnissen, L.M.C.";"10492";"10492"
;;"2";"Beckerman, S.M.";"486";"486"
;;"3";"van Kent, B.";"81";"81"
;;"4";"Dijk, J.P.";"74";"74"
;;"5";"van Nispen, M.";"74";"74"
;;"6";"Dobbe, S.E.M.";"206";"206"
;;"7";"Temmink, N.G.J.";"100";"100"
;;"8";"ten Broeke, M.J.";"20";"20"
;;"9";"van Dijk, J.J.";"103";"103"
;;"10";"Meijer, B.W.V.";"47";"47"
;;"11";"Elfrink, G.E.";"3";"3"
;;"12";"Wolters Gregório, J.";"17";"17"
;;"13";"Boerwinkel, E.M.J.";"10";"10"
;;"14";"Alberts, R.";"671";"671"
;;"15";"van der Nat, H.F.A.";"10";"10"
;;"16";"Memiş, M.";"72";"72"
;;"17";"van Dijk, D.";"30";"30"
;;"18";"de Ridder, N.";"23";"23"
;;"19";"Yahyaoui, J.";"230";"230"
;;"20";"van Boven, A.W.";"7";"7"
;;"21";"Coppus, T.H.C.";"5";"5"
;;"22";"Topma, X.M.";"2";"2"
;;"23";"van Wijngaarden, T.J.J.";"4";"4"
;;"24";"Coşkun, T.S.J.";"25";"25"
;;"25";"van den Hout, S.G.";"6";"6"
;;"26";"van der Wijk, N.H.F.";"4";"4"
;;"27";"Verdaasdonk, I.";"8";"8"
;;"28";"van Rossum, L.";"14";"14"
;;"29";"Rongen, K.S.";"3";"3"
;;"30";"van Hooft, J.W.H.";"0";"0"
;;"31";"Cramer, A.";"6";"6"
;;"32";"van Scheltinga, E.";"0";"0"
;;"33";"van Unen, G.";"2";"2"
;;"34";"Kuin, R.M.";"4";"4"
;;"35";"Harris, D.C.";"5";"5"
;;"36";"van der Veen, J.";"1";"1"
;;"37";"Zandvliet, S.K.D.S.";"2";"2"
;;"38";"Spanner, A.M.";"10";"10"
;;"39";"Boer, M.I.";"4";"4"
;;"40";"Ramesar, J.S.";"34";"34"
;;"41";"ten Heuw, M.A.";"5";"5"
;;"42";"van der Sluis, J.H.A.";"1";"1"
;;"43";"Schelvis, A.";"3";"3"
;;"44";"de Man, W.J.";"6";"6"
;;"45";"Hendriks-Berg, A.M.G.";"6";"6"
;;"46";"de Vries, E.";"2";"2"
;;"47";"Eikenaar, E.";"3";"3"
;;"48";"Clemens, J.M.M.";"1";"1"
;;"49";"Courbois, P.A.O.";"5";"5"
;;"50";"Leijten, R.M.";"456";"456"
"7";"Forum voor Democratie";;;"8672";"8672"
;;"1";"Baudet, T.H.P.";"6316";"6316"
;;"2";"Jansen, F.J.H.";"128";"128"
;;"3";"van Meijeren, G.F.C.";"1445";"1445"
;;"4";"van Houwelingen, P.";"218";"218"
;;"5";"Dekker, R.J.";"173";"173"
;;"6";"de Vos, L.G.";"102";"102"
;;"7";"Russcher, T.K.";"22";"22"
;;"8";"Etalle, M.J.S.";"7";"7"
;;"9";"Bakir, A.";"39";"39"
;;"10";"Dessing, J.";"10";"10"
;;"11";"Vastenhouw, J.";"2";"2"
;;"12";"Al Biyati, I.";"41";"41"
;;"13";"de Knegt, R.E.R.";"4";"4"
;;"14";"Verstegen, P.J.T.";"5";"5"
;;"15";"van Schijndel, A.H.J.W.";"6";"6"
;;"16";"Antolini, B.M.";"3";"3"
;;"17";"Bos, M.";"2";"2"
;;"18";"Koopman, P.";"7";"7"
;;"19";"van Asch, R.W.G.T.";"3";"3"
;;"20";"van den Boomgaard, M.R.";"2";"2"
;;"21";"Middelkoop, M.C.";"4";"4"
;;"22";"van Haarlem, C.R.O.";"3";"3"
;;"23";"Genet, M.";"10";"10"
;;"24";"Akasi, S.";"12";"12"
;;"25";"van Veen, A.";"3";"3"
;;"26";"Bruinsma, S.P.";"8";"8"
;;"27";"de Lange, A.K.";"0";"0"
;;"28";"Hadderingh, B.S.T.";"0";"0"
;;"29";"Wittebrood, J.C.";"0";"0"
;;"30";"Bilgin, T.";"19";"19"
;;"31";"Luurssen, G.A.A.";"0";"0"
;;"32";"Minkels, J.D.";"0";"0"
;;"33";"Heller, T.H.G.";"0";"0"
;;"34";"Postuma, J.V.";"19";"19"
;;"35";"Vos, A.V.B.";"4";"4"
;;"36";"Hartman, M.";"1";"1"
;;"37";"Panis, T.";"3";"3"
;;"38";"van der Voort, J.A.";"3";"3"
;;"39";"Nijman, M.";"0";"0"
;;"40";"Wijngaard, M.M.";"2";"2"
;;"41";"van Rij, S.";"0";"0"
;;"42";"van Run, E.R.";"0";"0"
;;"43";"van de Breevaart, J.O.";"0";"0"
;;"44";"Schaap, D.V.";"1";"1"
;;"45";"de Graaff, M.J.R.L.";"3";"3"
;;"46";"Zwitser, T.";"12";"12"
;;"47";"van den Oetelaar, J.C.M.";"0";"0"
;;"48";"Kerseboom, S.";"12";"12"
;;"49";"Cliteur, P.B.";"18";"18"
"8";"Partij voor de Dieren";;;"20059";"20059"
;;"1";"Ouwehand, E.";"11550";"11550"
;;"2";"Kostić, I.";"2109";"2109"
;;"3";"Teunissen, C.";"566";"566"
;;"4";"Wassenberg, F.P.";"195";"195"
;;"5";"Akerboom, E.S.";"637";"637"
;;"6";"van Raan, L.";"541";"541"
;;"7";"van Schaik, M.";"396";"396"
