"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"37";"Pallandt, C.M.J.";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"38";"Pechler, W.I.";"15";"3";"0";"1";"0";"0";"1";"2";"1";"3";"0";"3";"1"
;;"39";"van Lierop, J.";"3";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Kuijer, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"26";"4";"0";"5";"3";"9";"2";"0";"0";"0";"0";"2";"1"
;;"43";"Oudshoorn, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"45";"Samshuijzen, E.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"4";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"47";"Onderdelinden, S.E.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
;;"50";"Minnaert, X.D.E.";"21";"3";"1";"5";"2";"3";"1";"1";"0";"2";"1";"1";"1"
"9";"ChristenUnie";;;"8541";"2191";"255";"969";"1386";"822";"245";"312";"390";"577";"223";"625";"546"
;;"1";"Bikker, M.H.";"5926";"1362";"191";"712";"1095";"594";"161";"216";"292";"353";"173";"378";"399"
;;"2";"Grinwis, P.A.";"114";"26";"4";"14";"14";"14";"6";"7";"10";"5";"3";"7";"4"
;;"3";"Ceder, D.G.M.";"162";"43";"3";"16";"25";"27";"2";"5";"9";"5";"3";"11";"13"
;;"4";"te Rietstap, A.H.";"143";"26";"14";"27";"30";"25";"0";"1";"8";"1";"3";"2";"6"
;;"5";"Gooijer-Medema, J.K.";"76";"14";"0";"10";"12";"11";"3";"0";"3";"8";"4";"4";"7"
;;"6";"Drost, N.";"49";"10";"2";"8";"6";"3";"3";"3";"2";"2";"1";"6";"3"
;;"7";"Holtman, T.S.";"19";"7";"1";"3";"6";"1";"0";"1";"0";"0";"0";"0";"0"
;;"8";"Otter-van den Bosch, C.";"23";"1";"2";"3";"1";"5";"0";"2";"1";"1";"3";"1";"3"
;;"9";"van der Graaf, S.J.F.";"1318";"375";"21";"105";"124";"98";"45";"61";"46";"169";"17";"182";"75"
;;"10";"Klein, M.C.A.";"8";"0";"0";"4";"0";"0";"1";"1";"0";"0";"2";"0";"0"
;;"11";"Niesink, C.C.M.";"38";"12";"1";"3";"4";"4";"2";"1";"1";"5";"4";"1";"0"
;;"12";"Setz, J.N.";"379";"257";"5";"22";"21";"5";"13";"7";"6";"13";"2";"8";"20"
;;"13";"van der Krift, H.J.C.";"5";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Langen, A.L.";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"16";"van Wageningen, E.";"7";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0"
;;"17";"Tijhof, B.D.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"de Reus, W.T.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"5";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0"
;;"20";"Treurniet, M.";"14";"1";"0";"1";"1";"0";"3";"0";"0";"3";"1";"2";"2"
;;"21";"Palland, A.S.";"8";"0";"1";"2";"2";"0";"0";"1";"0";"0";"0";"1";"1"
;;"22";"Westerbeek, A.E.";"17";"2";"1";"1";"2";"2";"1";"0";"2";"1";"0";"3";"2"
;;"23";"Muilwijk, I.";"3";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Westerink-Petersen, J.";"4";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1"
;;"25";"Dijkstra-Verbeek, I.A.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Berg, G.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"4";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"4";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"29";"Koerts, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"4";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0"
;;"31";"Verweij, J.P.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"8";"2";"0";"1";"1";"0";"0";"0";"0";"3";"1";"0";"0"
;;"33";"Kumar, A.D.J.M.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"35";"Visser, J.A.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"4";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"37";"Oudman, A.G.";"13";"5";"0";"2";"0";"3";"0";"0";"0";"1";"0";"2";"0"
;;"38";"van der Zande, J.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"5";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0"
;;"41";"Cornelissen, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"6";"1";"0";"0";"0";"1";"0";"3";"0";"0";"0";"1";"0"
;;"46";"Bosman, F.G.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"10";"1";"0";"1";"2";"3";"0";"0";"1";"1";"0";"1";"0"
;;"48";"Stoorvogel, H.";"77";"11";"3";"19";"18";"13";"0";"1";"0";"2";"3";"0";"7"
;;"49";"van den Berg, R.C.";"12";"6";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0"
;;"50";"de Graaf, B.A.";"50";"11";"2";"5";"7";"6";"3";"0";"2";"1";"2";"9";"2"
"10";"Volt";;;"3254";"587";"167";"378";"199";"351";"245";"119";"155";"280";"160";"409";"204"
;;"1";"Dassen, L.A.J.M.";"1805";"309";"99";"227";"109";"184";"122";"61";"91";"141";"100";"250";"112"
;;"2";"Koekkoek, M.";"630";"124";"31";"73";"40";"86";"54";"32";"31";"42";"27";"56";"34"
;;"3";"Boutkan, E.";"17";"5";"2";"2";"1";"1";"0";"0";"2";"0";"4";"0";"0"
;;"4";"Elfilali, I.";"66";"12";"1";"10";"5";"12";"3";"1";"3";"5";"6";"6";"2"
;;"5";"Hagoort, M.B.J.";"8";"1";"0";"1";"0";"1";"0";"1";"0";"3";"0";"1";"0"
;;"6";"Frijters, R.M.J.";"46";"12";"2";"2";"6";"9";"3";"3";"2";"2";"1";"2";"2"
;;"7";"de Boer, R.W.";"6";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"2";"0"
;;"8";"van der Lugt, S.";"43";"6";"3";"6";"1";"7";"4";"0";"7";"2";"1";"3";"3"
;;"9";"Beijnon, B.";"8";"1";"1";"0";"0";"2";"0";"0";"1";"2";"0";"1";"0"
;;"10";"Twickler, R.";"504";"106";"18";"43";"23";"21";"55";"19";"12";"75";"12";"82";"38"
;;"11";"Ercan, C.";"60";"2";"4";"6";"8";"20";"1";"2";"5";"0";"4";"5";"3"
;;"12";"Hamel, J.E.R.";"15";"1";"4";"2";"1";"2";"0";"0";"1";"1";"1";"0";"2"
;;"13";"van Ewijk, W.H.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"14";"van Laar, S.A.";"14";"1";"0";"2";"1";"0";"0";"0";"0";"3";"1";"1";"5"
;;"15";"Tai, M.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"16";"Pajak, V.L.";"5";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"17";"Eigenhuis, F.";"4";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"18";"Verbeek, E.L.I.";"5";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1"
;;"19";"Hemmes, B.J.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Elsinga, D.";"5";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1"
;;"21";"Dreteler, S.J.";"9";"3";"1";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0"
"11";"JA21";;;"1993";"267";"137";"402";"270";"160";"112";"105";"121";"117";"78";"112";"112"
;;"1";"Eerdmans, B.J.";"1400";"170";"106";"255";"207";"114";"79";"81";"97";"77";"58";"75";"81"
;;"2";"Nanninga, A.";"256";"49";"11";"40";"27";"30";"14";"13";"12";"22";"9";"13";"16"
;;"3";"Ceulemans, S.";"7";"3";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1"
;;"4";"Bakker-Derks, E.H.M.";"29";"4";"1";"6";"3";"3";"3";"0";"1";"2";"1";"4";"1"
;;"5";"van Doorn, D.M.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"6";"Goudzwaard, M.";"22";"3";"1";"2";"1";"2";"1";"0";"0";"3";"0";"5";"4"
;;"7";"Schyns, P.F.M.";"3";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Uiterwijk, K.";"9";"3";"0";"0";"3";"1";"0";"0";"0";"0";"0";"1";"1"
;;"9";"Dijksterhuis, R.G.";"3";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"10";"van den Berg, D.J.";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Omlo, H.";"130";"5";"11";"69";"14";"3";"5";"6";"7";"0";"1";"4";"5"
;;"12";"Hesselink, S.W.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Nuijten, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"5";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0"
;;"15";"Soltani, M.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"16";"Baten, L.C.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"22";"Vos, L.L.";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"80";"23";"3";"13";"7";"5";"5";"3";"2";"6";"6";"6";"1"
;;"25";"Hogendoorn, G.A.M.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"5";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"27";"Bloemenkamp, J.H.";"4";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"5";"0";"0";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0"
;;"29";"Veenvliet, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"7";"1";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"6";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"2569";"424";"152";"315";"714";"157";"43";"111";"155";"107";"83";"75";"233"
;;"1";"Stoffer, C.";"2221";"384";"137";"277";"597";"138";"37";"102";"127";"88";"64";"68";"202"
;;"2";"van Dijk, D.J.H.";"51";"9";"0";"9";"8";"1";"0";"0";"8";"2";"4";"3";"7"
;;"3";"Flach, A.J.";"27";"3";"1";"3";"3";"3";"1";"1";"3";"5";"3";"1";"0"
;;"4";"Middelkoop, P.N.";"55";"4";"3";"7";"14";"6";"1";"1";"7";"3";"5";"1";"3"
;;"5";"Vroegindeweij, W.J.";"9";"1";"1";"1";"1";"1";"0";"1";"0";"0";"2";"1";"0"
;;"6";"van der Maas, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"van der Wind, H.J.";"5";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
;;"8";"Both, D.D.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Kloosterman, J.";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"10";"van Heijst, R.C.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"11";"van der Wulp, A.D.";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Polinder, H.J.";"22";"10";"0";"2";"4";"0";"0";"0";"3";"1";"0";"0";"2"
;;"13";"Slingerland, M.";"4";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"14";"van Duijn, W.J.";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Barth, L.G.I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Lukasse, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Tanis, J.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"18";"Bosma, E.G.";"5";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schipaanboord, G.P.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Veldman, J.D.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Hartog, J.";"13";"3";"0";"0";"0";"1";"2";"0";"0";"4";"0";"0";"3"
;;"22";"Koekoek, J.T.";"102";"3";"4";"7";"74";"1";"0";"2";"1";"1";"1";"0";"8"
;;"23";"de Knegt, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"3";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"25";"Bakker, T.";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Kok, W.H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Westreenen, S.";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"28";"Noordergraaf, P.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Boersma, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"14";"0";"0";"1";"1";"5";"0";"0";"2";"1";"2";"1";"1"
;;"31";"van de Waerdt, C.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"6";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3"
;;"33";"Versteeg, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"38";"van Laar, G.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"39";"Scheppink, A.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Iwaarden, D.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van Tuijl, L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Proos, A.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"13";"DENK";;;"1487";"365";"59";"404";"193";"260";"42";"17";"27";"21";"17";"36";"46"
;;"1";"van Baarle, S.R.T.";"1068";"258";"46";"290";"135";"188";"30";"14";"22";"15";"12";"27";"31"
;;"2";"Ergin, D.A.";"83";"16";"4";"29";"25";"4";"2";"0";"0";"0";"0";"0";"3"
;;"3";"El Abassi, I.";"85";"18";"2";"18";"8";"28";"2";"0";"3";"2";"1";"2";"1"
;;"4";"Alrubey, A.";"88";"32";"5";"10";"6";"19";"3";"1";"1";"2";"1";"2";"6"
;;"5";"Gün, E.";"14";"2";"0";"4";"1";"2";"0";"1";"0";"0";"2";"0";"2"
;;"6";"Usta, Y.";"17";"2";"0";"5";"7";"0";"2";"0";"0";"0";"0";"0";"1"
;;"7";"Rijssel, N.E.";"18";"4";"0";"3";"5";"4";"0";"0";"0";"0";"1";"1";"0"
;;"8";"Maroof, A.";"5";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"9";"Mac Intosch, G.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"10";"Safranti, M.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"11";"Bayrakci, Y.C.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Ghazi, M.I.";"4";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Özçelik, S.";"13";"5";"0";"5";"1";"2";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Kaya, A.";"19";"5";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"15";"Konuksever-Tekin, A.";"4";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"16";"Fkihi, O.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Çetinkaya, T.";"7";"1";"0";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Şahin, E.";"8";"3";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Kaplan, Ç.";"4";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Manhoef, E.E.";"4";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Tan, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kondu, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Ileri, F.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Buyatui, H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Burik, M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Muradin, N.";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"29";"Delener, I.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
;;"31";"Ağirbaş, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Özcan, R.";"4";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"33";"Tangali, M.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Othman, R.";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"35";"Yildirim, A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Akhatab, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Ben Touhami, M.";"3";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Bal, M.I.";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Pancar, Ş.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Akça, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"5";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Icar, N.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Khan, S.Y.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Sungur, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Koyuncu, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Achbar, F.";"5";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"14";"50PLUS";;;"1470";"223";"81";"406";"145";"102";"60";"79";"61";"94";"48";"78";"93"
;;"1";"van Hooft, G.O.P.C.";"743";"109";"42";"201";"76";"46";"35";"39";"39";"48";"24";"43";"41"
;;"2";"van Rooij, M.G.J.H.";"43";"5";"2";"16";"6";"3";"1";"2";"1";"5";"1";"0";"1"
;;"3";"Brouwers, J.F.X.M.";"14";"1";"1";"6";"0";"0";"0";"1";"0";"0";"1";"2";"2"
;;"4";"Hoek, W.M.M.";"205";"38";"10";"36";"28";"13";"8";"10";"8";"20";"8";"11";"15"
;;"5";"van Acquoij, R.H.";"10";"2";"1";"5";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"6";"Hernández Martínez, A.";"44";"7";"0";"12";"5";"10";"0";"4";"1";"2";"0";"0";"3"
;;"7";"Fonhof, G.J.";"170";"40";"8";"21";"9";"11";"10";"6";"9";"11";"7";"13";"25"
;;"8";"van Tilborg, H.C.A.M.";"5";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0"
;;"9";"van Orsouw, J.H.T.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"10";"Faassen, A.G.";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"11";"Hessing, J.C.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Jablonski, J.";"4";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Bongers, J.W.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"Franse, A.H.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Loon, J.C.A.";"5";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0"
;;"16";"de Kruif, F.N.J.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van Es, J.W.";"6";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1"
;;"18";"Biever, R.M.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Hamersma, K.";"27";"3";"2";"3";"1";"2";"5";"2";"0";"4";"0";"5";"0"
;;"20";"Hornis, M.P.";"164";"8";"13";"98";"13";"8";"1";"13";"3";"1";"2";"1";"3"
;;"21";"van Aert, J.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Vriens, M.F.L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"23";"Voets, J.J.M.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Hendriks, J.";"12";"5";"0";"2";"2";"2";"0";"1";"0";"0";"0";"0";"0"
