"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"49";"van Meerten-Kok, M.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"50";"Hoogezand, B.";"5";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"51";"Achterbergh, M.";"4";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"52";"Wendel, H.";"354";"63";"5";"25";"3";"4";"28";"13";"4";"109";"8";"77";"15"
;;"53";"Kohli, N.R.";"8";"0";"1";"0";"1";"0";"1";"0";"0";"3";"0";"2";"0"
;;"54";"Klerks, I.C.";"3";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"10";"1";"5";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0"
;;"57";"van Rijn, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"9";"0";"4";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0"
;;"61";"Vulpes, M.J.";"21";"9";"0";"1";"0";"3";"4";"0";"0";"1";"0";"2";"1"
;;"62";"van Os, J.L.P.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0"
;;"63";"van der Klauw, R.A.";"5";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0"
;;"64";"Rahmani, A.";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"3";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"3";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"67";"Talens, A.E.";"370";"23";"179";"69";"31";"8";"10";"15";"5";"6";"3";"4";"17"
;;"68";"Bruin, R.N.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"69";"van 't Hull-Bettink, G.D.W.";"10";"0";"4";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0"
;;"70";"Gadella, J.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1"
;;"73";"Van der Sanden, M.M.E.";"5";"0";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"76";"de Wolff, I.";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"77";"de Boer, Y.";"6";"2";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0"
;;"78";"Yildirim, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"79";"Mulder, H.";"324";"13";"7";"9";"35";"65";"6";"3";"137";"2";"26";"5";"16"
;;"80";"van der Weijden, M.";"49";"11";"2";"7";"5";"9";"1";"0";"0";"2";"0";"4";"8"
"2";"D66";;;"14467";"2393";"818";"1977";"943";"1200";"1005";"589";"683";"1340";"659";"2052";"808"
;;"1";"Jetten, R.A.A.";"9239";"1489";"565";"1276";"658";"796";"599";"381";"492";"804";"481";"1211";"487"
;;"2";"Paternotte, J.M.";"322";"52";"25";"38";"18";"46";"21";"13";"22";"25";"4";"43";"15"
;;"3";"Vijlbrief, J.A.";"511";"72";"20";"60";"12";"25";"64";"24";"19";"62";"23";"96";"34"
;;"4";"Podt, A.";"1084";"184";"55";"122";"88";"116";"76";"37";"46";"94";"52";"148";"66"
;;"5";"Sneller, J.C.";"25";"1";"1";"6";"4";"3";"2";"0";"0";"2";"0";"3";"3"
;;"6";"Rooderkerk, I.";"127";"27";"8";"24";"8";"11";"6";"2";"5";"9";"7";"15";"5"
;;"7";"Paulusma, W.";"1774";"342";"80";"184";"65";"65";"152";"76";"44";"239";"40";"374";"113"
;;"8";"van der Werf, J.J.";"103";"20";"2";"12";"10";"16";"7";"3";"2";"7";"7";"7";"10"
;;"9";"Bamenga, P.";"24";"1";"0";"3";"2";"3";"2";"2";"0";"4";"2";"5";"0"
;;"10";"de Groot, T.C.";"113";"21";"3";"10";"5";"12";"8";"3";"7";"13";"11";"16";"4"
;;"11";"Synhaeve, M.";"119";"17";"7";"18";"9";"17";"10";"4";"4";"13";"3";"10";"7"
;;"12";"van Ginneken, L.M.";"106";"16";"6";"13";"15";"5";"6";"6";"3";"8";"2";"19";"7"
;;"13";"Belhaj, S.";"37";"15";"1";"4";"3";"4";"1";"1";"0";"3";"1";"3";"1"
;;"14";"Boulakjar, F.";"6";"1";"0";"2";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"15";"Sahla, F.";"14";"0";"0";"2";"0";"2";"1";"2";"1";"0";"2";"2";"2"
;;"16";"Klos, F.C.O.";"3";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"17";"Kat, H.";"27";"10";"2";"3";"0";"2";"0";"0";"0";"5";"0";"2";"3"
;;"18";"Warmerdam, S.";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Alberg, S.T.";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1"
