"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
;;"37";"Panis, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
;;"43";"van de Breevaart, J.O.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"3"
;;"44";"Schaap, D.V.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"6";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"0";"1";"0"
;;"46";"Zwitser, T.";"10";"1";"1";"0";"0";"1";"1";"2";"1";"0";"0";"0";"2";"1";"0"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"11";"1";"0";"0";"0";"0";"1";"1";"3";"0";"2";"1";"0";"0";"2"
;;"49";"Cliteur, P.B.";"10";"0";"1";"0";"0";"0";"0";"6";"1";"1";"1";"0";"0";"0";"0"
"8";"Partij voor de Dieren";;;"9068";"247";"287";"555";"175";"254";"222";"4722";"392";"453";"282";"211";"110";"690";"468"
;;"1";"Ouwehand, E.";"6138";"184";"223";"355";"127";"197";"169";"2902";"281";"341";"220";"169";"78";"523";"369"
;;"2";"Kostić, I.";"634";"10";"12";"27";"12";"6";"10";"433";"23";"22";"12";"6";"7";"37";"17"
;;"3";"Teunissen, C.";"273";"6";"6";"14";"11";"5";"10";"150";"14";"10";"5";"4";"4";"18";"16"
;;"4";"Wassenberg, F.P.";"104";"1";"4";"0";"3";"6";"3";"64";"3";"4";"0";"3";"2";"5";"6"
;;"5";"Akerboom, E.S.";"312";"4";"2";"13";"3";"8";"3";"194";"18";"16";"11";"3";"3";"23";"11"
;;"6";"van Raan, L.";"42";"0";"0";"6";"0";"1";"1";"27";"1";"1";"0";"0";"0";"5";"0"
;;"7";"van Schaik, M.";"193";"5";"6";"14";"0";"3";"5";"128";"4";"7";"2";"2";"0";"10";"7"
;;"8";"Krijger, A.L.";"337";"13";"5";"17";"3";"6";"2";"244";"7";"8";"8";"5";"1";"12";"6"
;;"9";"Plusquin, P.S.M.L.";"63";"0";"0";"3";"0";"1";"1";"40";"7";"2";"0";"1";"2";"5";"1"
;;"10";"Groenewege, P.J.L.";"11";"0";"1";"2";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"1"
;;"11";"van Heuven, M.";"9";"0";"1";"0";"1";"0";"0";"4";"0";"0";"0";"1";"0";"1";"1"
;;"12";"van Hassel, F.";"42";"0";"4";"0";"1";"1";"0";"18";"3";"3";"0";"2";"7";"1";"2"
;;"13";"Bunnik, R.J.";"46";"1";"0";"1";"0";"0";"1";"36";"0";"2";"0";"1";"0";"2";"2"
;;"14";"Schmeets, H.H.J.";"13";"0";"0";"2";"0";"0";"1";"9";"1";"0";"0";"0";"0";"0";"0"
;;"15";"Pınar, K.";"37";"0";"0";"2";"0";"0";"0";"26";"3";"1";"1";"0";"2";"1";"1"
;;"16";"Jones, M.G.";"11";"0";"1";"0";"0";"0";"1";"5";"0";"1";"2";"0";"0";"1";"0"
;;"17";"Bosma, J.";"52";"3";"0";"1";"1";"0";"3";"38";"0";"1";"0";"1";"1";"2";"1"
;;"18";"Barker, R.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Wijlandt, K.";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"13";"0";"0";"1";"0";"0";"0";"7";"2";"0";"0";"1";"0";"2";"0"
;;"21";"Hollebeek, J.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"17";"0";"0";"0";"0";"1";"0";"14";"1";"0";"1";"0";"0";"0";"0"
;;"23";"Salemans, B.R.";"228";"2";"0";"0";"2";"9";"0";"176";"0";"9";"1";"5";"1";"22";"1"
;;"24";"Bersch, F.";"12";"1";"1";"0";"0";"0";"1";"7";"1";"0";"0";"0";"0";"1";"0"
;;"25";"de Gram, F.";"92";"4";"0";"0";"2";"2";"0";"68";"1";"4";"1";"0";"0";"7";"3"
;;"26";"Krediet, L.";"12";"0";"0";"0";"1";"0";"0";"9";"0";"0";"0";"0";"0";"0";"2"
;;"27";"de Vos, D.J.C.";"9";"0";"0";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"2"
;;"28";"van der Velde, M.C.";"125";"0";"14";"72";"0";"0";"2";"9";"6";"2";"5";"1";"1";"0";"13"
;;"29";"van Viegen, A.H.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"6";"0";"0";"1";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0"
;;"31";"Veenstra, M.";"6";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0"
;;"32";"Vlasveld, A.I.";"7";"0";"0";"0";"0";"0";"2";"3";"1";"0";"0";"0";"0";"1";"0"
;;"33";"Janssens, T.A.O.";"4";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"21";"0";"0";"2";"0";"0";"0";"16";"0";"2";"0";"1";"0";"0";"0"
;;"35";"van der Pluijm, L.C.";"27";"0";"6";"14";"1";"0";"0";"1";"3";"1";"1";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pallandt, C.M.J.";"14";"0";"0";"0";"0";"0";"0";"5";"1";"4";"1";"1";"1";"1";"0"
;;"38";"Pechler, W.I.";"4";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0"
;;"39";"van Lierop, J.";"7";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"2"
;;"40";"Spruit, V.";"13";"0";"1";"0";"0";"1";"0";"8";"0";"2";"0";"1";"0";"0";"0"
;;"41";"Kuijer, B.";"24";"8";"0";"0";"4";"1";"0";"6";"0";"3";"0";"1";"0";"1";"0"
;;"42";"Markandu, G.";"19";"2";"0";"1";"0";"2";"0";"11";"1";"0";"1";"0";"0";"1";"0"
;;"43";"Oudshoorn, J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Samshuijzen, E.";"26";"0";"0";"0";"0";"2";"6";"4";"3";"2";"8";"0";"0";"0";"1"
;;"46";"Brouwer, M.";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"8";"1";"0";"0";"1";"1";"0";"4";"1";"0";"0";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"5";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0"
;;"49";"van de Peppel, S.";"8";"0";"0";"1";"0";"0";"0";"5";"0";"1";"0";"0";"0";"1";"0"
;;"50";"Minnaert, X.D.E.";"32";"0";"0";"2";"2";"0";"1";"17";"0";"3";"0";"2";"0";"2";"3"
"9";"ChristenUnie";;;"4464";"82";"311";"300";"58";"68";"127";"825";"280";"126";"769";"55";"478";"94";"891"
;;"1";"Bikker, M.H.";"3514";"70";"255";"231";"48";"52";"108";"531";"231";"104";"635";"48";"365";"74";"762"
;;"2";"Grinwis, P.A.";"101";"4";"9";"5";"2";"1";"3";"25";"5";"4";"15";"1";"15";"1";"11"
;;"3";"Ceder, D.G.M.";"151";"2";"5";"29";"1";"6";"2";"42";"9";"5";"12";"1";"7";"4";"26"
;;"4";"te Rietstap, A.H.";"17";"0";"0";"2";"1";"1";"0";"7";"1";"0";"1";"0";"3";"0";"1"
;;"5";"Gooijer-Medema, J.K.";"124";"0";"4";"8";"0";"1";"0";"63";"7";"1";"8";"1";"13";"3";"15"
;;"6";"Drost, N.";"108";"0";"19";"3";"2";"0";"1";"9";"6";"1";"4";"1";"49";"1";"12"
;;"7";"Holtman, T.S.";"16";"1";"1";"0";"0";"0";"0";"5";"0";"3";"1";"1";"1";"1";"2"
;;"8";"Otter-van den Bosch, C.";"35";"0";"4";"0";"1";"1";"0";"8";"4";"0";"1";"0";"3";"2";"11"
;;"9";"van der Graaf, S.J.F.";"79";"3";"4";"5";"1";"2";"4";"28";"3";"0";"10";"1";"5";"1";"12"
;;"10";"Klein, M.C.A.";"7";"0";"0";"1";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0";"1"
;;"11";"Niesink, C.C.M.";"12";"0";"1";"1";"0";"0";"0";"6";"0";"0";"3";"0";"1";"0";"0"
;;"12";"Setz, J.N.";"9";"0";"0";"1";"0";"0";"0";"5";"0";"0";"1";"0";"0";"1";"1"
;;"13";"van der Krift, H.J.C.";"11";"1";"0";"0";"0";"0";"1";"6";"0";"2";"1";"0";"0";"0";"0"
;;"14";"Langen, A.L.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"16";"van Wageningen, E.";"5";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0";"0"
;;"17";"Tijhof, B.D.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"18";"de Reus, W.T.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2"
;;"19";"Mbwete, N.A.G.";"7";"0";"0";"0";"0";"0";"0";"2";"4";"0";"0";"0";"0";"0";"1"
;;"20";"Treurniet, M.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Palland, A.S.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"7";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"3"
;;"23";"Muilwijk, I.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"4"
;;"24";"Westerink-Petersen, J.";"22";"0";"5";"1";"0";"0";"0";"9";"1";"1";"1";"1";"0";"0";"3"
;;"25";"Dijkstra-Verbeek, I.A.W.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"26";"van den Berg, G.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"28";"de Haan, M.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Koerts, A.J.";"15";"0";"0";"1";"2";"0";"1";"0";"0";"0";"7";"0";"2";"1";"1"
;;"30";"Roor-Wubs, A.E.";"9";"0";"3";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"31";"Verweij, J.P.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Paalman-Dijkenga, I.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kumar, A.D.J.M.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1"
;;"34";"Kerklaan-van der Beek, E.M.";"6";"0";"0";"0";"0";"1";"0";"3";"0";"0";"1";"0";"1";"0";"0"
;;"35";"Visser, J.A.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"36";"van der Pol, L.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"18";"0";"0";"0";"0";"2";"0";"15";"0";"0";"0";"0";"1";"0";"0"
;;"38";"van der Zande, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"47";"0";"0";"0";"0";"0";"3";"0";"1";"0";"40";"0";"1";"0";"2"
;;"40";"van Oordt-Jonckheere, S.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1"
;;"41";"Cornelissen, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"15";"0";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Bosman, F.G.";"8";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"6";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"2"
;;"48";"Stoorvogel, H.";"18";"0";"0";"2";"0";"0";"2";"4";"2";"1";"2";"0";"0";"2";"3"
;;"49";"van den Berg, R.C.";"16";"0";"0";"1";"0";"0";"1";"1";"1";"1";"4";"0";"4";"0";"3"
;;"50";"de Graaf, B.A.";"38";"1";"0";"3";"0";"0";"0";"11";"2";"2";"7";"0";"4";"1";"7"
"10";"Volt";;;"7111";"199";"195";"369";"148";"241";"158";"4046";"316";"344";"243";"141";"66";"325";"320"
;;"1";"Dassen, L.A.J.M.";"3829";"129";"120";"182";"87";"147";"82";"2013";"183";"211";"141";"93";"38";"208";"195"
;;"2";"Koekkoek, M.";"1667";"40";"45";"114";"30";"50";"39";"952";"79";"72";"58";"25";"12";"74";"77"
;;"3";"Boutkan, E.";"71";"1";"1";"5";"0";"3";"1";"43";"2";"4";"3";"3";"0";"3";"2"
;;"4";"Elfilali, I.";"388";"6";"7";"16";"7";"9";"6";"275";"21";"10";"8";"2";"1";"9";"11"
;;"5";"Hagoort, M.B.J.";"36";"1";"2";"2";"0";"1";"1";"21";"1";"4";"0";"0";"0";"3";"0"
;;"6";"Frijters, R.M.J.";"382";"9";"2";"7";"6";"10";"8";"298";"7";"13";"9";"1";"1";"7";"4"
;;"7";"de Boer, R.W.";"28";"0";"0";"2";"1";"3";"1";"17";"0";"1";"2";"0";"0";"0";"1"
;;"8";"van der Lugt, S.";"217";"2";"13";"11";"7";"7";"7";"116";"15";"5";"8";"4";"6";"6";"10"
;;"9";"Beijnon, B.";"93";"1";"1";"1";"1";"3";"6";"52";"1";"7";"10";"5";"0";"0";"5"
;;"10";"Twickler, R.";"99";"4";"2";"6";"2";"1";"0";"70";"1";"4";"0";"1";"2";"3";"3"
;;"11";"Ercan, C.";"23";"0";"0";"1";"0";"0";"0";"16";"1";"2";"0";"1";"0";"2";"0"
;;"12";"Hamel, J.E.R.";"51";"0";"2";"12";"0";"3";"0";"26";"1";"1";"1";"0";"1";"1";"3"
;;"13";"van Ewijk, W.H.E.";"29";"2";"0";"1";"0";"1";"4";"11";"0";"2";"2";"1";"1";"2";"2"
;;"14";"van Laar, S.A.";"50";"0";"0";"2";"2";"1";"0";"39";"2";"2";"0";"0";"1";"0";"1"
;;"15";"Tai, M.T.";"7";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0"
;;"16";"Pajak, V.L.";"52";"3";"0";"2";"0";"2";"0";"38";"0";"2";"0";"1";"1";"2";"1"
;;"17";"Eigenhuis, F.";"13";"1";"0";"0";"1";"0";"0";"9";"0";"0";"0";"0";"0";"1";"1"
;;"18";"Verbeek, E.L.I.";"21";"0";"0";"2";"1";"0";"1";"14";"1";"1";"0";"0";"1";"0";"0"
;;"19";"Hemmes, B.J.A.";"6";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"1";"1";"0"
;;"20";"Elsinga, D.";"21";"0";"0";"2";"1";"0";"1";"14";"1";"1";"0";"1";"0";"0";"0"
;;"21";"Dreteler, S.J.";"28";"0";"0";"0";"1";"0";"0";"17";"0";"1";"1";"2";"0";"2";"4"
"11";"JA21";;;"2205";"116";"150";"105";"91";"57";"135";"552";"144";"204";"111";"88";"73";"147";"232"
;;"1";"Eerdmans, B.J.";"1644";"86";"114";"77";"76";"42";"107";"395";"118";"151";"93";"72";"52";"94";"167"
;;"2";"Nanninga, A.";"291";"12";"21";"19";"9";"6";"17";"79";"13";"23";"12";"9";"8";"14";"49"
;;"3";"Ceulemans, S.";"18";"1";"0";"0";"1";"3";"3";"6";"0";"3";"0";"0";"0";"0";"1"
;;"4";"Bakker-Derks, E.H.M.";"150";"13";"8";"6";"2";"5";"3";"46";"3";"19";"2";"1";"2";"35";"5"
;;"5";"van Doorn, D.M.A.";"8";"1";"0";"0";"0";"0";"0";"5";"0";"0";"2";"0";"0";"0";"0"
;;"6";"Goudzwaard, M.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1"
;;"7";"Schyns, P.F.M.";"6";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"0";"0"
;;"8";"Uiterwijk, K.";"9";"1";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"1";"2"
;;"9";"Dijksterhuis, R.G.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"van den Berg, D.J.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0"
;;"11";"Omlo, H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"12";"Hesselink, S.W.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Nuijten, K.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"6";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"1"
;;"15";"Soltani, M.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"18";"Wilson, L.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Wanders, A.M.J.M.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"6";"0";"1";"0";"0";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0"
;;"22";"Vos, L.L.";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"5";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1"
;;"27";"Bloemenkamp, J.H.";"4";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"2"
;;"30";"Koetje, J.M.";"4";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"34";"de Groot, G.P.J.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Pastors, M.G.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"7";"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"1";"1";"0";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"12668";"28";"897";"148";"19";"6";"299";"124";"155";"12";"2628";"32";"5099";"17";"3204"
;;"1";"Stoffer, C.";"11493";"27";"794";"128";"18";"6";"284";"93";"142";"8";"2420";"28";"4616";"12";"2917"
;;"2";"van Dijk, D.J.H.";"289";"1";"29";"4";"0";"0";"4";"5";"3";"0";"44";"0";"138";"1";"60"
;;"3";"Flach, A.J.";"68";"0";"5";"0";"0";"0";"0";"1";"1";"0";"21";"0";"25";"1";"14"
;;"4";"Middelkoop, P.N.";"110";"0";"9";"7";"0";"0";"3";"6";"3";"1";"18";"1";"38";"1";"23"
;;"5";"Vroegindeweij, W.J.";"23";"0";"1";"0";"0";"0";"1";"3";"0";"0";"1";"0";"13";"1";"3"
;;"6";"van der Maas, A.J.";"14";"0";"0";"1";"0";"0";"0";"1";"0";"0";"5";"0";"1";"0";"6"
;;"7";"van der Wind, H.J.";"108";"0";"12";"1";"0";"0";"0";"1";"1";"0";"12";"0";"28";"0";"53"
;;"8";"Both, D.D.";"29";"0";"5";"1";"0";"0";"0";"0";"0";"0";"4";"0";"16";"0";"3"
;;"9";"Kloosterman, J.";"7";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3"
;;"10";"van Heijst, R.C.";"29";"0";"0";"0";"0";"0";"1";"5";"0";"0";"6";"0";"11";"0";"6"
;;"11";"van der Wulp, A.D.";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0"
;;"12";"Polinder, H.J.";"11";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"4";"0";"2"
;;"13";"Slingerland, M.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1"
;;"14";"van Duijn, W.J.";"10";"0";"0";"1";"0";"0";"0";"1";"0";"0";"4";"0";"2";"1";"1"
;;"15";"Barth, L.G.I.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Lukasse, J.";"6";"0";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
;;"17";"Tanis, J.P.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1"
;;"18";"Bosma, E.G.";"11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"1"
;;"19";"Schipaanboord, G.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"20";"Veldman, J.D.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Hartog, J.";"6";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2"
;;"22";"Koekoek, J.T.";"8";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1"
;;"23";"de Knegt, L.";"13";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8";"0";"3";"0";"1"
;;"24";"van Leeuwen, G.R.";"73";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"61";"0";"8"
;;"25";"Bakker, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"26";"Kok, W.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"27";"van Westreenen, S.";"90";"0";"14";"1";"0";"0";"2";"0";"1";"0";"4";"1";"65";"0";"2"
;;"28";"Noordergraaf, P.T.";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"4"
;;"29";"Boersma, A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"30";"Talen, L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"31";"van de Waerdt, C.J.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"32";"Bulten, H.G.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"7";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"3"
;;"34";"Kisteman, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"105";"0";"7";"1";"0";"0";"0";"0";"1";"0";"12";"0";"11";"0";"73"
;;"36";"van den Dikkenberg, L.C.";"18";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"16";"0";"0"
;;"37";"Herweijer, H.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
;;"38";"van Laar, G.J.";"18";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"13";"0";"0"
;;"39";"Scheppink, A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"40";"van Heteren, R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"41";"van den Belt, B.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
