"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"50";"Hoogezand, B.";"9";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1"
;;"51";"Achterbergh, M.";"16";"2";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"2";"1";"2";"0"
;;"52";"Wendel, H.";"29";"5";"0";"1";"1";"2";"0";"0";"4";"0";"1";"0";"0";"3";"8";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"53";"Kohli, N.R.";"199";"5";"1";"2";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"146";"0";"1";"0";"3";"2";"19";"0";"2";"3";"2";"4";"4"
;;"54";"Klerks, I.C.";"9";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"55";"Dijkema, H.M.";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"2"
;;"56";"Elkerbout, A.";"132";"8";"2";"6";"0";"0";"1";"7";"0";"0";"1";"0";"1";"6";"57";"3";"1";"1";"9";"8";"3";"1";"3";"2";"5";"5";"2"
;;"57";"van Rijn, D.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"58";"Aptroot, B.W.";"18";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"4";"3"
;;"59";"de Regt, L.H.P.";"23";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"3";"4";"2";"0";"1";"1";"3";"0";"1";"0";"2";"2";"0";"0"
;;"60";"van Veen, J.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"61";"Vulpes, M.J.";"10";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"62";"van Os, J.L.P.";"6";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1"
;;"63";"van der Klauw, R.A.";"37";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"3";"18"
;;"64";"Rahmani, A.";"20";"4";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"1";"0";"0";"0";"1";"4";"0";"0";"3";"0";"0";"0"
;;"65";"Bouma, R.A.";"7";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"15";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"1";"1";"2";"2";"0";"2";"0";"1";"0";"0"
;;"67";"Talens, A.E.";"6";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"68";"Bruin, R.N.";"7";"1";"4";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"25";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"0";"0";"1";"1";"0";"2";"0";"2";"6";"1";"3";"1"
;;"70";"Gadella, J.A.N.";"175";"2";"0";"0";"3";"0";"0";"1";"0";"3";"0";"0";"0";"0";"8";"0";"0";"0";"8";"2";"141";"1";"2";"0";"0";"0";"4"
;;"71";"Vermeulen, D.";"154";"1";"2";"1";"1";"0";"0";"116";"0";"0";"1";"0";"0";"1";"11";"0";"0";"5";"3";"1";"2";"0";"2";"0";"3";"0";"4"
;;"72";"van Noort-Cnossen, M.G.";"29";"3";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"4";"10";"1";"2";"0"
;;"73";"Van der Sanden, M.M.E.";"95";"1";"0";"0";"0";"0";"0";"3";"0";"0";"7";"0";"0";"0";"66";"1";"0";"0";"1";"0";"0";"2";"8";"1";"2";"2";"1"
;;"74";"Rodoe, H.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"75";"Schollink, C.D.";"10";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0"
;;"76";"de Wolff, I.";"13";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"14";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"5";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0"
;;"78";"Yildirim, M.";"12";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
;;"79";"Mulder, H.";"58";"14";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"8";"2";"1";"1";"1";"5";"3";"1";"3";"0";"4";"3";"5"
;;"80";"van der Weijden, M.";"339";"39";"11";"12";"2";"3";"4";"9";"8";"6";"2";"2";"4";"13";"63";"21";"8";"9";"12";"16";"12";"6";"11";"10";"16";"19";"21"
"2";"D66";;;"70842";"8820";"1401";"2925";"1112";"180";"421";"2843";"1767";"289";"481";"57";"591";"2461";"24073";"1472";"330";"935";"1431";"4239";"2227";"311";"2441";"2116";"3125";"3188";"1606"
;;"1";"Jetten, R.A.A.";"44017";"5635";"958";"1967";"718";"130";"300";"1859";"1222";"179";"319";"32";"444";"1668";"13002";"998";"222";"688";"945";"2749";"1439";"222";"1527";"1406";"2135";"2151";"1102"
;;"2";"Paternotte, J.M.";"2172";"303";"51";"116";"28";"5";"8";"93";"53";"11";"16";"1";"17";"78";"635";"58";"13";"22";"46";"157";"57";"9";"89";"72";"88";"107";"39"
;;"3";"Vijlbrief, J.A.";"911";"97";"20";"48";"25";"1";"5";"38";"23";"8";"2";"3";"5";"36";"271";"12";"3";"13";"19";"63";"26";"3";"39";"22";"54";"59";"16"
;;"4";"Podt, A.";"11232";"1305";"181";"366";"176";"23";"50";"469";"233";"40";"83";"10";"60";"329";"4625";"213";"53";"120";"206";"618";"364";"44";"378";"239";"399";"425";"223"
;;"5";"Sneller, J.C.";"188";"25";"7";"3";"4";"1";"1";"6";"0";"1";"4";"0";"2";"3";"75";"6";"0";"2";"2";"12";"9";"1";"2";"2";"4";"9";"7"
;;"6";"Rooderkerk, I.";"1229";"164";"19";"30";"12";"1";"8";"44";"19";"3";"9";"1";"6";"44";"517";"26";"5";"11";"24";"51";"35";"4";"49";"47";"38";"44";"18"
;;"7";"Paulusma, W.";"816";"98";"10";"36";"13";"1";"2";"42";"23";"6";"1";"0";"5";"26";"325";"12";"3";"9";"9";"53";"19";"2";"28";"13";"39";"25";"16"
;;"8";"van der Werf, J.J.";"1084";"139";"10";"38";"17";"1";"6";"36";"28";"2";"3";"1";"5";"25";"494";"16";"4";"5";"12";"65";"30";"6";"38";"15";"27";"41";"20"
;;"9";"Bamenga, P.";"315";"30";"6";"9";"5";"0";"2";"8";"4";"0";"1";"1";"0";"10";"149";"1";"1";"2";"10";"11";"10";"0";"11";"11";"16";"12";"5"
;;"10";"de Groot, T.C.";"518";"54";"15";"33";"4";"0";"1";"11";"19";"0";"1";"1";"5";"21";"204";"7";"4";"1";"1";"38";"13";"2";"21";"11";"29";"13";"9"
;;"11";"Synhaeve, M.";"1376";"155";"13";"37";"14";"1";"5";"42";"18";"2";"3";"1";"7";"23";"754";"11";"4";"7";"17";"57";"30";"2";"39";"28";"41";"41";"24"
;;"12";"van Ginneken, L.M.";"1428";"165";"19";"34";"13";"3";"10";"45";"19";"0";"8";"2";"3";"47";"724";"22";"3";"12";"24";"56";"28";"1";"38";"36";"40";"49";"27"
;;"13";"Belhaj, S.";"559";"67";"2";"12";"6";"0";"1";"12";"11";"3";"2";"1";"2";"9";"293";"3";"0";"2";"6";"27";"15";"4";"25";"8";"18";"16";"14"
;;"14";"Boulakjar, F.";"97";"17";"1";"2";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"51";"2";"0";"1";"2";"2";"4";"0";"3";"2";"2";"3";"2"
;;"15";"Sahla, F.";"221";"32";"6";"6";"2";"4";"2";"6";"3";"0";"0";"0";"1";"4";"108";"4";"2";"0";"3";"9";"8";"0";"6";"4";"3";"7";"1"
;;"16";"Klos, F.C.O.";"89";"9";"6";"1";"1";"0";"0";"2";"2";"0";"1";"0";"0";"2";"43";"0";"0";"0";"0";"9";"1";"0";"2";"2";"1";"5";"2"
;;"17";"Kat, H.";"191";"27";"3";"6";"2";"1";"0";"7";"4";"1";"0";"1";"1";"3";"93";"3";"0";"0";"3";"7";"4";"0";"4";"2";"7";"7";"5"
;;"18";"Warmerdam, S.";"53";"1";"2";"1";"1";"0";"0";"1";"2";"0";"0";"0";"2";"4";"22";"1";"0";"0";"0";"3";"2";"0";"1";"3";"3";"4";"0"
;;"19";"Alberg, S.T.";"86";"11";"0";"1";"0";"0";"1";"3";"5";"1";"1";"0";"0";"3";"33";"0";"0";"0";"2";"5";"3";"0";"4";"3";"3";"4";"3"
