"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"35";"Valize, J.J.T.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"36";"Heutink, H.D.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"37";"Pool, J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1"
;;"38";"Faddegon, C.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"8";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"40";"Rep, R.J.H.H.";"21";"1";"0";"1";"1";"3";"0";"3";"0";"0";"1";"0";"1";"2";"3";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1";"0"
;;"41";"Thiadens, F.M.";"6";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"52";"9";"0";"1";"0";"4";"0";"1";"1";"0";"0";"0";"0";"5";"2";"4";"0";"3";"3";"3";"3";"1";"3";"5";"1";"0";"3"
;;"43";"van Bijnen, H.M.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2"
;;"44";"van Hattem, A.W.J.A.";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1"
;;"45";"van Strien, G.A.";"62";"10";"2";"0";"0";"1";"1";"3";"2";"3";"0";"0";"1";"2";"5";"2";"0";"1";"3";"3";"8";"2";"3";"3";"4";"1";"2"
"5";"CDA";;;"28464";"3079";"533";"958";"508";"935";"256";"1109";"973";"531";"455";"193";"474";"1038";"3700";"1868";"431";"517";"707";"1224";"984";"415";"1831";"1224";"1350";"1352";"1819"
;;"1";"Bontenbal, H.";"23413";"2357";"447";"846";"451";"828";"224";"918";"821";"461";"400";"160";"418";"908";"2806";"1610";"378";"451";"624";"1052";"841";"354";"1486";"928";"1189";"1081";"1374"
;;"2";"Vedder, E.C.";"1554";"195";"42";"41";"26";"51";"12";"63";"60";"34";"30";"16";"30";"55";"215";"100";"22";"36";"27";"69";"57";"31";"88";"57";"58";"64";"75"
;;"3";"Boswijk, D.G.";"911";"42";"16";"16";"12";"15";"2";"21";"13";"17";"17";"4";"7";"14";"87";"22";"11";"7";"9";"29";"18";"13";"158";"194";"13";"146";"8"
;;"4";"van Dijk, I.";"331";"43";"6";"13";"4";"6";"3";"18";"4";"5";"1";"1";"5";"16";"59";"14";"8";"2";"8";"14";"7";"6";"22";"14";"19";"15";"18"
;;"5";"Krul, H.M.";"86";"9";"1";"1";"0";"4";"5";"7";"2";"0";"0";"1";"1";"2";"22";"7";"1";"0";"1";"3";"7";"0";"3";"0";"5";"1";"3"
;;"6";"Palland-Mulder, H.M.";"124";"20";"5";"4";"1";"3";"1";"6";"4";"0";"0";"0";"1";"3";"33";"5";"1";"2";"3";"4";"3";"1";"7";"4";"3";"7";"3"
;;"7";"van den Brink, G.";"402";"272";"5";"3";"0";"13";"3";"11";"34";"0";"2";"5";"0";"14";"11";"3";"2";"1";"1";"5";"1";"1";"3";"3";"7";"1";"1"
;;"8";"Absil, M.G.J.A.C.";"60";"8";"1";"3";"1";"0";"0";"3";"1";"0";"0";"0";"1";"2";"16";"0";"1";"1";"1";"1";"4";"1";"6";"0";"5";"2";"2"
;;"9";"Steen, H.S.";"63";"10";"1";"5";"0";"1";"1";"3";"2";"1";"0";"0";"1";"2";"15";"3";"0";"2";"1";"3";"3";"1";"3";"2";"1";"1";"1"
;;"10";"Kuik, A.";"136";"20";"1";"4";"2";"3";"0";"4";"8";"1";"0";"2";"1";"6";"25";"13";"0";"2";"4";"6";"6";"2";"10";"5";"5";"3";"3"
;;"11";"Spoelstra, J.";"20";"6";"1";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1"
;;"12";"Slootweg, E.J.";"21";"4";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"6";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2"
;;"13";"Chaoui-Nhass, S.";"33";"1";"0";"1";"0";"1";"0";"2";"2";"1";"1";"0";"1";"0";"17";"0";"0";"0";"1";"3";"1";"0";"0";"0";"0";"0";"1"
;;"14";"Zwinkels, J.M.";"467";"15";"2";"8";"5";"2";"3";"26";"2";"2";"2";"1";"3";"7";"263";"3";"1";"8";"13";"16";"18";"3";"24";"6";"7";"15";"12"
;;"15";"Diederen, R.";"37";"7";"0";"2";"0";"0";"0";"7";"1";"1";"0";"0";"1";"0";"12";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1"
;;"16";"Hamstra, S.";"28";"4";"0";"0";"1";"0";"1";"2";"2";"1";"0";"0";"0";"1";"7";"1";"0";"0";"0";"2";"2";"0";"1";"1";"1";"0";"1"
;;"17";"Houmes, E.S.";"26";"2";"1";"5";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"8";"2";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2"
;;"18";"van den Berg, J.H.C.";"36";"6";"1";"0";"0";"1";"0";"3";"2";"1";"0";"0";"0";"0";"6";"3";"0";"0";"3";"0";"1";"0";"2";"2";"2";"1";"2"
;;"19";"de Haan, J.D.P.";"17";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"5";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0"
;;"20";"Vermeer, J.";"14";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"4";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0"
;;"21";"van der Heide, E.J.";"24";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"12";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0";"2";"0"
;;"22";"Goos, J.C.M.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"9";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0"
;;"26";"van Gijssel, A.K.";"8";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"322";"7";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"5";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"304"
;;"30";"Out, F.M.S.";"15";"2";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"2";"1";"1";"0";"2"
;;"31";"Silos, J.J.";"5";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"32";"Tuncer, Y.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"39";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"2";"3";"1";"1";"0";"3";"0";"0";"1";"1";"23";"0";"0"
;;"34";"van den Oever, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"46";"2";"0";"1";"1";"0";"0";"4";"3";"0";"1";"0";"0";"2";"17";"0";"0";"1";"1";"3";"4";"1";"1";"0";"2";"2";"0"
;;"36";"Beers, A.M.A.G.";"16";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0"
;;"37";"van Luik, D.A.N.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"39";"Luijten, S.C.A.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"69";"3";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"1";"0";"1";"55";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"42";"van de Giessen, L.H.";"22";"7";"0";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"1";"4";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0"
;;"43";"Bracke, D.G.A.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"20";"4";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"2";"4";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1"
;;"46";"van Dijk, Q.A.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"47";"van Lankvelt, F.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"48";"Siegmann, A.H.";"18";"4";"1";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"23";"4";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"1";"1";"1";"1";"0";"3";"0";"1";"1";"0";"1";"0"
"6";"SP (Socialistische Partij)";;;"19566";"2875";"412";"636";"212";"130";"152";"747";"543";"156";"198";"36";"202";"617";"4340";"838";"146";"458";"572";"958";"1429";"122";"717";"528";"729";"985";"828"
;;"1";"Marijnissen, L.M.C.";"16264";"2375";"355";"537";"188";"118";"132";"632";"448";"141";"179";"33";"169";"516";"3316";"708";"128";"397";"509";"788";"1211";"109";"620";"445";"621";"856";"733"
;;"2";"Beckerman, S.M.";"725";"126";"14";"20";"3";"4";"3";"29";"37";"2";"4";"1";"11";"33";"144";"49";"4";"16";"18";"39";"39";"2";"22";"24";"27";"35";"19"
;;"3";"van Kent, B.";"87";"16";"0";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"2";"24";"4";"0";"3";"5";"6";"6";"1";"4";"1";"3";"3";"4"
;;"4";"Dijk, J.P.";"122";"18";"3";"14";"1";"0";"2";"5";"0";"0";"1";"0";"1";"4";"40";"4";"0";"0";"1";"5";"7";"1";"2";"0";"1";"5";"7"
;;"5";"van Nispen, M.";"70";"13";"0";"3";"0";"0";"2";"5";"4";"0";"0";"0";"1";"3";"17";"3";"0";"1";"1";"3";"1";"1";"1";"0";"4";"3";"4"
;;"6";"Dobbe, S.E.M.";"323";"50";"6";"7";"6";"2";"4";"12";"8";"0";"2";"1";"5";"5";"104";"14";"6";"8";"7";"10";"22";"1";"14";"8";"10";"5";"6"
;;"7";"Temmink, N.G.J.";"200";"32";"6";"6";"1";"3";"2";"9";"1";"1";"0";"0";"1";"8";"67";"10";"0";"1";"4";"8";"16";"1";"6";"5";"3";"5";"4"
;;"8";"ten Broeke, M.J.";"22";"1";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"8";"2";"0";"0";"0";"2";"2";"0";"1";"2";"0";"0";"0"
;;"9";"van Dijk, J.J.";"427";"45";"7";"14";"3";"1";"3";"9";"12";"1";"5";"0";"2";"11";"183";"4";"2";"12";"6";"20";"29";"0";"13";"10";"11";"15";"9"
;;"10";"Meijer, B.W.V.";"38";"9";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"17";"1";"0";"0";"0";"1";"3";"0";"0";"1";"0";"2";"1"
;;"11";"Elfrink, G.E.";"14";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
;;"12";"Wolters Gregório, J.";"14";"5";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0"
;;"13";"Boerwinkel, E.M.J.";"17";"2";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1"
;;"14";"Alberts, R.";"47";"11";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"14";"2";"1";"1";"1";"3";"1";"0";"0";"3";"0";"1";"3"
;;"15";"van der Nat, H.F.A.";"10";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"16";"Memiş, M.";"56";"16";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"20";"0";"1";"0";"0";"1";"4";"0";"0";"1";"0";"5";"6"
;;"17";"van Dijk, D.";"37";"5";"0";"2";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"4";"1";"0";"1";"1";"5";"4";"1";"0";"0";"1";"0";"7"
;;"18";"de Ridder, N.";"28";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"4";"0";"0";"1";"3";"4";"0";"2";"0";"2";"0";"3"
;;"19";"Yahyaoui, J.";"343";"39";"2";"4";"2";"0";"0";"8";"6";"6";"0";"0";"1";"1";"157";"10";"0";"2";"8";"22";"27";"2";"11";"3";"10";"9";"13"
;;"20";"van Boven, A.W.";"12";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"1";"1"
;;"21";"Coppus, T.H.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Topma, X.M.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"5";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"15";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"1";"2";"0";"0";"0";"1";"2";"0"
;;"25";"van den Hout, S.G.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"27";"Verdaasdonk, I.";"10";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0"
;;"28";"van Rossum, L.";"15";"3";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0"
;;"29";"Rongen, K.S.";"8";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0"
;;"30";"van Hooft, J.W.H.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"31";"Cramer, A.";"9";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0"
;;"32";"van Scheltinga, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"34";"Kuin, R.M.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"44";"5";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"27";"0";"0";"1";"0";"0";"3";"0";"0";"1";"0";"3";"0"
;;"36";"van der Veen, J.";"4";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0"
;;"38";"Spanner, A.M.";"8";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Boer, M.I.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"40";"Ramesar, J.S.";"22";"4";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"9";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0"
;;"41";"ten Heuw, M.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"43";"Schelvis, A.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"8";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"46";"de Vries, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"48";"Clemens, J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"514";"70";"12";"18";"3";"0";"3";"20";"18";"3";"4";"0";"8";"25";"141";"14";"4";"13";"8";"32";"27";"2";"15";"18";"24";"26";"6"
"7";"Forum voor Democratie";;;"14869";"1882";"325";"479";"126";"328";"152";"491";"345";"217";"148";"62";"225";"539";"2610";"840";"239";"295";"421";"713";"922";"157";"639";"625";"571";"742";"776"
;;"1";"Baudet, T.H.P.";"10570";"1319";"216";"322";"89";"249";"100";"331";"226";"162";"114";"42";"144";"381";"1845";"615";"166";"220";"313";"526";"681";"114";"451";"442";"369";"543";"590"
;;"2";"Jansen, F.J.H.";"238";"40";"8";"5";"3";"4";"3";"7";"2";"3";"1";"1";"1";"4";"43";"13";"5";"7";"4";"0";"7";"3";"9";"25";"14";"14";"12"
;;"3";"van Meijeren, G.F.C.";"2777";"357";"74";"98";"17";"51";"42";"102";"76";"39";"20";"13";"56";"108";"466";"152";"44";"40";"72";"131";"156";"27";"122";"125";"133";"133";"123"
;;"4";"van Houwelingen, P.";"407";"46";"7";"15";"10";"8";"2";"20";"21";"6";"6";"0";"7";"16";"67";"16";"11";"9";"11";"16";"29";"3";"21";"10";"13";"17";"20"
;;"5";"Dekker, R.J.";"279";"39";"12";"11";"3";"8";"2";"13";"6";"3";"2";"2";"6";"9";"48";"16";"4";"13";"3";"9";"16";"2";"9";"8";"12";"14";"9"
;;"6";"de Vos, L.G.";"176";"25";"4";"10";"0";"2";"1";"3";"4";"1";"1";"0";"6";"4";"50";"9";"2";"2";"2";"11";"7";"0";"11";"5";"9";"3";"4"
;;"7";"Russcher, T.K.";"10";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"8";"Etalle, M.J.S.";"8";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"9";"Bakir, A.";"36";"3";"0";"1";"1";"0";"0";"1";"0";"1";"0";"2";"0";"0";"7";"3";"3";"0";"1";"2";"4";"3";"0";"0";"1";"2";"1"
;;"10";"Dessing, J.";"11";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"3";"0"
;;"11";"Vastenhouw, J.";"10";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0"
;;"12";"Al Biyati, I.";"20";"2";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"1";"2";"0";"3";"1";"0";"1";"0"
;;"13";"de Knegt, R.E.R.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"7";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"15";"van Schijndel, A.H.J.W.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"4";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"18";"Koopman, P.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van Breukelen, F.";"33";"1";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"5";"3";"4";"0";"0";"0";"0";"2";"9"
;;"22";"de Hartog, S.N.E.";"56";"4";"0";"2";"0";"2";"1";"2";"0";"0";"1";"0";"0";"3";"29";"1";"1";"1";"2";"1";"1";"1";"2";"0";"1";"0";"1"
;;"23";"de Graaff, Y.W.";"22";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"4";"1";"0";"0";"2";"0";"0";"0";"0";"0";"10";"0";"0"
;;"24";"Bernard, E.L.B.";"16";"8";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
