Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;14;Langen, A.L.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;15;Koppejan, E.J.A.;8;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;3
;;16;van Wageningen, E.;8;0;0;0;2;1;0;1;0;2;0;0;1;0;0;1;0;0;0
;;17;Tijhof, B.D.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;de Reus, W.T.;4;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0
;;19;Mbwete, N.A.G.;8;0;0;0;1;5;0;0;0;1;0;0;0;0;0;0;0;1;0
;;20;Treurniet, M.;18;2;0;0;2;3;0;2;0;4;0;0;0;3;1;0;0;0;1
;;21;Palland, A.S.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1
;;22;Westerbeek, A.E.;6;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;1;0;0
;;23;Muilwijk, I.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Westerink-Petersen, J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;Dijkstra-Verbeek, I.A.W.;7;0;0;0;1;2;0;0;0;1;0;0;0;0;1;1;0;1;0
;;26;van den Berg, G.;4;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;27;Broekmaat-Hagens, A.W.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;de Haan, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Koerts, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;30;Roor-Wubs, A.E.;5;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Verweij, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Paalman-Dijkenga, I.M.;9;0;0;0;1;3;1;0;0;2;0;0;0;1;0;1;0;0;0
;;33;Kumar, A.D.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;34;Kerklaan-van der Beek, E.M.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1
;;35;Visser, J.A.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Pol, L.A.;108;7;0;0;5;9;0;2;0;8;0;0;0;5;1;49;9;8;5
;;37;Oudman, A.G.;13;0;0;0;2;2;2;2;0;1;0;0;0;0;0;4;0;0;0
;;38;van der Zande, J.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;39;Grandia, G.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;40;van Oordt-Jonckheere, S.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;41;Cornelissen, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Nede, N.N.;4;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
;;43;Schutte, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Dijk, G.G.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;45;Adema, P.;123;7;1;0;3;7;3;7;0;53;0;0;4;11;3;8;8;3;5
;;46;Bosman, F.G.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Hoogenboom, E.;14;1;0;0;0;0;0;1;0;2;0;0;2;1;0;1;1;0;5
;;48;Stoorvogel, H.;97;3;0;1;7;13;3;4;0;33;1;0;1;3;5;12;2;4;5
;;49;van den Berg, R.C.;9;2;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2
;;50;de Graaf, B.A.;41;3;4;1;1;8;1;5;0;2;0;0;0;0;0;8;3;3;2
10;Volt;;;3689;68;52;96;336;1117;109;158;16;232;77;16;119;147;47;498;251;203;147
;;1;Dassen, L.A.J.M.;2177;44;38;59;204;603;55;103;10;125;53;9;64;86;24;306;164;134;96
;;2;Koekkoek, M.;805;9;10;16;68;279;35;37;3;55;14;4;27;32;9;102;50;31;24
;;3;Boutkan, E.;20;0;0;0;3;4;0;0;0;3;0;0;1;1;0;4;1;1;2
;;4;Elfilali, I.;125;0;2;8;11;46;1;4;1;5;5;2;3;7;3;16;3;5;3
;;5;Hagoort, M.B.J.;12;0;0;0;1;4;0;0;0;0;0;0;0;0;0;2;2;1;2
;;6;Frijters, R.M.J.;74;1;0;3;5;33;1;1;0;6;1;0;4;1;0;6;11;1;0
;;7;de Boer, R.W.;17;0;0;0;3;8;0;0;0;1;1;0;1;0;0;0;0;3;0
;;8;van der Lugt, S.;63;0;0;3;5;17;4;1;0;4;2;0;1;1;2;9;3;6;5
;;9;Beijnon, B.;14;3;0;0;1;4;0;0;0;2;0;0;0;1;1;1;0;0;1
;;10;Twickler, R.;256;9;2;2;23;85;9;11;2;25;1;1;6;15;4;29;8;12;12
;;11;Ercan, C.;41;0;0;2;4;10;3;1;0;4;0;0;6;1;2;4;2;1;1
;;12;Hamel, J.E.R.;13;1;0;0;0;3;0;0;0;0;0;0;1;2;0;2;2;2;0
;;13;van Ewijk, W.H.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;van Laar, S.A.;12;0;0;0;0;5;0;0;0;0;0;0;1;0;1;4;0;1;0
;;15;Tai, M.T.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Pajak, V.L.;6;0;0;1;0;2;0;0;0;1;0;0;1;0;0;1;0;0;0
;;17;Eigenhuis, F.;10;1;0;0;3;3;0;0;0;1;0;0;0;0;1;0;1;0;0
;;18;Verbeek, E.L.I.;11;0;0;1;1;2;0;0;0;0;0;0;1;0;0;3;0;3;0
;;19;Hemmes, B.J.A.;5;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0
;;20;Elsinga, D.;14;0;0;0;2;3;1;0;0;0;0;0;1;0;0;4;2;1;0
;;21;Dreteler, S.J.;11;0;0;1;0;4;0;0;0;0;0;0;1;0;0;4;0;0;1
11;JA21;;;2737;101;22;74;207;543;93;89;5;176;42;7;87;157;87;420;240;191;196
;;1;Eerdmans, B.J.;1882;73;19;51;154;327;70;65;2;121;34;5;66;113;52;303;177;130;120
;;2;Nanninga, A.;303;9;1;8;17;77;11;9;2;21;7;0;8;15;10;51;22;14;21
;;3;Ceulemans, S.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0
;;4;Bakker-Derks, E.H.M.;21;1;0;0;2;6;0;2;0;0;0;0;0;1;1;4;2;1;1
;;5;van Doorn, D.M.A.;6;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
;;6;Goudzwaard, M.;292;10;1;8;21;100;4;2;0;16;1;2;10;14;6;34;15;25;23
;;7;Schyns, P.F.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;8;Uiterwijk, K.;11;0;0;2;0;1;1;0;0;2;0;0;0;0;1;2;1;1;0
;;9;Dijksterhuis, R.G.;137;7;0;4;6;13;2;5;1;6;0;0;3;12;16;11;14;10;27
;;10;van den Berg, D.J.;5;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0
;;11;Omlo, H.;9;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;4;1;0
;;12;Hesselink, S.W.J.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Nuijten, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Roos, S.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;15;Soltani, M.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Baten, L.C.C.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Kövi, J.J.H.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Wilson, L.;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;19;van Vugt, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Wanders, A.M.J.M.;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
;;21;Lodders, I.A.G.;4;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0
;;22;Vos, L.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Kauffmann, F.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Rijke, W.M.;6;0;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;1
;;25;Hogendoorn, G.A.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
;;26;Gordijn, C.;8;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;1;2;0
;;27;Bloemenkamp, J.H.;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Waitz, J.W.A.;7;0;0;0;0;1;0;2;0;2;0;0;0;0;0;1;0;1;0
;;29;Veenvliet, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Koetje, J.M.;5;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0
;;31;Buijs, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;Buijt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kersten, J.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;de Groot, G.P.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Hieralal, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;36;Blijlevens, R.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Pastors, M.G.T.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Fortuijn, S.A.F.;9;0;0;0;2;5;0;0;0;0;0;0;0;0;0;1;1;0;0
12;Staatkundig Gereformeerde Partij (SGP);;;4197;370;2;44;161;290;123;309;3;623;9;2;87;290;632;302;348;169;433
;;1;Stoffer, C.;3689;315;2;36;135;252;105;273;3;566;4;2;80;253;573;263;314;140;373
;;2;van Dijk, D.J.H.;69;3;0;1;4;12;4;7;0;10;0;0;2;3;3;8;4;6;2
;;3;Flach, A.J.;24;1;0;0;1;0;1;3;0;3;0;0;1;3;2;2;4;1;2
;;4;Middelkoop, P.N.;126;18;0;5;6;6;10;11;0;11;3;0;1;3;13;10;10;5;14
;;5;Vroegindeweij, W.J.;16;1;0;0;2;2;0;0;0;3;0;0;0;0;2;3;1;0;2
;;6;van der Maas, A.J.;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;7;van der Wind, H.J.;19;5;0;2;1;0;1;1;0;3;0;0;1;0;1;1;1;0;2
;;8;Both, D.D.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;9;Kloosterman, J.;5;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1
;;10;van Heijst, R.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;11;van der Wulp, A.D.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;12;Polinder, H.J.;7;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Slingerland, M.;6;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;2
;;14;van Duijn, W.J.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3;0
;;15;Barth, L.G.I.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;16;Lukasse, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;Tanis, J.P.;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
;;18;Bosma, E.G.;10;6;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0
;;19;Schipaanboord, G.P.;4;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0
;;20;Veldman, J.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hartog, J.;7;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;3
;;22;Koekoek, J.T.;7;0;0;0;0;1;1;2;0;0;2;0;1;0;0;0;0;0;0
;;23;de Knegt, L.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;24;van Leeuwen, G.R.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;25;Bakker, T.;146;14;0;0;3;8;0;7;0;14;0;0;0;23;31;7;5;11;23
;;26;Kok, W.H.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;1
;;27;van Westreenen, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Noordergraaf, P.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Boersma, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;30;Talen, L.;5;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0
;;31;van de Waerdt, C.J.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Bulten, H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Versteeg, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;34;Kisteman, L.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;35;van Bruchem, L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;36;van den Dikkenberg, L.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Herweijer, H.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Laar, G.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;39;Scheppink, A.J.;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;40;van Heteren, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van den Belt, B.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Iwaarden, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Tuijl, L.O.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Proos, A.J.;6;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0
13;DENK;;;1674;14;2;36;306;613;24;17;2;153;4;2;100;36;16;154;86;64;45
;;1;van Baarle, S.R.T.;1197;12;2;27;214;436;18;13;0;113;1;2;72;25;10;115;58;48;31
;;2;Ergin, D.A.;77;1;0;0;21;30;1;0;0;0;0;0;0;0;0;7;11;3;3
;;3;El Abassi, I.;104;1;0;2;11;52;0;0;0;10;0;0;12;1;2;7;4;1;1
;;4;Alrubey, A.;92;0;0;1;8;32;2;1;1;16;1;0;9;5;3;6;2;2;3
;;5;Gün, E.;22;0;0;1;5;7;0;0;1;2;0;0;1;1;0;2;1;0;1
;;6;Usta, Y.;9;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Rijssel, N.E.;25;0;0;3;4;6;0;1;0;3;2;0;0;0;0;1;0;3;2
;;8;Maroof, A.;14;0;0;0;4;5;0;0;0;0;0;0;2;1;0;2;0;0;0
;;9;Mac Intosch, G.J.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Safranti, M.;19;0;0;0;14;2;0;0;0;0;0;0;1;0;0;0;0;2;0
;;11;Bayrakci, Y.C.;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Ghazi, M.I.;9;0;0;0;2;1;0;0;0;2;0;0;1;1;0;2;0;0;0
;;13;Özçelik, S.;11;0;0;0;0;3;0;0;0;1;0;0;0;0;1;2;3;0;1
;;14;Kaya, A.;14;0;0;0;3;1;0;1;0;0;0;0;0;0;0;4;2;1;2
;;15;Konuksever-Tekin, A.;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Fkihi, O.;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0
;;17;Çetinkaya, T.;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Şahin, E.;5;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Kahramanoğlu, C.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kaplan, Ç.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Manhoef, E.E.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Tan, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Kondu, F.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Şimşek, J.I.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;Ileri, F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;26;Buyatui, H.;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
;;27;van Burik, M.;4;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;Muradin, N.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;Delener, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Sodirijo, S.D.;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1
;;31;Ağirbaş, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Özcan, R.;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Tangali, M.J.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;34;Othman, R.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;35;Yildirim, A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Akhatab, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Ben Touhami, M.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Bal, M.I.;8;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;39;Pancar, Ş.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Akça, S.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;41;Dokgöz, Ş.;4;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0
;;42;Icar, N.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;43;Khan, S.Y.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Sungur, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Koyuncu, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Achbar, F.;5;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0
14;50PLUS;;;1756;50;13;72;141;349;65;75;1;152;21;7;76;94;39;227;128;154;92
;;1;van Hooft, G.O.P.C.;1122;27;9;46;86;218;34;56;0;82;14;3;56;55;30;152;79;106;69
;;2;van Rooij, M.G.J.H.;68;1;0;3;8;16;3;1;0;5;0;0;2;3;1;10;4;8;3
;;3;Brouwers, J.F.X.M.;32;2;0;3;2;5;0;0;1;0;1;1;0;1;1;2;3;7;3
;;4;Hoek, W.M.M.;272;11;1;12;23;67;6;8;0;26;4;1;11;20;4;33;24;15;6
;;5;van Acquoij, R.H.;7;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0
;;6;Hernández Martínez, A.;74;2;0;2;9;14;3;2;0;7;1;0;2;4;0;10;6;10;2
;;7;Fonhof, G.J.;64;1;0;0;5;8;13;6;0;8;0;1;3;5;1;5;5;1;2
;;8;van Tilborg, H.C.A.M.;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;1;0;0
;;9;van Orsouw, J.H.T.;6;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
;;10;Faassen, A.G.;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Hessing, J.C.;5;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Jablonski, J.;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Bongers, J.W.M.;8;0;0;1;1;2;0;0;0;1;0;0;0;2;1;0;0;0;0
;;14;Franse, A.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;van Loon, J.C.A.;9;0;0;0;2;2;0;0;0;1;0;0;1;2;0;1;0;0;0
;;16;de Kruif, F.N.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;17;van Es, J.W.;7;0;0;0;1;1;0;0;0;0;0;0;0;1;0;2;0;2;0
;;18;Biever, R.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Hamersma, K.;21;1;1;1;0;3;2;0;0;4;0;0;0;1;0;4;1;1;2
;;20;Hornis, M.P.;21;2;0;0;0;6;0;0;0;6;0;0;0;0;0;3;2;1;1
;;21;van Aert, J.L.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Vriens, M.F.L.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2
;;23;Voets, J.J.M.;3;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Hendriks, J.;15;3;0;0;0;2;1;0;0;3;0;0;1;0;0;2;1;1;1
15;BBB;;;35010;1337;457;515;2446;3290;2200;2135;61;1842;289;65;2407;1763;994;5563;3845;2840;2961
;;1;van der Plas, C.A.M.;27543;1093;399;422;1904;2532;1721;1641;48;1452;241;52;1857;1372;795;4258;3109;2197;2450
;;2;Keijzer, M.C.G.;3164;107;29;57;208;307;199;193;7;179;31;9;190;177;99;563;315;259;235
;;3;Tuinman, G.P.;268;11;8;7;18;37;19;13;0;10;2;0;19;11;6;43;29;18;17
;;4;Vermeer, H.;105;1;1;1;7;6;8;12;0;5;2;1;12;4;2;11;17;5;10
;;5;Helder, L.M.J.S.;99;4;1;3;4;17;5;6;0;3;0;0;5;2;0;17;8;10;14
;;6;Pierik, C.R.;121;5;0;1;13;11;4;3;0;3;1;0;17;4;4;18;15;14;8
;;7;van Zanten, C.R.;74;2;0;1;6;10;3;5;0;4;1;0;4;3;1;10;7;10;7
;;8;Rummenie, J.F.;9;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;2;1;0
;;9;Pouw-Verweij, N.J.F.;139;7;1;1;12;19;9;6;0;14;1;0;6;4;6;12;9;16;16
;;10;Rikkers-Oosterkamp, M.G.F.;1582;46;3;7;161;155;137;107;3;61;6;1;237;86;35;170;185;101;81
;;11;Wijen-Nass, M.J.M.H.;37;3;0;0;2;4;2;2;0;2;0;0;2;3;1;5;3;4;4
;;12;Oostenbrink, M.;17;0;0;0;1;2;1;1;0;2;0;0;3;1;0;3;1;2;0
;;13;Rekers, J.D.;16;1;0;0;1;1;0;1;0;1;0;0;3;1;0;1;1;1;4
;;14;Hendriks, A.J.;22;1;0;0;3;4;4;4;0;0;0;1;1;0;0;0;1;1;2
;;15;Govaert, C.A.H.M.;13;2;0;0;0;2;0;0;0;1;0;0;1;0;1;4;1;1;0
;;16;van Vliet, L.R.;14;1;0;0;1;3;3;0;0;0;0;0;2;1;0;1;1;1;0
;;17;Hemmen, H.M.;35;2;0;0;4;5;9;1;1;0;0;0;5;0;0;1;3;1;3
;;18;van Vuuren, C.H.;15;1;0;0;2;0;1;0;0;0;0;0;1;0;2;4;1;0;3
;;19;van der Meer, S.;58;2;0;0;7;9;3;4;0;6;0;0;5;4;1;8;3;4;2
;;20;Stoop, C.J.;17;1;1;2;2;1;2;0;0;1;0;0;2;0;0;2;1;0;2
;;21;van Veen, A.;25;2;0;1;1;2;1;1;0;1;1;0;1;1;1;2;4;1;5
;;22;van Lissum, J.T.M.;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Stegink, T.W.;24;1;2;0;1;0;10;2;0;1;0;0;3;1;1;2;0;0;0
;;24;Huiskamp, F.M.;5;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0
;;25;Eppink, D.J.;36;1;0;0;1;0;4;3;0;2;0;0;2;3;0;12;1;4;3
;;26;Hankers, H.F.;5;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0
;;27;Berghout, N.C.G.;5;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0
;;28;Roubos, G.L.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;29;Evers, G.J.A.;9;0;0;0;0;1;1;0;0;0;0;0;2;0;0;2;1;1;1
;;30;Sijbolts, M.A.;8;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1
;;31;Poppe, W.P.;5;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0
;;32;Swaag, J.H.;10;1;0;0;1;2;0;2;0;0;0;0;0;0;0;1;2;0;1
;;33;Waalkens, D.E.;31;0;3;0;1;2;10;5;0;4;0;0;0;0;0;1;0;0;5
;;34;de Ridder, R.J.G.;4;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
;;35;Jaspers, W.C.P.H.;4;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;36;Floors, G.W.C.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
;;37;Luitwieler-Bosma, J.M.;17;0;0;0;2;3;1;1;0;0;0;0;5;1;0;0;1;1;2
;;38;Rood, I.;14;0;0;0;2;3;1;1;0;0;0;0;1;1;0;0;3;1;1
;;39;van Noort, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Cromwijk, J.;16;0;0;0;3;1;3;0;0;0;0;0;0;1;1;1;0;0;6
;;41;van Wijk, J.W.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
