Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;68;Bruin, R.N.;8;0;0;0;1;1;0;0;0;2;0;0;1;2;0;1;0;0;0
;;69;van 't Hull-Bettink, G.D.W.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;70;Gadella, J.A.N.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Vermeulen, D.;4;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0
;;72;van Noort-Cnossen, M.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0
;;73;Van der Sanden, M.M.E.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0
;;74;Rodoe, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;75;Schollink, C.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;76;de Wolff, I.;125;1;0;1;9;5;1;1;1;5;1;0;1;2;1;11;78;5;2
;;77;de Boer, Y.;120;3;0;1;32;11;7;26;0;7;1;0;1;3;1;12;10;4;1
;;78;Yildirim, M.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;79;Mulder, H.;17;0;0;3;1;6;1;1;0;0;0;0;3;0;0;1;0;1;0
;;80;van der Weijden, M.;74;2;0;4;13;11;3;1;1;9;0;0;3;5;2;5;7;5;3
2;D66;;;18249;341;179;404;1823;4809;564;872;69;1407;274;80;565;838;233;2608;1382;1083;718
;;1;Jetten, R.A.A.;11945;215;130;282;1147;3002;388;564;47;910;186;55;400;571;156;1742;915;749;486
;;2;Paternotte, J.M.;459;5;2;7;52;135;11;12;0;43;10;2;21;19;3;67;29;18;23
;;3;Vijlbrief, J.A.;390;9;10;4;42;98;18;21;3;33;5;1;11;12;5;52;29;18;19
;;4;Podt, A.;1404;26;10;29;140;436;46;68;5;108;30;2;36;44;16;190;104;68;46
;;5;Sneller, J.C.;23;1;0;0;1;12;0;1;0;1;0;1;0;1;1;1;2;0;1
;;6;Rooderkerk, I.;191;4;3;5;15;65;5;16;2;14;2;1;6;3;3;21;9;11;6
;;7;Paulusma, W.;805;22;8;14;67;201;31;44;3;85;11;4;17;48;10;91;57;55;37
;;8;van der Werf, J.J.;116;3;0;2;14;32;5;3;0;8;0;2;3;4;1;19;12;3;5
;;9;Bamenga, P.;46;1;0;1;1;16;0;1;0;1;1;0;1;3;1;5;8;4;2
;;10;de Groot, T.C.;875;16;5;16;80;183;21;51;4;57;2;2;15;44;18;179;95;60;27
;;11;Synhaeve, M.;128;2;0;3;12;42;1;6;0;8;5;1;5;7;0;19;7;5;5
;;12;van Ginneken, L.M.;116;2;1;6;10;45;5;4;0;9;1;0;2;2;0;15;6;3;5
;;13;Belhaj, S.;41;0;0;1;2;19;1;0;0;1;1;0;0;2;0;11;1;2;0
;;14;Boulakjar, F.;9;0;0;0;1;1;1;0;0;1;0;0;0;0;0;3;1;0;1
;;15;Sahla, F.;19;1;0;1;2;7;0;0;0;3;0;1;0;0;0;1;2;1;0
;;16;Klos, F.C.O.;9;1;0;0;0;2;0;0;0;1;0;1;0;0;0;1;2;1;0
;;17;Kat, H.;25;1;0;1;2;7;0;0;0;5;3;0;0;1;0;4;0;1;0
;;18;Warmerdam, S.;10;0;0;0;0;1;2;0;0;1;1;0;0;0;0;2;2;1;0
;;19;Alberg, S.T.;14;0;0;1;2;4;0;1;0;0;1;0;0;0;0;2;1;2;0
;;20;Hammelburg, A.R.;8;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;2;0;0
;;21;Hollander, J.;750;25;3;9;163;138;14;50;0;62;5;3;30;40;7;83;63;34;21
;;22;ten Dolle, L.;16;0;0;1;2;4;0;1;0;1;0;0;0;0;0;3;0;3;1
;;23;Blommers, D.;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;van Breugel, C.;28;1;0;3;0;12;1;0;0;3;0;0;1;2;0;4;0;0;1
;;25;Teunissen, J.C.M.;5;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
;;26;Çimen, M.;7;0;0;0;1;4;0;1;0;0;0;0;0;0;0;1;0;0;0
;;27;Oualhadj, A.;6;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Putuhena, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;Keij, E.J.;10;0;0;0;1;2;0;0;0;1;0;0;0;0;0;5;1;0;0
;;30;Brink, V.J.;6;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0
;;31;van Dorst, P.A.;4;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0
;;32;Wijnja, G.H.;10;0;0;0;2;3;0;0;0;0;0;0;0;0;0;3;1;0;1
;;33;de Vries, M.M.;10;0;0;0;0;5;0;0;0;2;0;0;1;0;0;1;0;1;0
;;34;Schoonbeek, F.;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0
;;35;Mathlouti, M.;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Ruttenberg, W.C.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Koops, J.H.;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;38;Hagen, K.B.;34;1;0;1;7;11;0;2;0;1;0;0;0;0;0;4;4;1;2
;;39;Hiemstra, G.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Keijmel - den Boer, J.M.I.;12;0;0;1;0;7;1;0;0;1;0;0;0;0;0;0;2;0;0
;;41;Tjeerdema, H.;344;0;1;6;7;203;5;8;0;16;0;1;3;15;7;26;6;21;19
;;42;Woudstra, E.;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1
;;43;Olsthoorn, A.;3;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;44;van Peski, C.J.;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;45;van Hattum, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
