"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"14";"van Campen, A.A.H.";"376";"8";"38";"13";"7";"5";"7";"39";"3";"4";"18";"23";"3";"4";"26";"19";"17";"3";"17";"2";"3";"7";"1";"0";"12";"4";"0";"4";"5";"8";"2";"13";"10";"5";"3";"13";"22";"8"
;;"15";"Tielen, J.Z.C.M.";"135";"3";"14";"15";"7";"1";"1";"8";"3";"12";"1";"4";"2";"1";"0";"0";"3";"5";"0";"1";"1";"4";"0";"1";"1";"3";"0";"0";"2";"2";"2";"3";"2";"4";"7";"0";"21";"1"
;;"16";"Veltman-Kamp, H.N.";"1055";"3";"122";"61";"47";"15";"6";"16";"6";"519";"1";"9";"0";"6";"1";"3";"5";"12";"1";"7";"34";"25";"3";"5";"9";"14";"8";"6";"10";"15";"3";"13";"0";"27";"21";"3";"12";"7"
;;"17";"van Eijk-Nagel, W.P.J.";"62";"1";"12";"3";"4";"1";"1";"4";"2";"2";"0";"2";"0";"2";"0";"0";"2";"0";"0";"0";"3";"4";"0";"0";"4";"3";"0";"0";"2";"1";"1";"0";"0";"2";"4";"1";"0";"1"
;;"18";"Ellian, U.";"114";"0";"18";"17";"7";"1";"0";"4";"4";"9";"1";"0";"1";"1";"1";"2";"3";"4";"2";"1";"3";"4";"0";"0";"1";"2";"2";"2";"4";"4";"1";"2";"0";"5";"3";"2";"2";"1"
;;"19";"Michon-Derkzen, I.J.M.";"65";"1";"5";"16";"0";"0";"0";"3";"7";"0";"1";"0";"1";"1";"1";"1";"0";"1";"0";"2";"0";"2";"0";"0";"1";"2";"1";"1";"4";"0";"2";"0";"0";"7";"2";"2";"0";"1"
;;"20";"Martens-America, C.";"78";"1";"9";"14";"3";"2";"1";"2";"0";"5";"0";"2";"0";"2";"0";"0";"3";"3";"0";"0";"0";"3";"0";"0";"2";"3";"0";"1";"2";"3";"1";"0";"1";"5";"5";"2";"1";"2"
;;"21";"Meulenkamp, W.J.H.";"247";"8";"7";"5";"2";"2";"0";"8";"0";"1";"0";"2";"2";"7";"0";"1";"26";"1";"1";"0";"1";"3";"0";"0";"8";"0";"0";"9";"3";"9";"0";"5";"19";"2";"2";"86";"22";"5"
;;"22";"de Groot, P.C.";"397";"3";"29";"8";"11";"0";"1";"3";"0";"9";"9";"11";"39";"186";"1";"3";"1";"25";"2";"14";"0";"0";"0";"1";"1";"1";"0";"5";"1";"4";"14";"1";"1";"2";"1";"7";"1";"2"
;;"23";"Kisteman, A.";"156";"1";"12";"0";"0";"3";"1";"2";"0";"5";"7";"14";"3";"3";"27";"5";"2";"3";"13";"2";"0";"2";"0";"0";"4";"3";"2";"5";"13";"5";"0";"0";"3";"2";"2";"3";"2";"7"
