"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"21";"Palland, A.S.";"201";"0";"2";"1";"1";"0";"0";"0";"0";"3";"4";"2";"1";"4";"135";"23";"0";"1";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"27";"0";"1";"0";"4";"0";"0";"0";"0";"6";"0";"0";"0";"3";"1";"1";"1";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"23";"Muilwijk, I.";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Westerink-Petersen, J.";"130";"0";"7";"9";"2";"1";"0";"0";"0";"18";"6";"1";"1";"6";"1";"2";"0";"1";"1";"3";"2";"4";"0";"1";"1";"36";"1";"0";"0";"2";"1";"0";"0";"1";"21";"1";"0";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"13";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"van den Berg, G.";"163";"0";"2";"0";"1";"0";"0";"0";"1";"2";"24";"10";"4";"17";"1";"1";"1";"0";"13";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"82";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"23";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0";"2";"1";"1";"0";"6";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
;;"28";"de Haan, M.E.";"13";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"29";"Koerts, A.J.";"18";"0";"1";"0";"1";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"32";"0";"2";"4";"1";"0";"0";"1";"0";"10";"1";"0";"0";"0";"1";"0";"0";"3";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"31";"Verweij, J.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"36";"0";"3";"1";"0";"0";"0";"0";"0";"1";"1";"1";"2";"6";"1";"0";"0";"2";"9";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"33";"Kumar, A.D.J.M.";"11";"0";"0";"3";"0";"0";"0";"1";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"13";"0";"5";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"35";"Visser, J.A.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"6";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"10";"0";"3";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Zande, J.M.";"151";"0";"125";"1";"1";"2";"1";"0";"0";"1";"0";"4";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"5";"3";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"46";"0";"2";"3";"3";"1";"0";"0";"0";"11";"0";"0";"3";"4";"1";"0";"0";"15";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Cornelissen, B.";"122";"0";"3";"2";"1";"0";"0";"0";"0";"2";"2";"0";"9";"7";"0";"3";"0";"8";"1";"82";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"109";"1";"2";"64";"4";"1";"1";"4";"4";"3";"1";"0";"0";"3";"0";"0";"0";"2";"0";"2";"2";"4";"1";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0"
;;"43";"Schutte, J.W.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"18";"0";"3";"1";"3";"0";"0";"0";"0";"6";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"22";"0";"1";"1";"6";"0";"0";"0";"0";"2";"1";"0";"1";"0";"3";"0";"0";"3";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Bosman, F.G.";"10";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"154";"0";"5";"1";"81";"0";"0";"0";"2";"17";"1";"1";"5";"6";"0";"2";"0";"16";"3";"7";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0"
;;"48";"Stoorvogel, H.";"217";"2";"15";"2";"3";"0";"0";"0";"2";"31";"20";"6";"18";"21";"6";"16";"1";"14";"28";"2";"2";"2";"0";"0";"3";"2";"0";"1";"2";"3";"8";"2";"0";"0";"4";"0";"1";"0"
;;"49";"van den Berg, R.C.";"120";"0";"11";"4";"5";"0";"0";"0";"0";"44";"6";"0";"5";"3";"1";"1";"0";"3";"2";"0";"2";"1";"0";"2";"1";"19";"1";"0";"0";"2";"6";"1";"0";"0";"0";"0";"0";"0"
;;"50";"de Graaf, B.A.";"264";"0";"30";"12";"25";"2";"0";"4";"4";"47";"14";"5";"9";"17";"6";"0";"4";"18";"14";"10";"2";"1";"0";"3";"4";"7";"1";"2";"0";"4";"8";"1";"0";"2";"7";"0";"0";"1"
"10";"Volt";;;"13517";"136";"1412";"2308";"209";"144";"87";"446";"190";"943";"77";"219";"191";"363";"103";"84";"439";"329";"76";"121";"469";"479";"46";"35";"210";"1185";"103";"169";"239";"556";"115";"218";"215";"386";"430";"306";"264";"215"
;;"1";"Dassen, L.A.J.M.";"7821";"86";"847";"1223";"123";"92";"53";"292";"117";"505";"37";"136";"112";"207";"50";"54";"275";"196";"41";"76";"271";"301";"26";"22";"135";"546";"61";"122";"146";"342";"85";"131";"129";"227";"256";"207";"164";"128"
;;"2";"Koekkoek, M.";"3158";"33";"330";"588";"42";"28";"25";"84";"38";"250";"23";"46";"49";"88";"39";"17";"84";"82";"16";"28";"104";"102";"14";"10";"42";"286";"23";"28";"51";"121";"13";"56";"46";"94";"106";"52";"63";"57"
;;"3";"Boutkan, E.";"136";"0";"6";"22";"2";"0";"0";"3";"3";"9";"2";"3";"2";"5";"0";"4";"8";"5";"0";"0";"3";"7";"1";"0";"3";"26";"1";"2";"1";"3";"0";"3";"0";"3";"3";"2";"4";"0"
;;"4";"Elfilali, I.";"538";"5";"39";"119";"8";"3";"1";"19";"7";"38";"4";"4";"4";"19";"2";"2";"11";"13";"2";"6";"24";"18";"1";"0";"9";"82";"4";"5";"11";"14";"3";"3";"7";"13";"14";"12";"6";"6"
;;"5";"Hagoort, M.B.J.";"52";"0";"5";"8";"0";"1";"0";"0";"0";"5";"0";"0";"0";"5";"0";"0";"1";"0";"0";"2";"5";"1";"0";"0";"0";"8";"0";"1";"7";"0";"0";"0";"2";"0";"0";"0";"0";"1"
;;"6";"Frijters, R.M.J.";"471";"1";"41";"91";"8";"5";"2";"19";"7";"39";"2";"4";"7";"12";"2";"0";"12";"4";"1";"2";"10";"9";"0";"2";"2";"71";"6";"3";"7";"19";"1";"4";"9";"19";"24";"10";"8";"8"
;;"7";"de Boer, R.W.";"42";"1";"5";"13";"1";"1";"0";"2";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"2";"2";"0";"0";"2";"0";"0";"1";"0";"1";"0";"1";"0";"1"
;;"8";"van der Lugt, S.";"425";"4";"40";"84";"10";"2";"3";"6";"6";"39";"0";"4";"6";"5";"1";"1";"16";"8";"1";"1";"23";"12";"1";"0";"3";"69";"2";"2";"4";"21";"6";"3";"5";"10";"10";"8";"5";"4"
;;"9";"Beijnon, B.";"58";"0";"1";"16";"3";"0";"0";"1";"1";"5";"0";"0";"3";"0";"0";"0";"1";"3";"1";"0";"0";"4";"0";"0";"1";"9";"1";"0";"1";"2";"0";"2";"1";"0";"1";"0";"1";"0"
;;"10";"Twickler, R.";"179";"2";"22";"30";"4";"6";"3";"2";"2";"12";"0";"5";"0";"2";"1";"0";"5";"1";"2";"0";"4";"5";"0";"0";"6";"22";"2";"0";"1";"8";"2";"3";"4";"9";"6";"2";"5";"1"
;;"11";"Ercan, C.";"167";"0";"18";"28";"2";"2";"0";"2";"2";"2";"4";"8";"2";"4";"5";"6";"12";"0";"10";"2";"4";"5";"1";"0";"2";"9";"0";"2";"3";"11";"1";"2";"5";"3";"2";"1";"3";"4"
;;"12";"Hamel, J.E.R.";"90";"0";"12";"17";"0";"1";"0";"4";"2";"9";"0";"1";"2";"5";"0";"0";"2";"1";"1";"1";"3";"2";"0";"0";"2";"11";"0";"0";"0";"2";"0";"2";"2";"0";"3";"5";"0";"0"
;;"13";"van Ewijk, W.H.E.";"8";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"14";"van Laar, S.A.";"51";"0";"9";"9";"1";"0";"0";"0";"1";"3";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"2";"2";"1";"0";"1";"4";"1";"0";"1";"3";"0";"1";"2";"2";"1";"1";"0";"1"
;;"15";"Tai, M.T.";"16";"0";"4";"4";"0";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"16";"Pajak, V.L.";"56";"0";"4";"11";"1";"0";"0";"5";"0";"4";"0";"1";"0";"1";"0";"0";"5";"0";"0";"0";"4";"2";"1";"0";"0";"10";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1"
;;"17";"Eigenhuis, F.";"88";"2";"9";"10";"2";"2";"0";"0";"0";"8";"0";"0";"1";"5";"2";"0";"1";"14";"1";"2";"2";"2";"0";"0";"0";"11";"1";"0";"1";"1";"2";"3";"1";"1";"0";"2";"1";"1"
;;"18";"Verbeek, E.L.I.";"31";"0";"3";"9";"1";"0";"0";"2";"0";"2";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
;;"19";"Hemmes, B.J.A.";"16";"0";"2";"2";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1"
;;"20";"Elsinga, D.";"49";"2";"7";"5";"1";"0";"0";"2";"1";"4";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"3";"4";"0";"0";"2";"5";"0";"0";"1";"4";"0";"1";"0";"1";"0";"0";"2";"0"
;;"21";"Dreteler, S.J.";"65";"0";"8";"16";"0";"0";"0";"2";"1";"4";"1";"1";"0";"2";"1";"0";"1";"0";"0";"1";"3";"1";"0";"1";"0";"7";"1";"2";"2";"3";"1";"1";"1";"1";"1";"0";"1";"1"
"11";"JA21";;;"6059";"122";"663";"397";"270";"82";"40";"253";"123";"483";"101";"110";"114";"248";"51";"84";"142";"233";"70";"103";"119";"159";"5";"43";"98";"95";"73";"108";"151";"180";"131";"173";"124";"195";"235";"171";"158";"152"
;;"1";"Eerdmans, B.J.";"4706";"98";"500";"303";"196";"67";"32";"206";"106";"350";"83";"88";"92";"195";"42";"67";"116";"186";"51";"81";"90";"128";"3";"32";"73";"63";"51";"85";"124";"149";"104";"140";"96";"153";"192";"129";"121";"114"
;;"2";"Nanninga, A.";"736";"9";"90";"52";"34";"9";"5";"29";"8";"60";"13";"16";"15";"34";"5";"12";"10";"31";"11";"13";"18";"16";"1";"9";"15";"16";"13";"17";"15";"20";"16";"22";"6";"23";"21";"16";"17";"19"
;;"3";"Ceulemans, S.";"26";"0";"4";"4";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"2";"1";"1";"2";"0";"0"
;;"4";"Bakker-Derks, E.H.M.";"211";"9";"27";"5";"7";"1";"1";"11";"3";"15";"1";"3";"4";"6";"1";"2";"0";"5";"3";"3";"6";"6";"1";"1";"5";"4";"7";"4";"4";"2";"3";"5";"7";"11";"10";"7";"9";"12"
;;"5";"van Doorn, D.M.A.";"8";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"6";"Goudzwaard, M.";"18";"0";"3";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1";"0"
;;"7";"Schyns, P.F.M.";"11";"0";"2";"2";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"8";"Uiterwijk, K.";"33";"1";"2";"4";"3";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"2";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"2";"0";"1";"3";"1";"0"
;;"9";"Dijksterhuis, R.G.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"10";"van den Berg, D.J.";"24";"0";"2";"1";"3";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"1";"2";"3";"0";"0"
;;"11";"Omlo, H.";"6";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"12";"Hesselink, S.W.J.";"7";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0"
;;"13";"Nuijten, K.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"14";"Roos, S.M.";"7";"1";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Soltani, M.";"8";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"11";"0";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
;;"21";"Lodders, I.A.G.";"13";"1";"1";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0"
;;"22";"Vos, L.L.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"Gordijn, C.";"16";"0";"0";"3";"2";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0"
;;"27";"Bloemenkamp, J.H.";"59";"1";"14";"0";"3";"1";"0";"3";"1";"0";"0";"1";"0";"0";"1";"0";"11";"0";"0";"0";"0";"2";"0";"0";"4";"0";"1";"0";"0";"3";"0";"1";"4";"0";"1";"1";"5";"1"
;;"28";"Waitz, J.W.A.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"57";"0";"2";"7";"0";"0";"0";"0";"0";"32";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"2";"3";"0";"0";"1"
;;"30";"Koetje, J.M.";"5";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"31";"Buijs, M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"25";"0";"2";"1";"14";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"35";"Hieralal, K.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"24";"1";"3";"2";"0";"1";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"43277";"114";"3753";"264";"9297";"50";"11";"404";"44";"9739";"2146";"934";"1383";"773";"193";"443";"46";"1797";"2058";"2077";"118";"116";"8";"1362";"311";"236";"25";"60";"27";"109";"4519";"50";"18";"39";"491";"38";"197";"27"
;;"1";"Stoffer, C.";"38726";"103";"3321";"218";"8442";"48";"7";"334";"42";"8347";"1991";"842";"1266";"650";"181";"398";"40";"1599";"1890";"1921";"100";"103";"6";"1213";"289";"206";"21";"49";"21";"99";"4213";"41";"14";"33";"446";"31";"178";"23"
;;"2";"van Dijk, D.J.H.";"951";"3";"91";"10";"178";"0";"0";"8";"0";"297";"36";"23";"22";"13";"2";"9";"1";"53";"40";"27";"3";"1";"0";"27";"4";"8";"1";"0";"1";"1";"78";"2";"0";"0";"8";"0";"3";"1"
;;"3";"Flach, A.J.";"213";"0";"22";"2";"48";"0";"0";"4";"0";"54";"5";"7";"7";"2";"0";"2";"0";"7";"8";"4";"1";"3";"0";"8";"2";"1";"0";"0";"0";"3";"19";"0";"0";"0";"2";"2";"0";"0"
;;"4";"Middelkoop, P.N.";"496";"1";"33";"6";"50";"0";"2";"4";"0";"96";"24";"27";"23";"60";"3";"10";"2";"28";"24";"19";"5";"5";"0";"13";"3";"2";"0";"6";"1";"3";"40";"0";"0";"0";"4";"1";"1";"0"
;;"5";"Vroegindeweij, W.J.";"129";"0";"9";"2";"33";"0";"0";"1";"0";"35";"3";"4";"1";"5";"1";"1";"0";"6";"3";"12";"3";"0";"0";"3";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
;;"6";"van der Maas, A.J.";"23";"0";"2";"3";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"4";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
;;"7";"van der Wind, H.J.";"362";"0";"4";"1";"107";"0";"0";"0";"0";"134";"8";"2";"12";"5";"0";"0";"0";"17";"7";"20";"0";"0";"0";"28";"3";"2";"0";"0";"0";"0";"6";"1";"0";"0";"5";"0";"0";"0"
;;"8";"Both, D.D.";"189";"0";"4";"1";"31";"0";"0";"0";"1";"91";"0";"2";"5";"2";"0";"1";"0";"3";"3";"3";"0";"0";"0";"31";"0";"5";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
;;"9";"Kloosterman, J.";"349";"0";"187";"5";"31";"2";"0";"1";"0";"51";"3";"11";"3";"6";"0";"4";"0";"3";"13";"5";"1";"2";"2";"1";"5";"0";"0";"0";"0";"2";"8";"0";"0";"1";"1";"0";"1";"0"
;;"10";"van Heijst, R.C.";"77";"1";"6";"2";"6";"0";"0";"0";"0";"32";"1";"1";"1";"0";"0";"1";"0";"2";"2";"2";"1";"0";"0";"6";"2";"1";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"2";"0"
