"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"45";"van Strien, G.A.";"77";"0";"1";"9";"1";"5";"6";"2";"3";"2";"5";"2";"4";"2";"2";"8";"3";"0";"2";"1";"4";"3";"7";"2";"3"
"5";"CDA";;;"21471";"180";"1067";"2957";"661";"835";"413";"497";"479";"512";"549";"891";"982";"331";"413";"2789";"1032";"379";"545";"653";"1336";"918";"576";"323";"2153"
;;"1";"Bontenbal, H.";"18593";"135";"938";"2505";"562";"709";"358";"430";"429";"437";"490";"769";"852";"289";"363";"2381";"913";"326";"465";"584";"1186";"814";"505";"259";"1894"
;;"2";"Vedder, E.C.";"925";"7";"47";"121";"32";"42";"17";"21";"13";"24";"18";"28";"43";"13";"18";"132";"41";"18";"22";"24";"57";"43";"28";"13";"103"
;;"3";"Boswijk, D.G.";"157";"1";"7";"16";"3";"7";"7";"2";"6";"2";"4";"8";"3";"2";"1";"23";"8";"3";"5";"3";"9";"3";"4";"3";"27"
;;"4";"van Dijk, I.";"809";"8";"35";"86";"39";"49";"13";"24";"25";"29";"20";"60";"40";"14";"10";"108";"44";"18";"23";"21";"31";"23";"20";"15";"54"
;;"5";"Krul, H.M.";"57";"0";"4";"10";"3";"1";"1";"1";"1";"1";"1";"1";"3";"0";"1";"9";"4";"1";"2";"0";"3";"2";"0";"4";"4"
;;"6";"Palland-Mulder, H.M.";"57";"0";"2";"11";"1";"4";"1";"0";"0";"0";"2";"0";"2";"0";"1";"15";"3";"0";"1";"2";"1";"3";"0";"1";"7"
;;"7";"van den Brink, G.";"17";"0";"0";"1";"1";"0";"0";"1";"0";"1";"2";"1";"0";"1";"0";"3";"1";"0";"1";"0";"0";"0";"2";"0";"2"
;;"8";"Absil, M.G.J.A.C.";"33";"0";"1";"4";"1";"3";"1";"0";"0";"0";"3";"1";"1";"1";"0";"9";"0";"0";"0";"1";"1";"2";"0";"1";"3"
;;"9";"Steen, H.S.";"34";"0";"2";"5";"1";"0";"2";"1";"0";"0";"1";"2";"0";"0";"1";"5";"2";"1";"2";"0";"2";"3";"2";"0";"2"
;;"10";"Kuik, A.";"55";"1";"5";"8";"2";"2";"5";"2";"0";"0";"1";"1";"4";"0";"0";"6";"1";"1";"0";"0";"4";"3";"2";"0";"7"
;;"11";"Spoelstra, J.";"14";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1"
;;"12";"Slootweg, E.J.";"9";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"1";"0";"1"
;;"13";"Chaoui-Nhass, S.";"13";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"21";"0";"1";"5";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1";"4";"1";"0";"0";"1";"0";"2";"1";"0";"1"
;;"15";"Diederen, R.";"19";"0";"2";"4";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"7";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"16";"Hamstra, S.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"17";"Houmes, E.S.";"25";"0";"3";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"0";"1";"2";"0";"4";"1";"0";"0";"1"
;;"18";"van den Berg, J.H.C.";"21";"0";"1";"4";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"6";"0";"2";"0";"0";"2";"0";"0";"0";"2"
;;"19";"de Haan, J.D.P.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0"
;;"20";"Vermeer, J.";"12";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"2";"0";"1"
;;"21";"van der Heide, E.J.";"15";"0";"3";"5";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0"
;;"22";"Goos, J.C.M.";"15";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"1";"0";"0";"5";"0"
;;"23";"Boogaard, P.";"11";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2"
;;"25";"Segers-Hoogendoorn, R.G.C.";"9";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"3"
;;"26";"van Gijssel, A.K.";"8";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"3"
;;"27";"Goudriaan, L.H.";"6";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"van der Spek, A.M.";"14";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"7"
;;"30";"Out, F.M.S.";"5";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"32";"Tuncer, Y.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"6";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"34";"van den Oever, J.A.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"5"
;;"35";"van den Berg, J.A.M.J.";"7";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"36";"Beers, A.M.A.G.";"347";"28";"6";"118";"4";"4";"5";"12";"3";"13";"4";"4";"20";"7";"4";"25";"5";"2";"13";"11";"14";"9";"4";"22";"10"
;;"37";"van Luik, D.A.N.";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"19";"0";"0";"1";"2";"1";"0";"1";"0";"1";"1";"5";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"40";"Dost, H.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"42";"van de Giessen, L.H.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"43";"Bracke, D.G.A.J.";"14";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"31";"0";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"3";"0";"0";"9";"1";"0";"0";"2";"2";"1";"0";"0";"3"
;;"45";"Meppelink, E.M.";"14";"0";"1";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"1";"0";"1";"2";"0";"0";"0";"0"
;;"46";"van Dijk, Q.A.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"2"
;;"47";"van Lankvelt, F.J.M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"14";"0";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"2"
"6";"SP (Socialistische Partij)";;;"24055";"137";"1454";"3804";"651";"993";"544";"637";"647";"356";"598";"694";"1143";"355";"533";"4809";"1070";"439";"483";"628";"1567";"851";"658";"203";"801"
;;"1";"Marijnissen, L.M.C.";"21195";"126";"1290";"3046";"577";"888";"488";"575";"594";"319";"548";"637";"1016";"332";"480";"4250";"982";"408";"444";"571";"1389";"749";"584";"180";"722"
;;"2";"Beckerman, S.M.";"442";"3";"25";"90";"18";"10";"7";"12";"9";"3";"10";"13";"20";"2";"9";"106";"15";"5";"8";"10";"23";"18";"10";"2";"14"
;;"3";"van Kent, B.";"60";"1";"9";"8";"1";"3";"1";"1";"1";"1";"0";"2";"3";"0";"0";"16";"2";"0";"2";"1";"2";"0";"3";"0";"3"
;;"4";"Dijk, J.P.";"100";"0";"8";"15";"2";"4";"0";"2";"0";"0";"0";"4";"5";"1";"0";"30";"4";"2";"2";"2";"4";"6";"1";"1";"7"
;;"5";"van Nispen, M.";"683";"3";"28";"302";"7";"33";"14";"13";"5";"2";"6";"7";"23";"10";"10";"52";"11";"6";"12";"17";"55";"26";"19";"6";"16"
;;"6";"Dobbe, S.E.M.";"244";"0";"9";"50";"6";"10";"3";"10";"7";"21";"4";"6";"15";"0";"4";"50";"7";"2";"1";"1";"15";"7";"6";"1";"9"
;;"7";"Temmink, N.G.J.";"100";"0";"7";"20";"4";"2";"4";"2";"1";"0";"3";"2";"7";"1";"2";"27";"5";"2";"2";"1";"4";"3";"0";"1";"0"
;;"8";"ten Broeke, M.J.";"17";"0";"0";"3";"0";"1";"0";"0";"0";"1";"2";"1";"2";"0";"0";"3";"1";"1";"1";"0";"0";"1";"0";"0";"0"
;;"9";"van Dijk, J.J.";"73";"0";"3";"11";"0";"1";"4";"4";"2";"1";"1";"2";"3";"0";"3";"22";"3";"0";"0";"2";"6";"2";"2";"0";"1"
;;"10";"Meijer, B.W.V.";"30";"0";"1";"8";"2";"0";"2";"1";"0";"0";"0";"1";"0";"0";"1";"7";"2";"1";"0";"0";"3";"0";"0";"0";"1"
;;"11";"Elfrink, G.E.";"7";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"12";"Wolters Gregório, J.";"12";"0";"1";"2";"0";"2";"0";"1";"1";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Boerwinkel, E.M.J.";"12";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"2"
;;"14";"Alberts, R.";"21";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"6";"0";"0";"1";"0";"1";"3";"0";"0";"0"
;;"15";"van der Nat, H.F.A.";"6";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Memiş, M.";"58";"0";"4";"5";"3";"8";"0";"0";"0";"1";"1";"1";"4";"0";"0";"18";"2";"1";"1";"0";"9";"0";"0";"0";"0"
;;"17";"van Dijk, D.";"43";"1";"3";"5";"4";"1";"1";"1";"1";"0";"1";"2";"2";"0";"0";"15";"1";"0";"0";"0";"2";"0";"2";"0";"1"
;;"18";"de Ridder, N.";"25";"0";"5";"7";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"6";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"19";"Yahyaoui, J.";"58";"0";"1";"13";"1";"2";"0";"2";"1";"1";"0";"0";"4";"0";"3";"17";"3";"0";"2";"0";"5";"0";"0";"1";"2"
;;"20";"van Boven, A.W.";"21";"0";"0";"2";"1";"1";"0";"1";"2";"0";"1";"3";"0";"0";"1";"5";"0";"0";"0";"0";"2";"1";"0";"1";"0"
;;"21";"Coppus, T.H.C.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"7";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"8";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"25";"van den Hout, S.G.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Verdaasdonk, I.";"345";"1";"12";"138";"7";"16";"7";"8";"2";"1";"2";"5";"16";"6";"8";"38";"8";"2";"2";"15";"10";"11";"22";"3";"5"
;;"28";"van Rossum, L.";"27";"0";"2";"13";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"3";"0";"1";"2"
;;"29";"Rongen, K.S.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"31";"Cramer, A.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"32";"van Scheltinga, E.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"11";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"2";"0";"0";"0"
;;"34";"Kuin, R.M.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"38";"Spanner, A.M.";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"9";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"ten Heuw, M.A.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"8";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"46";"de Vries, E.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"371";"1";"33";"44";"12";"10";"10";"1";"19";"4";"12";"7";"13";"3";"9";"91";"16";"6";"2";"8";"25";"18";"9";"6";"12"
"7";"Forum voor Democratie";;;"12977";"91";"783";"2126";"258";"531";"242";"279";"238";"142";"249";"311";"627";"289";"333";"2257";"585";"274";"259";"358";"926";"536";"302";"116";"865"
;;"1";"Baudet, T.H.P.";"9383";"61";"610";"1504";"185";"407";"186";"208";"163";"99";"169";"233";"471";"215";"224";"1593";"434";"209";"180";"268";"680";"380";"213";"85";"606"
;;"2";"Jansen, F.J.H.";"185";"0";"9";"34";"1";"6";"4";"2";"3";"2";"1";"4";"10";"1";"7";"42";"8";"1";"4";"2";"16";"6";"5";"3";"14"
;;"3";"van Meijeren, G.F.C.";"2447";"22";"124";"401";"52";"90";"34";"44";"53";"37";"50";"56";"114";"47";"84";"431";"110";"47";"57";"67";"171";"99";"54";"13";"190"
;;"4";"van Houwelingen, P.";"256";"0";"7";"39";"8";"6";"4";"6";"4";"2";"10";"7";"11";"7";"6";"47";"11";"8";"6";"4";"19";"15";"11";"7";"11"
;;"5";"Dekker, R.J.";"233";"4";"19";"44";"3";"4";"5";"8";"3";"0";"7";"7";"7";"8";"3";"50";"7";"5";"4";"5";"5";"10";"6";"3";"16"
;;"6";"de Vos, L.G.";"121";"2";"5";"22";"3";"5";"4";"5";"3";"0";"1";"0";"4";"1";"2";"15";"3";"1";"2";"4";"14";"11";"5";"3";"6"
;;"7";"Russcher, T.K.";"8";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"8";"Etalle, M.J.S.";"11";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"2"
;;"9";"Bakir, A.";"9";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"2"
;;"10";"Dessing, J.";"10";"1";"0";"4";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"11";"Vastenhouw, J.";"4";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"12";"Al Biyati, I.";"10";"0";"0";"4";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"13";"de Knegt, R.E.R.";"7";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"14";"Verstegen, P.J.T.";"8";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"16";"Antolini, B.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1"
;;"18";"Koopman, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"9";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"20";"van den Boomgaard, M.R.";"3";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Kooke, P.";"70";"0";"0";"5";"0";"1";"0";"3";"2";"0";"4";"1";"0";"1";"0";"39";"5";"0";"0";"1";"3";"4";"0";"1";"0"
;;"22";"van Woudenberg, M.H.";"89";"0";"2";"41";"2";"8";"1";"2";"3";"0";"1";"0";"5";"3";"0";"1";"0";"0";"2";"3";"5";"5";"5";"0";"0"
;;"23";"Knoester, N.A.";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Janssen, N.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Dinther-Spoek, P.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"26";"Bethlehem, C.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"27";"de Lange, A.K.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Hadderingh, B.S.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"6";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Minkels, J.D.";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"35";"Vos, A.V.B.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"36";"Hartman, M.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"37";"Panis, T.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5"
