"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"40";"van Groningen, D.A.";"63";"0";"3";"19";"0";"1";"0";"2";"1";"0";"0";"1";"2";"0";"1";"9";"4";"0";"0";"3";"5";"4";"4";"0";"4"
;;"41";"Zeeuw van der Laan, E.M.";"20";"0";"2";"4";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"4";"0";"1";"0";"0";"2";"1";"0";"0";"0"
;;"42";"Volkman, Y.";"10";"0";"1";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"43";"van Kessel, P.W.";"11";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1"
;;"44";"Rahimi, H.";"21";"0";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"7";"0";"0";"0";"1";"1";"0";"0";"0";"4"
;;"45";"Omlo, B.F.";"20";"0";"0";"5";"0";"3";"1";"0";"0";"0";"0";"1";"4";"0";"0";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"13";"0";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"56";"2";"6";"8";"1";"4";"0";"1";"1";"0";"2";"1";"1";"1";"3";"7";"1";"2";"0";"5";"4";"2";"0";"2";"2"
;;"48";"de Wit, B.G.P.";"15";"0";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"2";"0";"2";"0";"1"
;;"49";"van Meerten-Kok, M.A.";"11";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"50";"Hoogezand, B.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"51";"Achterbergh, M.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"52";"Wendel, H.";"22";"0";"1";"5";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"7";"0";"0";"1";"0";"0";"3";"0";"0";"0"
;;"53";"Kohli, N.R.";"27";"0";"1";"9";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"3";"0";"2";"0";"3";"0";"0";"0";"0"
;;"54";"Klerks, I.C.";"482";"1";"3";"40";"22";"4";"9";"8";"8";"4";"39";"5";"19";"7";"1";"71";"180";"0";"3";"3";"12";"6";"6";"8";"23"
;;"55";"Dijkema, H.M.";"8";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"18";"0";"1";"2";"1";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"6";"3";"0";"0";"0";"0";"1";"0";"0";"0"
;;"57";"van Rijn, D.";"7";"0";"1";"3";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"8";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"59";"de Regt, L.H.P.";"9";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0"
