"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"26";"Ram, D.";"26";"1";"2";"0";"1";"1";"1";"4";"1";"1";"0";"0";"0";"0";"0";"4";"5";"0";"2";"2";"0";"0";"0";"0";"1";"0"
;;"27";"Vlottes, E.";"11";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"28";"Smitskam, P.";"127";"11";"1";"2";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"82";"1";"0";"5";"1";"8";"1";"7";"2";"1"
;;"29";"Esser, E.R.F.";"7";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"30";"Boutkan, W.";"7";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"31";"van den Born, V.H.";"9";"2";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0"
;;"32";"Crijns, P.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"van Haasen, J.P.";"8";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"137";"12";"11";"9";"1";"9";"2";"17";"4";"0";"2";"5";"2";"0";"3";"3";"16";"2";"3";"6";"4";"5";"0";"3";"13";"5"
;;"35";"Valize, J.J.T.M.";"13";"1";"1";"0";"1";"0";"0";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
;;"36";"Heutink, H.D.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Pool, J.";"10";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"1";"1"
;;"38";"Faddegon, C.J.";"11";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"3";"2";"0"
;;"39";"Uppelschoten, N.A.";"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"2";"0";"1"
;;"40";"Rep, R.J.H.H.";"19";"3";"0";"1";"0";"2";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"2"
;;"41";"Thiadens, F.M.";"65";"9";"3";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"9";"0";"2";"0";"0";"7";"0";"21";"1";"1";"1";"4"
;;"42";"Raijer, A.J.";"67";"9";"1";"1";"2";"1";"2";"1";"1";"1";"1";"5";"2";"2";"3";"0";"12";"2";"3";"3";"3";"4";"3";"1";"2";"2"
;;"43";"van Bijnen, H.M.";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"4";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"10";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"2";"0"
;;"45";"van Strien, G.A.";"71";"8";"6";"4";"2";"5";"1";"0";"0";"4";"0";"2";"0";"2";"0";"0";"6";"1";"4";"6";"3";"5";"1";"4";"6";"1"
"5";"CDA";;;"29614";"3018";"913";"1468";"456";"2676";"638";"1558";"600";"671";"1018";"1034";"597";"624";"783";"610";"1717";"319";"1048";"1954";"880";"1121";"1265";"1573";"1389";"1684"
;;"1";"Bontenbal, H.";"25762";"2454";"840";"1262";"413";"2412";"593";"1260";"529";"581";"907";"936";"545";"548";"672";"548";"1500";"259";"935";"1740";"764";"968";"1115";"1279";"1206";"1496"
;;"2";"Vedder, E.C.";"1442";"129";"33";"87";"17";"139";"24";"100";"32";"43";"35";"49";"18";"32";"40";"19";"97";"25";"50";"104";"46";"33";"64";"56";"65";"105"
;;"3";"Boswijk, D.G.";"324";"26";"10";"21";"3";"20";"2";"19";"6";"7";"29";"14";"5";"7";"20";"3";"11";"10";"5";"14";"6";"12";"26";"8";"19";"21"
;;"4";"van Dijk, I.";"307";"23";"5";"15";"4";"30";"3";"29";"8";"9";"12";"8";"8";"4";"11";"6";"16";"7";"11";"17";"12";"15";"12";"13";"16";"13"
;;"5";"Krul, H.M.";"109";"9";"4";"5";"4";"8";"2";"13";"0";"5";"3";"2";"3";"1";"4";"2";"3";"1";"5";"3";"6";"7";"3";"7";"6";"3"
;;"6";"Palland-Mulder, H.M.";"152";"22";"1";"10";"2";"11";"2";"21";"1";"1";"1";"0";"3";"5";"4";"5";"9";"0";"9";"9";"5";"4";"8";"7";"8";"4"
;;"7";"van den Brink, G.";"57";"6";"2";"2";"0";"5";"1";"8";"1";"0";"0";"2";"0";"1";"0";"3";"3";"0";"2";"2";"1";"0";"4";"7";"5";"2"
;;"8";"Absil, M.G.J.A.C.";"49";"2";"1";"8";"0";"1";"1";"8";"0";"1";"0";"1";"0";"1";"0";"2";"5";"2";"1";"3";"1";"2";"2";"4";"1";"2"
;;"9";"Steen, H.S.";"59";"4";"0";"2";"1";"6";"1";"4";"2";"1";"3";"2";"2";"2";"2";"0";"2";"0";"3";"9";"1";"3";"3";"3";"1";"2"
;;"10";"Kuik, A.";"113";"10";"4";"11";"2";"6";"0";"13";"4";"3";"2";"1";"1";"5";"3";"1";"6";"0";"3";"7";"6";"3";"2";"8";"6";"6"
;;"11";"Spoelstra, J.";"17";"4";"0";"1";"0";"1";"0";"2";"0";"2";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0"
;;"12";"Slootweg, E.J.";"15";"2";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"2";"0";"0";"0";"0";"2"
;;"13";"Chaoui-Nhass, S.";"32";"2";"0";"1";"0";"1";"0";"6";"0";"1";"4";"0";"0";"0";"1";"0";"6";"1";"0";"1";"2";"1";"0";"2";"3";"0"
;;"14";"Zwinkels, J.M.";"79";"8";"2";"6";"0";"1";"0";"12";"2";"3";"1";"2";"2";"1";"4";"1";"4";"0";"2";"4";"3";"2";"2";"2";"7";"8"
;;"15";"Diederen, R.";"16";"1";"0";"2";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"1";"1"
;;"16";"Hamstra, S.";"11";"2";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"17";"Houmes, E.S.";"28";"1";"0";"4";"1";"3";"0";"8";"1";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"2";"1";"1"
;;"18";"van den Berg, J.H.C.";"47";"3";"0";"2";"5";"3";"0";"3";"1";"8";"2";"1";"0";"1";"3";"1";"2";"0";"2";"2";"2";"1";"1";"2";"0";"2"
;;"19";"de Haan, J.D.P.";"10";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0"
;;"20";"Vermeer, J.";"28";"2";"0";"2";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"0";"3";"8";"0";"1";"1";"1";"0";"0";"2";"3";"0"
;;"21";"van der Heide, E.J.";"283";"11";"3";"6";"1";"10";"0";"14";"3";"3";"1";"6";"4";"9";"4";"6";"17";"5";"7";"3";"0";"0";"0";"157";"11";"2"
;;"22";"Goos, J.C.M.";"5";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"9";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"8";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"21";"0";"2";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"1";"0";"0";"0";"2";"4";"0";"2";"0";"0";"3";"2"
;;"26";"van Gijssel, A.K.";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Goudriaan, L.H.";"10";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"1";"1"
;;"28";"van Lagen, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"14";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1"
;;"30";"Out, F.M.S.";"354";"265";"0";"3";"0";"3";"0";"7";"4";"1";"7";"3";"1";"1";"6";"1";"6";"5";"5";"6";"13";"4";"9";"1";"3";"0"
;;"31";"Silos, J.J.";"11";"2";"0";"1";"0";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
;;"32";"Tuncer, Y.";"6";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0"
;;"33";"Broekhuis, J.C.";"5";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"34";"van den Oever, J.A.";"11";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"3";"1"
;;"35";"van den Berg, J.A.M.J.";"15";"2";"0";"2";"0";"1";"0";"5";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"16";"3";"0";"1";"1";"1";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0"
;;"37";"van Luik, D.A.N.";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"38";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
;;"41";"Buijs, T.S.F.";"12";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"1";"1";"1";"0"
;;"42";"van de Giessen, L.H.";"6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
;;"43";"Bracke, D.G.A.J.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"102";"3";"0";"7";"0";"0";"1";"0";"0";"1";"0";"2";"0";"2";"3";"2";"2";"1";"0";"7";"1";"54";"4";"2";"5";"5"
;;"46";"van Dijk, Q.A.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"48";"Siegmann, A.H.";"9";"3";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"49";"van de Kamp, L.B.";"28";"4";"0";"1";"0";"1";"1";"5";"1";"0";"1";"0";"0";"0";"0";"1";"2";"1";"0";"1";"1";"0";"2";"0";"5";"1"
"6";"SP (Socialistische Partij)";;;"19320";"1907";"1191";"1194";"388";"652";"425";"2303";"475";"393";"383";"689";"278";"399";"441";"261";"2473";"156";"578";"673";"399";"654";"396";"1082";"713";"817"
;;"1";"Marijnissen, L.M.C.";"16541";"1644";"1038";"1001";"339";"566";"370";"1801";"402";"350";"335";"610";"249";"345";"384";"238";"2158";"129";"504";"587";"347";"562";"354";"914";"591";"723"
;;"2";"Beckerman, S.M.";"601";"45";"30";"50";"12";"19";"12";"102";"12";"12";"14";"23";"7";"9";"8";"5";"60";"10";"21";"18";"8";"26";"10";"32";"31";"25"
;;"3";"van Kent, B.";"146";"15";"1";"16";"0";"5";"1";"12";"4";"2";"1";"4";"1";"2";"4";"2";"24";"0";"2";"7";"3";"2";"3";"20";"12";"3"
;;"4";"Dijk, J.P.";"91";"6";"6";"8";"1";"8";"4";"17";"4";"1";"0";"0";"0";"3";"0";"2";"12";"0";"2";"6";"0";"3";"0";"4";"2";"2"
;;"5";"van Nispen, M.";"63";"7";"1";"4";"1";"1";"0";"16";"2";"0";"2";"5";"0";"0";"0";"1";"5";"0";"3";"1";"1";"1";"2";"4";"3";"3"
;;"6";"Dobbe, S.E.M.";"290";"26";"10";"20";"11";"12";"6";"59";"11";"4";"6";"8";"2";"7";"7";"1";"27";"5";"7";"14";"6";"4";"6";"14";"10";"7"
;;"7";"Temmink, N.G.J.";"137";"12";"12";"7";"0";"3";"2";"29";"4";"3";"1";"2";"1";"4";"4";"1";"16";"2";"4";"5";"4";"5";"3";"5";"6";"2"
;;"8";"ten Broeke, M.J.";"19";"1";"1";"1";"0";"0";"2";"3";"1";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0";"2";"0";"2";"0";"0"
;;"9";"van Dijk, J.J.";"93";"8";"7";"10";"0";"3";"2";"19";"2";"0";"2";"1";"1";"2";"1";"3";"13";"2";"2";"0";"1";"1";"2";"4";"3";"4"
;;"10";"Meijer, B.W.V.";"44";"1";"4";"2";"0";"0";"1";"10";"1";"2";"0";"0";"0";"1";"2";"1";"6";"0";"0";"0";"2";"3";"0";"6";"2";"0"
;;"11";"Elfrink, G.E.";"9";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"12";"Wolters Gregório, J.";"11";"0";"0";"0";"0";"2";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"12";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"1";"3";"0";"0"
;;"14";"Alberts, R.";"45";"5";"0";"2";"1";"0";"2";"11";"0";"2";"0";"3";"1";"1";"1";"0";"2";"1";"0";"2";"1";"1";"1";"5";"2";"1"
;;"15";"van der Nat, H.F.A.";"117";"46";"0";"3";"1";"3";"0";"18";"16";"1";"3";"0";"4";"0";"1";"1";"4";"3";"2";"0";"6";"2";"0";"1";"1";"1"
;;"16";"Memiş, M.";"36";"1";"5";"3";"0";"0";"1";"2";"1";"0";"0";"1";"0";"0";"2";"0";"4";"0";"0";"2";"0";"11";"1";"1";"0";"1"
;;"17";"van Dijk, D.";"49";"1";"3";"7";"2";"0";"1";"6";"0";"2";"2";"2";"0";"3";"0";"0";"4";"0";"0";"1";"1";"1";"3";"4";"2";"4"
;;"18";"de Ridder, N.";"34";"9";"2";"2";"0";"5";"0";"5";"0";"1";"0";"1";"2";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"2"
;;"19";"Yahyaoui, J.";"86";"8";"2";"6";"2";"3";"0";"14";"1";"0";"1";"0";"2";"4";"5";"0";"17";"0";"2";"0";"1";"2";"3";"6";"5";"2"
;;"20";"van Boven, A.W.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Coppus, T.H.C.";"97";"4";"2";"1";"0";"3";"0";"64";"3";"0";"1";"4";"2";"1";"1";"1";"1";"0";"2";"0";"1";"0";"0";"5";"0";"1"
;;"22";"Topma, X.M.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"14";"0";"3";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0"
;;"24";"Coşkun, T.S.J.";"46";"0";"16";"4";"0";"0";"4";"2";"0";"0";"0";"0";"0";"1";"1";"1";"5";"0";"1";"2";"0";"3";"0";"0";"2";"4"
;;"25";"van den Hout, S.G.";"7";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0"
;;"26";"van der Wijk, N.H.F.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"14";"0";"2";"0";"0";"1";"0";"4";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"28";"van Rossum, L.";"70";"5";"3";"3";"1";"0";"3";"8";"0";"1";"0";"1";"0";"1";"1";"0";"11";"0";"3";"3";"0";"4";"1";"6";"12";"3"
;;"29";"Rongen, K.S.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"30";"van Hooft, J.W.H.";"6";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
;;"31";"Cramer, A.";"52";"10";"0";"4";"0";"4";"1";"16";"0";"2";"0";"1";"0";"2";"1";"0";"7";"0";"1";"0";"1";"0";"0";"2";"0";"0"
;;"32";"van Scheltinga, E.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"6";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"36";"van der Veen, J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1"
;;"37";"Zandvliet, S.K.D.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"10";"1";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Boer, M.I.";"8";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"40";"Ramesar, J.S.";"45";"2";"4";"1";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"2";"0";"11";"0";"0";"4";"0";"1";"0";"11";"4";"0"
;;"41";"ten Heuw, M.A.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"van der Sluis, J.H.A.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"43";"Schelvis, A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"10";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"6";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"46";"de Vries, E.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"49";"Courbois, P.A.O.";"6";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"453";"41";"33";"33";"16";"6";"11";"62";"8";"7";"10";"17";"4";"10";"13";"3";"53";"2";"18";"12";"9";"12";"6";"23";"22";"22"
"7";"Forum voor Democratie";;;"16728";"1579";"1006";"880";"366";"1013";"476";"1252";"304";"316";"370";"635";"226";"242";"474";"324";"2072";"96";"461";"742";"421";"666";"481";"893";"669";"764"
;;"1";"Baudet, T.H.P.";"11710";"1097";"749";"621";"247";"743";"328";"899";"211";"204";"262";"430";"146";"156";"355";"223";"1465";"63";"298";"523";"268";"451";"319";"632";"485";"535"
;;"2";"Jansen, F.J.H.";"270";"16";"5";"14";"6";"17";"7";"19";"3";"3";"15";"9";"3";"4";"9";"6";"33";"0";"10";"7";"7";"14";"4";"30";"17";"12"
;;"3";"van Meijeren, G.F.C.";"3358";"346";"193";"180";"79";"185";"112";"206";"61";"86";"73";"135";"47";"52";"72";"70";"390";"21";"104";"151";"110";"137";"117";"177";"110";"144"
;;"4";"van Houwelingen, P.";"442";"24";"20";"19";"5";"19";"10";"33";"10";"2";"9";"26";"11";"5";"11";"11";"57";"3";"12";"23";"14";"29";"16";"21";"25";"27"
;;"5";"Dekker, R.J.";"274";"26";"15";"15";"6";"15";"4";"36";"5";"3";"2";"8";"12";"4";"3";"5";"28";"3";"6";"18";"5";"11";"3";"15";"10";"16"
;;"6";"de Vos, L.G.";"156";"10";"7";"8";"3";"10";"3";"16";"6";"2";"2";"10";"3";"10";"4";"4";"17";"1";"0";"6";"9";"4";"4";"6";"6";"5"
;;"7";"Russcher, T.K.";"16";"1";"2";"0";"1";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0"
;;"8";"Etalle, M.J.S.";"12";"1";"1";"2";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"9";"Bakir, A.";"29";"2";"2";"2";"0";"1";"0";"2";"0";"2";"0";"0";"0";"0";"2";"2";"8";"0";"0";"0";"1";"3";"0";"1";"0";"1"
;;"10";"Dessing, J.";"8";"0";"1";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"11";"Vastenhouw, J.";"10";"2";"1";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Al Biyati, I.";"18";"3";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"7";"0";"1";"0";"0";"1";"0";"1";"0";"1"
;;"13";"de Knegt, R.E.R.";"19";"1";"1";"1";"6";"1";"1";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0"
;;"14";"Verstegen, P.J.T.";"5";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"15";"van Schijndel, A.H.J.W.";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"16";"Antolini, B.M.";"7";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"18";"Koopman, P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
