"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"39";"Bijenhof, Y.";"915";"297";"49";"0";"17";"109";"22";"18";"42";"72";"1";"14";"35";"4";"4";"0";"46";"71";"10";"22";"3";"16";"15";"2";"46";"0"
;;"40";"van Groningen, D.A.";"20";"0";"1";"2";"3";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"5";"0";"1";"1";"1";"0";"1";"0"
;;"41";"Zeeuw van der Laan, E.M.";"16";"4";"0";"0";"1";"2";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"0";"0";"0"
;;"42";"Volkman, Y.";"10";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0"
;;"43";"van Kessel, P.W.";"10";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0"
;;"44";"Rahimi, H.";"38";"2";"2";"0";"5";"9";"0";"0";"2";"3";"0";"0";"2";"0";"2";"0";"0";"0";"6";"0";"1";"0";"2";"0";"2";"0"
;;"45";"Omlo, B.F.";"5";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"11";"2";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"32";"3";"1";"0";"1";"3";"0";"4";"2";"3";"0";"0";"4";"1";"1";"0";"2";"1";"2";"0";"1";"0";"1";"0";"2";"0"
;;"48";"de Wit, B.G.P.";"9";"0";"1";"0";"0";"3";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van Meerten-Kok, M.A.";"12";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"50";"Hoogezand, B.";"19";"0";"0";"1";"0";"1";"0";"1";"0";"0";"5";"1";"0";"0";"0";"0";"0";"0";"4";"2";"1";"1";"0";"0";"1";"1"
;;"51";"Achterbergh, M.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"52";"Wendel, H.";"39";"1";"1";"1";"3";"7";"1";"1";"1";"4";"0";"1";"0";"0";"3";"0";"0";"1";"9";"0";"3";"0";"0";"1";"1";"0"
;;"53";"Kohli, N.R.";"14";"0";"0";"0";"4";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0"
;;"54";"Klerks, I.C.";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"10";"0";"0";"0";"2";"1";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"5";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"57";"van Rijn, D.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"10";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"9";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"4";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"15";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"2";"0";"0";"0";"2";"0";"6";"0";"0";"1";"0";"0"
;;"63";"van der Klauw, R.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"64";"Rahmani, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"9";"0";"1";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0"
;;"67";"Talens, A.E.";"60";"1";"0";"8";"1";"5";"1";"20";"1";"1";"0";"1";"1";"0";"1";"2";"0";"0";"7";"3";"1";"0";"2";"1";"3";"0"
