"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"40";"Rep, R.J.H.H.";"22";"2";"0";"1";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2";"0";"4";"0";"1";"0";"1";"1"
;;"41";"Thiadens, F.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Raijer, A.J.";"44";"4";"0";"3";"4";"6";"0";"3";"1";"2";"2";"2";"0";"0";"0";"2";"0";"0";"7";"2";"4";"1";"0";"0";"1";"0"
;;"43";"van Bijnen, H.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Hattem, A.W.J.A.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"45";"van Strien, G.A.";"34";"5";"0";"1";"3";"4";"0";"0";"1";"2";"1";"1";"1";"1";"0";"1";"0";"0";"3";"2";"2";"2";"2";"1";"0";"1"
"5";"CDA";;;"26019";"950";"435";"1245";"1401";"1233";"562";"2235";"1269";"1098";"2017";"456";"561";"860";"1356";"469";"546";"853";"2606";"988";"1292";"845";"846";"490";"657";"749"
;;"1";"Bontenbal, H.";"20858";"790";"366";"1032";"1169";"1002";"452";"1942";"1060";"731";"1118";"382";"481";"728";"1190";"364";"458";"717";"2061";"861";"999";"675";"704";"412";"556";"608"
;;"2";"Vedder, E.C.";"1578";"40";"15";"110";"90";"61";"21";"161";"72";"55";"46";"17";"9";"69";"59";"73";"19";"35";"197";"33";"209";"32";"45";"37";"24";"49"
;;"3";"Boswijk, D.G.";"184";"5";"3";"9";"12";"8";"4";"13";"16";"2";"14";"2";"5";"8";"3";"3";"6";"5";"17";"7";"13";"4";"12";"3";"5";"5"
;;"4";"van Dijk, I.";"180";"4";"2";"6";"12";"13";"4";"12";"6";"7";"34";"3";"0";"2";"2";"1";"5";"5";"27";"1";"6";"7";"7";"7";"2";"5"
;;"5";"Krul, H.M.";"54";"3";"0";"2";"8";"4";"0";"2";"1";"2";"3";"1";"0";"0";"0";"0";"1";"0";"16";"1";"4";"1";"3";"1";"0";"1"
;;"6";"Palland-Mulder, H.M.";"1358";"6";"5";"46";"27";"4";"2";"44";"43";"9";"772";"2";"3";"28";"52";"21";"4";"6";"123";"32";"30";"4";"15";"13";"1";"66"
;;"7";"van den Brink, G.";"45";"1";"1";"1";"1";"4";"1";"2";"2";"3";"1";"0";"1";"1";"3";"1";"0";"1";"12";"1";"1";"6";"0";"0";"0";"1"
;;"8";"Absil, M.G.J.A.C.";"25";"1";"0";"0";"5";"0";"1";"0";"3";"0";"1";"0";"0";"1";"2";"1";"0";"0";"5";"1";"0";"2";"0";"1";"1";"0"
;;"9";"Steen, H.S.";"1101";"81";"39";"5";"33";"45";"66";"23";"49";"264";"1";"40";"52";"5";"21";"0";"44";"72";"11";"40";"0";"100";"44";"4";"62";"0"
;;"10";"Kuik, A.";"87";"3";"0";"14";"12";"5";"2";"4";"4";"3";"3";"2";"1";"6";"2";"0";"2";"6";"7";"2";"0";"3";"4";"1";"0";"1"
;;"11";"Spoelstra, J.";"26";"1";"1";"1";"0";"3";"0";"0";"0";"1";"2";"0";"2";"0";"1";"0";"0";"0";"4";"1";"4";"2";"1";"2";"0";"0"
;;"12";"Slootweg, E.J.";"7";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Chaoui-Nhass, S.";"8";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Zwinkels, J.M.";"30";"1";"2";"0";"3";"3";"2";"2";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"9";"0";"3";"1";"0";"0";"0";"0"
;;"15";"Diederen, R.";"5";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Hamstra, S.";"22";"1";"0";"0";"5";"4";"0";"0";"0";"1";"4";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0"
;;"17";"Houmes, E.S.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"18";"van den Berg, J.H.C.";"18";"0";"0";"1";"0";"4";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"5";"0";"0";"0";"0";"1";"0";"0"
;;"19";"de Haan, J.D.P.";"21";"0";"0";"1";"1";"4";"0";"2";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"3"
;;"20";"Vermeer, J.";"3";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van der Heide, E.J.";"9";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"3"
;;"22";"Goos, J.C.M.";"19";"1";"0";"0";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"8";"0";"0";"0";"0";"2"
;;"23";"Boogaard, P.";"4";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"9";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"1"
;;"25";"Segers-Hoogendoorn, R.G.C.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"18";"0";"0";"0";"2";"1";"2";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"2";"2";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0"
;;"28";"van Lagen, M.";"103";"6";"1";"0";"1";"49";"2";"2";"4";"10";"1";"5";"4";"0";"2";"0";"3";"0";"1";"3";"0";"2";"4";"0";"3";"0"
;;"29";"van der Spek, A.M.";"6";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Out, F.M.S.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"34";"van den Oever, J.A.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"4";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"9";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"37";"van Luik, D.A.N.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"13";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"5";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"143";"2";"0";"11";"5";"4";"0";"8";"2";"0";"4";"0";"0";"5";"11";"2";"1";"1";"73";"0";"7";"0";"1";"3";"1";"2"
;;"43";"Bracke, D.G.A.J.";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"45";"Meppelink, E.M.";"14";"1";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"5";"0";"0";"0";"0";"0";"0";"0"
;;"46";"van Dijk, Q.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"7";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"6";"SP (Socialistische Partij)";;;"18051";"1208";"383";"339";"2157";"2337";"348";"789";"567";"1881";"784";"280";"518";"262";"576";"86";"136";"256";"2545";"367";"762";"468";"281";"286";"191";"244"
;;"1";"Marijnissen, L.M.C.";"14837";"1016";"311";"280";"1768";"1899";"298";"671";"493";"1509";"662";"242";"450";"208";"497";"74";"110";"221";"1933";"311";"636";"408";"230";"246";"168";"196"
;;"2";"Beckerman, S.M.";"613";"43";"16";"16";"81";"89";"9";"19";"12";"59";"26";"5";"11";"12";"17";"2";"4";"5";"84";"20";"38";"12";"12";"8";"7";"6"
;;"3";"van Kent, B.";"84";"6";"3";"0";"7";"12";"0";"3";"1";"12";"7";"1";"4";"1";"3";"1";"0";"1";"8";"0";"6";"4";"2";"2";"0";"0"
;;"4";"Dijk, J.P.";"105";"7";"4";"4";"10";"10";"3";"3";"1";"13";"5";"1";"3";"0";"4";"0";"4";"3";"20";"2";"4";"2";"1";"0";"0";"1"
;;"5";"van Nispen, M.";"42";"1";"1";"1";"6";"14";"1";"1";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"6";"0";"2";"0";"1";"0";"2";"0"
;;"6";"Dobbe, S.E.M.";"217";"15";"4";"1";"42";"35";"2";"11";"3";"20";"10";"0";"6";"3";"5";"0";"5";"2";"26";"3";"10";"6";"3";"2";"1";"2"
;;"7";"Temmink, N.G.J.";"834";"29";"7";"26";"60";"55";"8";"36";"26";"42";"36";"9";"6";"24";"27";"5";"6";"10";"317";"14";"28";"8";"10";"19";"2";"24"
;;"8";"ten Broeke, M.J.";"85";"2";"1";"0";"31";"13";"4";"0";"1";"8";"3";"1";"3";"1";"1";"0";"1";"2";"4";"1";"1";"5";"1";"1";"0";"0"
;;"9";"van Dijk, J.J.";"70";"5";"0";"1";"16";"15";"1";"1";"2";"3";"4";"1";"3";"1";"2";"0";"1";"1";"9";"0";"0";"1";"1";"1";"0";"1"
;;"10";"Meijer, B.W.V.";"37";"5";"0";"0";"2";"7";"1";"0";"1";"3";"1";"1";"3";"0";"0";"0";"0";"0";"7";"0";"6";"0";"0";"0";"0";"0"
;;"11";"Elfrink, G.E.";"12";"1";"0";"0";"2";"1";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wolters Gregório, J.";"7";"0";"0";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"11";"0";"1";"0";"0";"5";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Alberts, R.";"26";"0";"1";"0";"4";"6";"1";"1";"0";"7";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0"
;;"15";"van der Nat, H.F.A.";"6";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"16";"Memiş, M.";"57";"4";"0";"0";"20";"5";"0";"0";"0";"9";"5";"0";"2";"0";"2";"0";"1";"0";"7";"0";"0";"1";"1";"0";"0";"0"
;;"17";"van Dijk, D.";"84";"7";"2";"1";"28";"12";"1";"3";"1";"8";"1";"1";"2";"0";"1";"0";"0";"1";"5";"2";"0";"2";"4";"0";"0";"2"
;;"18";"de Ridder, N.";"20";"2";"1";"1";"4";"3";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1"
;;"19";"Yahyaoui, J.";"50";"0";"1";"1";"9";"17";"0";"2";"1";"4";"1";"0";"0";"0";"1";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van Boven, A.W.";"7";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Coppus, T.H.C.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"18";"0";"0";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"9";"1";"0";"0";"0";"1"
;;"23";"van Wijngaarden, T.J.J.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"14";"0";"0";"1";"2";"4";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"25";"van den Hout, S.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"8";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"27";"Verdaasdonk, I.";"8";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1"
;;"28";"van Rossum, L.";"18";"1";"0";"0";"0";"5";"1";"1";"2";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0"
;;"29";"Rongen, K.S.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
;;"31";"Cramer, A.";"11";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0"
;;"32";"van Scheltinga, E.";"37";"0";"0";"1";"0";"0";"0";"5";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"27";"0";"0";"0";"1";"0";"0";"0"
;;"33";"van Unen, G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"34";"Kuin, R.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"21";"1";"0";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"11";"0";"1";"1";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"5";"2";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"7";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"40";"Ramesar, J.S.";"8";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"323";"22";"21";"0";"2";"67";"11";"6";"4";"132";"0";"9";"13";"1";"1";"0";"2";"6";"0";"4";"0";"9";"8";"0";"5";"0"
;;"42";"van der Sluis, J.H.A.";"5";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"6";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"46";"de Vries, E.";"5";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"48";"Clemens, J.M.M.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"315";"35";"6";"5";"45";"44";"7";"13";"12";"26";"9";"6";"7";"5";"8";"3";"1";"2";"40";"7";"13";"5";"3";"4";"4";"5"
"7";"Forum voor Democratie";;;"15816";"1144";"287";"296";"1194";"2683";"267";"786";"416";"1395";"828";"287";"504";"258";"331";"350";"183";"252";"1730";"406";"653";"431";"463";"198";"214";"260"
;;"1";"Baudet, T.H.P.";"10927";"834";"184";"193";"876";"1798";"185";"558";"283";"973";"582";"200";"348";"172";"240";"221";"127";"167";"1221";"272";"423";"278";"326";"129";"148";"189"
;;"2";"Jansen, F.J.H.";"229";"15";"2";"4";"25";"28";"3";"10";"5";"19";"12";"4";"12";"4";"5";"2";"1";"2";"33";"6";"13";"5";"9";"4";"3";"3"
;;"3";"van Meijeren, G.F.C.";"2926";"208";"57";"75";"193";"395";"46";"163";"95";"193";"147";"58";"84";"63";"65";"94";"42";"59";"333";"97";"151";"101";"81";"42";"41";"43"
;;"4";"van Houwelingen, P.";"398";"22";"10";"8";"31";"76";"14";"13";"12";"32";"26";"4";"10";"4";"6";"4";"2";"5";"43";"13";"22";"14";"11";"6";"4";"6"
;;"5";"Dekker, R.J.";"234";"11";"5";"6";"16";"44";"4";"9";"6";"18";"14";"6";"6";"3";"5";"2";"2";"2";"27";"6";"12";"8";"8";"5";"3";"6"
;;"6";"de Vos, L.G.";"135";"8";"2";"2";"11";"15";"7";"11";"5";"10";"10";"2";"2";"0";"7";"3";"2";"3";"19";"1";"6";"1";"2";"2";"1";"3"
;;"7";"Russcher, T.K.";"14";"0";"0";"1";"3";"0";"0";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1"
;;"8";"Etalle, M.J.S.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"9";"Bakir, A.";"529";"11";"17";"1";"9";"290";"5";"2";"1";"103";"3";"8";"32";"3";"0";"4";"0";"5";"10";"3";"3";"2";"7";"2";"6";"2"
;;"10";"Dessing, J.";"9";"1";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0"
;;"11";"Vastenhouw, J.";"41";"1";"0";"0";"1";"3";"1";"1";"4";"3";"0";"2";"0";"0";"2";"0";"0";"2";"4";"3";"0";"0";"8";"3";"2";"1"
;;"12";"Al Biyati, I.";"6";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0"
;;"13";"de Knegt, R.E.R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"17";"Bos, M.";"3";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Koopman, P.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Roelofs, R.H.J.";"23";"0";"0";"0";"0";"6";"0";"0";"0";"5";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"8";"0";"0";"0";"0"
;;"22";"Ravenshorst, W.D.";"48";"19";"0";"2";"1";"7";"1";"4";"0";"2";"0";"0";"1";"1";"0";"1";"3";"1";"0";"1";"0";"0";"1";"0";"3";"0"
;;"23";"Geertshuis, B.";"43";"1";"4";"0";"2";"5";"0";"1";"1";"20";"0";"1";"2";"0";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0"
;;"24";"Strikkers, A.";"53";"0";"1";"2";"4";"2";"0";"1";"0";"2";"19";"0";"1";"1";"0";"4";"0";"1";"9";"0";"4";"0";"0";"0";"1";"1"
;;"25";"Bergman, A.J.B.M.";"19";"0";"0";"0";"0";"2";"1";"0";"0";"3";"0";"0";"1";"1";"0";"0";"3";"1";"0";"0";"0";"7";"0";"0";"0";"0"
;;"26";"Osseweijer, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"de Lange, A.K.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Minkels, J.D.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
