"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Middelburg"
"Nummer";;"HSB16"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Borsele";"Goes";"Hulst";"Kapelle";"Middelburg";"Reimerswaal";"Terneuzen";"Tholen";"Veere";"Vlissingen";"Schouwen-Duiveland";"Noord-Beveland";"Sluis"
;;"22";"Pijpelink, A.";"6717";"390";"776";"366";"195";"1863";"129";"667";"92";"531";"857";"410";"119";"322"
;;"23";"Chakor, G.";"32";"0";"3";"1";"2";"7";"0";"0";"1";"1";"3";"6";"1";"7"
;;"24";"Nordkamp, J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"25";"Stultiens, L.C.J.";"46";"1";"2";"0";"0";"39";"0";"0";"1";"0";"2";"1";"0";"0"
;;"26";"Haage, M.W.";"47";"4";"8";"1";"1";"9";"1";"4";"3";"2";"7";"7";"0";"0"
;;"27";"Hirsch, D.H.";"60";"5";"12";"1";"1";"13";"4";"8";"3";"1";"4";"4";"0";"4"
;;"28";"de Jong, H.A.";"5";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Postma, J.P.";"6";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0"
;;"30";"Oosting, I.";"28";"3";"6";"0";"2";"9";"0";"1";"1";"0";"4";"2";"0";"0"
;;"31";"de Boer, M.M.";"18";"2";"2";"0";"1";"6";"0";"2";"1";"0";"0";"1";"0";"3"
;;"32";"Daenen, J.W.B.";"7";"1";"0";"0";"0";"1";"0";"0";"1";"2";"0";"2";"0";"0"
;;"33";"Ranshuijsen, A.B.";"21";"1";"3";"0";"0";"9";"0";"0";"1";"0";"2";"4";"0";"1"
;;"34";"Köseoglu, E.";"26";"1";"1";"0";"2";"10";"2";"8";"0";"0";"1";"0";"0";"1"
;;"35";"van Roemburg, E.T.W.";"16";"1";"0";"2";"0";"4";"0";"0";"0";"1";"3";"2";"0";"3"
;;"36";"Nessar, A.";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"37";"Muns, L.";"9";"0";"0";"1";"1";"1";"0";"0";"3";"0";"0";"3";"0";"0"
;;"38";"Vrolijks, I.L.";"34";"0";"0";"3";"1";"12";"0";"4";"1";"1";"5";"5";"2";"0"
;;"39";"Smits, P.L.";"5";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"1"
;;"40";"Nabih, M.";"5";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Rietveld, M.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Torunoglu, Y.";"3";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
