"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Middelburg"
"Nummer";;"HSB16"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Borsele";"Goes";"Hulst";"Kapelle";"Middelburg";"Reimerswaal";"Terneuzen";"Tholen";"Veere";"Vlissingen";"Schouwen-Duiveland";"Noord-Beveland";"Sluis"
;;"24";"Bersch, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"de Gram, F.";"3";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"12";"0";"3";"0";"0";"6";"0";"0";"0";"0";"1";"0";"2";"0"
;;"27";"de Vos, D.J.C.";"11";"2";"1";"0";"0";"5";"0";"0";"0";"0";"2";"1";"0";"0"
;;"28";"van der Velde, M.C.";"5";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0"
;;"29";"van Viegen, A.H.K.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"31";"Veenstra, M.";"4";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
;;"32";"Vlasveld, A.I.";"11";"0";"3";"0";"4";"0";"0";"3";"1";"0";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"307";"15";"26";"15";"2";"86";"3";"25";"4";"24";"45";"27";"8";"27"
;;"34";"Coşkun, Z.P.";"5";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0"
;;"35";"van der Pluijm, L.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Pallandt, C.M.J.";"3";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"38";"Pechler, W.I.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"39";"van Lierop, J.";"3";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"4";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Kuijer, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"9";"0";"0";"5";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"43";"Oudshoorn, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"45";"Samshuijzen, E.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1"
;;"50";"Minnaert, X.D.E.";"16";"1";"3";"2";"0";"0";"0";"3";"0";"1";"1";"0";"1";"4"
"9";"ChristenUnie";;;"6799";"314";"843";"78";"422";"1159";"445";"864";"666";"561";"527";"704";"89";"127"
;;"1";"Bikker, M.H.";"5599";"264";"639";"64";"357";"898";"378";"739";"583";"476";"412";"606";"72";"111"
;;"2";"Grinwis, P.A.";"160";"6";"16";"1";"3";"22";"12";"13";"21";"10";"21";"28";"5";"2"
;;"3";"Ceder, D.G.M.";"134";"5";"20";"1";"9";"39";"10";"11";"12";"3";"10";"13";"1";"0"
;;"4";"te Rietstap, A.H.";"16";"0";"1";"0";"0";"2";"0";"6";"2";"0";"2";"3";"0";"0"
;;"5";"Gooijer-Medema, J.K.";"77";"1";"10";"0";"9";"18";"6";"8";"5";"5";"5";"10";"0";"0"
;;"6";"Drost, N.";"41";"4";"9";"2";"5";"5";"8";"1";"2";"1";"2";"2";"0";"0"
;;"7";"Holtman, T.S.";"8";"1";"1";"0";"0";"2";"0";"1";"1";"0";"0";"1";"1";"0"
;;"8";"Otter-van den Bosch, C.";"15";"1";"3";"0";"1";"3";"2";"2";"0";"2";"0";"0";"0";"1"
;;"9";"van der Graaf, S.J.F.";"131";"6";"21";"0";"7";"23";"3";"25";"9";"9";"11";"11";"3";"3"
;;"10";"Klein, M.C.A.";"5";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0"
;;"11";"Niesink, C.C.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"12";"Setz, J.N.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"13";"van der Krift, H.J.C.";"5";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1"
;;"14";"Langen, A.L.";"7";"0";"0";"0";"1";"5";"1";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"407";"18";"97";"9";"20";"70";"20";"42";"18";"42";"44";"18";"5";"4"
;;"16";"van Wageningen, E.";"6";"0";"0";"0";"0";"3";"0";"2";"1";"0";"0";"0";"0";"0"
;;"17";"Tijhof, B.D.";"4";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"18";"de Reus, W.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"19";"Mbwete, N.A.G.";"6";"0";"2";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
;;"20";"Treurniet, M.";"49";"0";"4";"0";"2";"37";"0";"1";"0";"5";"0";"0";"0";"0"
;;"21";"Palland, A.S.";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Muilwijk, I.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Westerink-Petersen, J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"1"
;;"26";"van den Berg, G.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
;;"27";"Broekmaat-Hagens, A.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"de Haan, M.E.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Koerts, A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"4";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0"
;;"31";"Verweij, J.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"33";"Kumar, A.D.J.M.";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Visser, J.A.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Zande, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"7";"0";"2";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0";"0"
;;"41";"Cornelissen, B.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"45";"Adema, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Bosman, F.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"11";"0";"4";"0";"2";"0";"0";"2";"0";"1";"0";"2";"0";"0"
;;"48";"Stoorvogel, H.";"32";"5";"2";"0";"2";"6";"0";"2";"5";"1";"7";"1";"1";"0"
;;"49";"van den Berg, R.C.";"8";"0";"1";"0";"0";"2";"0";"1";"0";"0";"2";"2";"0";"0"
;;"50";"de Graaf, B.A.";"26";"1";"2";"0";"1";"10";"1";"2";"2";"0";"2";"5";"0";"0"
"10";"Volt";;;"1655";"80";"206";"73";"50";"344";"47";"182";"55";"113";"231";"150";"32";"92"
;;"1";"Dassen, L.A.J.M.";"1098";"53";"134";"52";"33";"212";"36";"121";"34";"87";"148";"106";"25";"57"
;;"2";"Koekkoek, M.";"328";"18";"48";"10";"12";"67";"8";"31";"16";"13";"51";"29";"5";"20"
;;"3";"Boutkan, E.";"24";"0";"4";"1";"0";"6";"0";"5";"0";"1";"6";"0";"0";"1"
;;"4";"Elfilali, I.";"58";"1";"10";"4";"0";"14";"0";"5";"3";"3";"10";"3";"1";"4"
;;"5";"Hagoort, M.B.J.";"6";"0";"1";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0";"0"
;;"6";"Frijters, R.M.J.";"41";"2";"5";"3";"2";"11";"1";"4";"1";"1";"4";"4";"1";"2"
;;"7";"de Boer, R.W.";"3";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"8";"van der Lugt, S.";"24";"2";"0";"1";"0";"5";"1";"4";"1";"2";"4";"2";"0";"2"
;;"9";"Beijnon, B.";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Twickler, R.";"16";"1";"1";"0";"1";"9";"0";"2";"0";"1";"1";"0";"0";"0"
;;"11";"Ercan, C.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1"
;;"12";"Hamel, J.E.R.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1"
;;"13";"van Ewijk, W.H.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"van Laar, S.A.";"6";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"2";"0";"0"
;;"15";"Tai, M.T.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Pajak, V.L.";"13";"2";"1";"1";"0";"4";"0";"1";"0";"1";"2";"0";"0";"1"
;;"17";"Eigenhuis, F.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
;;"18";"Verbeek, E.L.I.";"9";"0";"0";"0";"0";"4";"0";"2";"0";"1";"2";"0";"0";"0"
;;"19";"Hemmes, B.J.A.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"20";"Elsinga, D.";"7";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"3"
;;"21";"Dreteler, S.J.";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"11";"JA21";;;"1612";"114";"191";"119";"82";"201";"69";"183";"111";"81";"186";"168";"43";"64"
;;"1";"Eerdmans, B.J.";"1267";"85";"150";"98";"73";"160";"53";"130";"88";"65";"140";"143";"29";"53"
;;"2";"Nanninga, A.";"194";"17";"22";"10";"4";"28";"10";"26";"13";"10";"21";"18";"10";"5"
;;"3";"Ceulemans, S.";"9";"0";"3";"2";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
;;"4";"Bakker-Derks, E.H.M.";"11";"2";"1";"0";"0";"0";"1";"3";"1";"0";"3";"0";"0";"0"
;;"5";"van Doorn, D.M.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Goudzwaard, M.";"9";"1";"0";"1";"0";"3";"0";"2";"0";"0";"2";"0";"0";"0"
;;"7";"Schyns, P.F.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"8";"Uiterwijk, K.";"9";"0";"4";"1";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
;;"9";"Dijksterhuis, R.G.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"10";"van den Berg, D.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Omlo, H.";"4";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"12";"Hesselink, S.W.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Nuijten, K.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"14";"Roos, S.M.";"18";"2";"2";"3";"1";"2";"0";"2";"0";"0";"2";"1";"1";"2"
;;"15";"Soltani, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"5";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0"
;;"22";"Vos, L.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"50";"3";"2";"1";"3";"2";"0";"12";"8";"3";"9";"2";"3";"2"
;;"26";"Gordijn, C.";"5";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0"
;;"27";"Bloemenkamp, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"3";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"22384";"2454";"1559";"25";"1128";"2421";"4549";"1206";"3946";"2196";"505";"2086";"191";"118"
;;"1";"Stoffer, C.";"20044";"2217";"1313";"19";"1008";"2166";"4090";"1073";"3660";"1906";"450";"1890";"156";"96"
;;"2";"van Dijk, D.J.H.";"427";"77";"55";"1";"26";"41";"58";"21";"56";"41";"4";"38";"6";"3"
;;"3";"Flach, A.J.";"131";"20";"14";"0";"9";"7";"32";"3";"16";"9";"4";"13";"2";"2"
;;"4";"Middelkoop, P.N.";"191";"15";"21";"0";"7";"17";"31";"4";"49";"14";"5";"27";"1";"0"
;;"5";"Vroegindeweij, W.J.";"43";"5";"6";"0";"2";"4";"12";"1";"5";"4";"1";"2";"0";"1"
;;"6";"van der Maas, A.J.";"697";"45";"40";"3";"23";"86";"100";"56";"60";"159";"22";"73";"18";"12"
;;"7";"van der Wind, H.J.";"17";"3";"1";"0";"2";"1";"0";"3";"0";"1";"2";"2";"1";"1"
;;"8";"Both, D.D.";"25";"1";"1";"0";"0";"0";"18";"0";"2";"2";"1";"0";"0";"0"
;;"9";"Kloosterman, J.";"10";"1";"0";"0";"1";"1";"2";"0";"4";"1";"0";"0";"0";"0"
;;"10";"van Heijst, R.C.";"37";"4";"2";"0";"1";"2";"7";"0";"6";"10";"1";"4";"0";"0"
;;"11";"van der Wulp, A.D.";"9";"1";"0";"0";"0";"1";"2";"1";"0";"0";"0";"4";"0";"0"
;;"12";"Polinder, H.J.";"9";"2";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"2"
;;"13";"Slingerland, M.";"10";"0";"0";"0";"0";"1";"1";"4";"1";"0";"0";"1";"2";"0"
;;"14";"van Duijn, W.J.";"6";"1";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0"
;;"15";"Barth, L.G.I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Lukasse, J.";"309";"38";"90";"1";"19";"24";"59";"14";"28";"14";"4";"14";"3";"1"
;;"17";"Tanis, J.P.";"20";"3";"1";"0";"1";"5";"3";"1";"3";"3";"0";"0";"0";"0"
;;"18";"Bosma, E.G.";"9";"0";"0";"0";"0";"1";"2";"2";"4";"0";"0";"0";"0";"0"
;;"19";"Schipaanboord, G.P.";"53";"3";"3";"0";"9";"11";"16";"2";"3";"1";"4";"0";"1";"0"
;;"20";"Veldman, J.D.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"21";"Hartog, J.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Koekoek, J.T.";"14";"0";"1";"0";"2";"1";"4";"0";"1";"2";"1";"2";"0";"0"
;;"23";"de Knegt, L.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"4";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0"
;;"25";"Bakker, T.";"5";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0"
;;"26";"Kok, W.H.";"97";"6";"3";"0";"2";"36";"8";"7";"5";"20";"4";"5";"1";"0"
;;"27";"van Westreenen, S.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Noordergraaf, P.T.";"3";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
;;"29";"Boersma, A.";"11";"0";"0";"0";"0";"3";"3";"0";"3";"0";"1";"1";"0";"0"
;;"30";"Talen, L.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van de Waerdt, C.J.";"6";"0";"0";"0";"0";"0";"0";"2";"4";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"6";"0";"0";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"3";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"7";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"17";"0";"2";"0";"0";"1";"2";"0";"7";"2";"0";"3";"0";"0"
;;"38";"van Laar, G.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Scheppink, A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"40";"van Heteren, R.";"4";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"3";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"van Iwaarden, D.";"124";"4";"4";"0";"12";"2";"87";"2";"11";"0";"0";"2";"0";"0"
;;"43";"van Tuijl, L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Proos, A.J.";"23";"7";"1";"0";"2";"4";"1";"1";"4";"3";"0";"0";"0";"0"
"13";"DENK";;;"1818";"29";"215";"49";"15";"418";"72";"437";"55";"12";"427";"34";"21";"34"
;;"1";"van Baarle, S.R.T.";"1298";"16";"150";"32";"11";"285";"57";"315";"50";"4";"304";"31";"15";"28"
;;"2";"Ergin, D.A.";"142";"2";"17";"4";"1";"33";"10";"55";"0";"1";"15";"0";"3";"1"
;;"3";"El Abassi, I.";"95";"1";"10";"2";"0";"17";"0";"13";"5";"2";"41";"0";"2";"2"
;;"4";"Alrubey, A.";"65";"2";"16";"3";"2";"12";"0";"9";"0";"3";"16";"1";"0";"1"
;;"5";"Gün, E.";"27";"0";"3";"2";"0";"14";"2";"3";"0";"0";"3";"0";"0";"0"
;;"6";"Usta, Y.";"7";"0";"2";"1";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0"
;;"7";"Rijssel, N.E.";"4";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"8";"Maroof, A.";"19";"3";"0";"1";"0";"1";"1";"2";"0";"0";"11";"0";"0";"0"
;;"9";"Mac Intosch, G.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"10";"Safranti, M.";"18";"2";"1";"1";"0";"11";"0";"2";"0";"0";"1";"0";"0";"0"
;;"11";"Bayrakci, Y.C.";"6";"0";"0";"0";"0";"1";"0";"4";"0";"0";"1";"0";"0";"0"
;;"12";"Ghazi, M.I.";"6";"0";"1";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0";"0"
;;"13";"Özçelik, S.";"23";"0";"2";"0";"0";"5";"0";"7";"0";"0";"9";"0";"0";"0"
;;"14";"Kaya, A.";"7";"2";"0";"1";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
;;"15";"Konuksever-Tekin, A.";"4";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"16";"Fkihi, O.";"5";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"2"
;;"17";"Çetinkaya, T.";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
;;"18";"Şahin, E.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Kaplan, Ç.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Manhoef, E.E.";"4";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Tan, C.";"18";"0";"0";"0";"0";"15";"1";"0";"0";"0";"2";"0";"0";"0"
;;"23";"Kondu, F.";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"25";"Ileri, F.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"Buyatui, H.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Burik, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"Muradin, N.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"29";"Delener, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Ağirbaş, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Özcan, R.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"33";"Tangali, M.J.";"4";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"34";"Othman, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Yildirim, A.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
;;"36";"Akhatab, N.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"37";"Ben Touhami, M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"38";"Bal, M.I.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Pancar, Ş.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Akça, S.";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"10";"0";"0";"0";"1";"5";"1";"0";"0";"0";"3";"0";"0";"0"
;;"42";"Icar, N.";"9";"0";"1";"0";"0";"2";"0";"6";"0";"0";"0";"0";"0";"0"
;;"43";"Khan, S.Y.";"10";"0";"1";"0";"0";"2";"0";"4";"0";"1";"0";"2";"0";"0"
;;"44";"Sungur, M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"45";"Koyuncu, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
