"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"4";"van Dijk, I.";"224";"28";"5";"7";"5";"3";"3";"29";"14";"2";"12";"1";"5";"16";"15";"4";"2";"20";"5";"8";"1";"8";"9";"6";"16"
;;"5";"Krul, H.M.";"1714";"82";"17";"18";"5";"5";"12";"786";"52";"1";"57";"1";"21";"3";"241";"19";"16";"7";"26";"33";"1";"1";"20";"194";"96"
;;"6";"Palland-Mulder, H.M.";"62";"10";"2";"1";"1";"1";"1";"1";"7";"0";"5";"1";"1";"6";"6";"2";"0";"5";"2";"2";"0";"0";"2";"4";"2"
;;"7";"van den Brink, G.";"21";"1";"0";"1";"0";"0";"0";"2";"2";"0";"1";"0";"0";"4";"1";"0";"0";"4";"1";"1";"0";"0";"0";"2";"1"
;;"8";"Absil, M.G.J.A.C.";"27";"3";"1";"2";"0";"1";"1";"2";"2";"0";"0";"0";"0";"4";"0";"0";"1";"1";"0";"1";"1";"0";"0";"3";"4"
;;"9";"Steen, H.S.";"36";"4";"1";"1";"1";"1";"0";"0";"6";"1";"4";"0";"1";"4";"1";"0";"0";"3";"2";"1";"0";"1";"2";"1";"1"
;;"10";"Kuik, A.";"54";"4";"1";"3";"5";"0";"1";"2";"5";"1";"7";"0";"1";"2";"2";"1";"0";"9";"1";"0";"1";"0";"3";"0";"5"
;;"11";"Spoelstra, J.";"10";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";"0"
;;"12";"Slootweg, E.J.";"12";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"1";"3";"0";"0";"0";"0";"0";"2";"1"
;;"13";"Chaoui-Nhass, S.";"7";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"14";"Zwinkels, J.M.";"21";"3";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"1";"1";"1";"1";"0";"1";"0";"1";"4"
;;"15";"Diederen, R.";"5";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"16";"Hamstra, S.";"14";"1";"1";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"2"
;;"17";"Houmes, E.S.";"14";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"2";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2"
;;"18";"van den Berg, J.H.C.";"74";"8";"10";"6";"0";"0";"3";"3";"10";"0";"5";"0";"1";"2";"1";"1";"3";"10";"2";"3";"1";"0";"0";"1";"4"
;;"19";"de Haan, J.D.P.";"12";"1";"2";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2"
;;"20";"Vermeer, J.";"10";"3";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1"
;;"21";"van der Heide, E.J.";"13";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"2";"1";"0";"0";"0";"0";"2";"0";"0";"0";"2"
;;"22";"Goos, J.C.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Goudzwaard-Wiersma, W.";"18";"0";"0";"0";"1";"0";"0";"4";"4";"0";"3";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"25";"Segers-Hoogendoorn, R.G.C.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"26";"van Gijssel, A.K.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"9";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2"
;;"30";"Out, F.M.S.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Tuncer, Y.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2"
;;"34";"van den Oever, J.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"16";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"2";"0";"1";"0";"0";"4";"0";"0";"0";"2";"2"
;;"37";"van Luik, D.A.N.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"41";"Buijs, T.S.F.";"7";"0";"0";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"van de Giessen, L.H.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"43";"Bracke, D.G.A.J.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"44";"Joosten, J.P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"11";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"1"
;;"46";"van Dijk, Q.A.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"47";"van Lankvelt, F.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"48";"Siegmann, A.H.";"6";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"37";"5";"0";"0";"0";"1";"2";"1";"3";"0";"1";"1";"0";"3";"2";"1";"1";"6";"1";"2";"1";"0";"0";"4";"2"
"6";"SP (Socialistische Partij)";;;"21314";"2703";"596";"699";"422";"498";"447";"1067";"1562";"226";"808";"189";"195";"1798";"1032";"425";"268";"3495";"383";"470";"296";"461";"411";"942";"1921"
;;"1";"Marijnissen, L.M.C.";"18445";"2235";"503";"628";"380";"445";"397";"940";"1362";"201";"699";"167";"170";"1545";"904";"379";"241";"2992";"334";"416";"243";"404";"365";"829";"1666"
;;"2";"Beckerman, S.M.";"631";"95";"19";"16";"12";"18";"15";"27";"61";"4";"23";"5";"7";"54";"23";"17";"2";"101";"13";"15";"9";"10";"9";"29";"47"
;;"3";"van Kent, B.";"110";"12";"4";"3";"2";"4";"1";"10";"12";"0";"2";"0";"2";"10";"7";"0";"1";"15";"1";"3";"1";"7";"2";"3";"8"
;;"4";"Dijk, J.P.";"98";"16";"2";"3";"0";"1";"1";"7";"3";"1";"10";"0";"0";"10";"3";"2";"0";"15";"3";"0";"1";"2";"3";"6";"9"
;;"5";"van Nispen, M.";"49";"3";"1";"1";"0";"1";"0";"1";"5";"0";"2";"1";"0";"2";"1";"2";"1";"19";"0";"0";"2";"0";"1";"2";"4"
;;"6";"Dobbe, S.E.M.";"241";"26";"6";"9";"5";"6";"6";"7";"22";"3";"19";"0";"3";"23";"13";"5";"2";"40";"4";"5";"4";"2";"4";"9";"18"
;;"7";"Temmink, N.G.J.";"118";"14";"3";"4";"1";"0";"0";"4";"12";"2";"4";"1";"1";"14";"5";"0";"2";"22";"4";"3";"2";"3";"3";"4";"10"
;;"8";"ten Broeke, M.J.";"26";"4";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"8";"1";"2";"3";"0";"0";"0";"1"
;;"9";"van Dijk, J.J.";"79";"7";"4";"0";"3";"0";"2";"2";"6";"1";"4";"0";"1";"8";"2";"3";"3";"15";"1";"0";"2";"0";"1";"4";"10"
;;"10";"Meijer, B.W.V.";"34";"3";"4";"1";"0";"1";"0";"1";"4";"0";"1";"0";"0";"3";"2";"0";"0";"9";"0";"0";"0";"1";"0";"0";"4"
;;"11";"Elfrink, G.E.";"12";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"3"
;;"12";"Wolters Gregório, J.";"10";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"13";"Boerwinkel, E.M.J.";"8";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Alberts, R.";"159";"14";"0";"4";"4";"1";"1";"5";"13";"3";"4";"2";"1";"35";"4";"1";"0";"47";"1";"3";"6";"2";"0";"5";"3"
;;"15";"van der Nat, H.F.A.";"16";"2";"0";"1";"1";"1";"0";"0";"1";"2";"1";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1"
;;"16";"Memiş, M.";"29";"4";"1";"0";"1";"0";"1";"2";"1";"0";"2";"0";"0";"4";"0";"0";"1";"10";"0";"0";"0";"0";"0";"0";"2"
;;"17";"van Dijk, D.";"36";"5";"1";"1";"1";"0";"1";"1";"3";"1";"1";"0";"0";"2";"1";"0";"2";"4";"0";"2";"2";"4";"0";"1";"3"
;;"18";"de Ridder, N.";"162";"19";"7";"7";"1";"2";"1";"7";"0";"0";"1";"2";"2";"5";"5";"3";"5";"55";"3";"1";"0";"4";"1";"7";"24"
;;"19";"Yahyaoui, J.";"72";"9";"0";"0";"3";"1";"3";"0";"7";"0";"0";"3";"0";"11";"1";"1";"1";"18";"0";"0";"1";"2";"1";"0";"10"
;;"20";"van Boven, A.W.";"7";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Coppus, T.H.C.";"8";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"22";"Topma, X.M.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"23";"van Wijngaarden, T.J.J.";"5";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"13";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0"
;;"25";"van den Hout, S.G.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"26";"van der Wijk, N.H.F.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"11";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1"
;;"28";"van Rossum, L.";"21";"4";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"2";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"4"
;;"29";"Rongen, K.S.";"13";"2";"0";"0";"0";"2";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"31";"Cramer, A.";"11";"3";"0";"0";"0";"1";"0";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"32";"van Scheltinga, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"13";"4";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"288";"133";"3";"6";"1";"3";"2";"18";"6";"0";"3";"0";"4";"5";"25";"1";"1";"6";"5";"4";"1";"2";"10";"10";"39"
;;"39";"Boer, M.I.";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1"
;;"40";"Ramesar, J.S.";"11";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
;;"41";"ten Heuw, M.A.";"5";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"44";"de Man, W.J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"46";"de Vries, E.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
;;"47";"Eikenaar, E.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"6";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"524";"68";"31";"9";"4";"7";"10";"27";"25";"6";"21";"6";"2";"46";"31";"8";"6";"88";"7";"9";"17";"15";"11";"23";"47"
"7";"Forum voor Democratie";;;"17873";"2032";"522";"601";"885";"359";"321";"1081";"1299";"200";"764";"187";"218";"1558";"856";"245";"201";"2406";"341";"402";"268";"239";"364";"892";"1632"
;;"1";"Baudet, T.H.P.";"12731";"1455";"344";"403";"621";"262";"209";"772";"941";"147";"534";"138";"157";"1187";"588";"164";"155";"1772";"236";"266";"182";"169";"237";"621";"1171"
;;"2";"Jansen, F.J.H.";"266";"29";"9";"18";"10";"4";"2";"17";"16";"1";"11";"2";"4";"23";"17";"4";"1";"33";"3";"8";"1";"2";"5";"22";"24"
;;"3";"van Meijeren, G.F.C.";"3395";"377";"126";"120";"165";"52";"78";"217";"255";"41";"159";"42";"42";"230";"178";"50";"31";"401";"72";"93";"61";"50";"69";"180";"306"
;;"4";"van Houwelingen, P.";"414";"49";"13";"17";"42";"12";"16";"22";"31";"1";"16";"1";"3";"33";"19";"10";"4";"45";"4";"8";"5";"7";"10";"16";"30"
;;"5";"Dekker, R.J.";"317";"35";"5";"17";"25";"7";"6";"16";"18";"4";"15";"1";"2";"15";"21";"4";"4";"41";"7";"6";"6";"3";"9";"22";"28"
;;"6";"de Vos, L.G.";"163";"21";"5";"8";"5";"8";"3";"7";"9";"3";"5";"2";"1";"13";"5";"3";"2";"22";"3";"4";"4";"4";"2";"7";"17"
;;"7";"Russcher, T.K.";"32";"7";"0";"3";"1";"2";"1";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0";"3";"1";"2";"0";"0";"2";"0";"3"
;;"8";"Etalle, M.J.S.";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
;;"9";"Bakir, A.";"27";"5";"0";"0";"1";"0";"0";"5";"0";"1";"1";"0";"1";"2";"0";"1";"0";"9";"0";"1";"0";"0";"0";"0";"0"
;;"10";"Dessing, J.";"46";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"1";"0";"0";"32";"0";"1";"0";"1";"0";"2";"2"
;;"11";"Vastenhouw, J.";"10";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"1";"1";"0";"0";"0";"1"
;;"12";"Al Biyati, I.";"11";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0"
;;"13";"de Knegt, R.E.R.";"36";"4";"3";"11";"0";"1";"1";"0";"1";"0";"2";"0";"0";"1";"3";"0";"0";"2";"0";"0";"0";"0";"0";"4";"3"
;;"14";"Verstegen, P.J.T.";"8";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
;;"17";"Bos, M.";"6";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1"
;;"18";"Koopman, P.";"28";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"1";"0";"0";"0";"1";"0";"0";"0";"15";"3";"1"
;;"19";"van Asch, R.W.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"21";"Smit, T.S.";"51";"3";"0";"0";"1";"7";"0";"0";"7";"0";"7";"0";"0";"1";"0";"1";"0";"1";"11";"6";"0";"1";"3";"0";"2"
;;"22";"Tollenaar, D.P.";"36";"1";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"26";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1"
;;"23";"Lute, T.B.";"42";"0";"1";"1";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"5";"0";"0";"4";"0";"0";"0";"0";"5";"1";"20"
;;"24";"van der Zwaart, T.";"17";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2"
;;"25";"van der Knoop, J.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Middelkoop, M.C.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Kwakman, T.J.";"18";"0";"0";"0";"8";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0";"2";"0";"1";"1";"0";"1";"0";"0"
;;"28";"Hadderingh, B.S.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"11";"5";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
;;"30";"Bilgin, T.";"6";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Heller, T.H.G.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"26";"3";"3";"0";"1";"0";"0";"4";"2";"0";"1";"0";"0";"1";"2";"2";"0";"2";"0";"1";"3";"1";"0";"0";"0"
;;"35";"Vos, A.V.B.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Hartman, M.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"9";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1"
;;"40";"Wijngaard, M.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Schaap, D.V.";"39";"20";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"1";"2";"1";"6"
;;"45";"de Graaff, M.J.R.L.";"6";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"24";"4";"1";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"4";"5"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"48";"Kerseboom, S.";"28";"3";"1";"1";"1";"0";"0";"4";"1";"1";"1";"0";"0";"1";"2";"0";"0";"3";"1";"0";"1";"0";"2";"3";"2"
