"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"34";"van Strien, P.J.T.";"79";"14";"8";"6";"0";"1";"2";"1";"5";"1";"3";"0";"1";"2";"3";"1";"1";"5";"0";"0";"1";"1";"0";"2";"21"
;;"35";"Hartsuiker, R.J.J.";"23";"2";"0";"0";"0";"1";"1";"3";"3";"0";"1";"0";"0";"5";"0";"0";"1";"0";"0";"1";"0";"0";"1";"3";"1"
;;"36";"Klein Lankhorst, H.";"22";"2";"1";"1";"0";"0";"1";"0";"2";"0";"2";"1";"0";"2";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"5"
;;"37";"Haverkort, E.A.";"10";"5";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Simons, C.";"14";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"2"
;;"39";"Bijenhof, Y.";"14";"2";"2";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"2"
;;"40";"van Groningen, D.A.";"19";"5";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"0";"1";"1";"0";"0";"1";"0";"1";"3"
;;"41";"Zeeuw van der Laan, E.M.";"19";"3";"2";"1";"1";"0";"1";"0";"1";"0";"1";"1";"2";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1"
;;"42";"Volkman, Y.";"9";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1"
;;"43";"van Kessel, P.W.";"41";"12";"0";"3";"0";"0";"4";"1";"3";"0";"1";"1";"0";"0";"1";"0";"3";"2";"0";"0";"0";"2";"2";"2";"4"
;;"44";"Rahimi, H.";"49";"3";"0";"4";"3";"0";"3";"1";"6";"1";"1";"3";"0";"8";"1";"0";"0";"5";"2";"1";"0";"1";"0";"3";"3"
;;"45";"Omlo, B.F.";"8";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"46";"Yizhak Cooremans, R.A.T.";"24";"2";"0";"0";"0";"0";"2";"0";"7";"1";"1";"0";"0";"2";"1";"0";"0";"5";"0";"0";"1";"0";"1";"0";"1"
;;"47";"Nelisse, R.M.L.";"31";"1";"1";"1";"0";"0";"1";"1";"3";"0";"13";"0";"0";"4";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"3"
;;"48";"de Wit, B.G.P.";"1128";"20";"7";"5";"11";"46";"2";"8";"82";"0";"343";"0";"53";"14";"21";"7";"2";"5";"163";"149";"1";"1";"102";"47";"39"
;;"49";"van Meerten-Kok, M.A.";"17";"2";"3";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"4"
;;"50";"Hoogezand, B.";"14";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"6";"2";"0";"0";"0";"0";"2";"2"
