"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"3";"van Kent, B.";"85";"2";"5";"4";"0";"3";"5";"18";"11";"7";"2";"7";"0";"0";"1";"1";"8";"3";"4";"4"
;;"4";"Dijk, J.P.";"72";"1";"2";"5";"0";"2";"4";"21";"16";"1";"0";"6";"1";"0";"0";"3";"6";"0";"0";"4"
;;"5";"van Nispen, M.";"43";"0";"3";"2";"0";"1";"1";"9";"11";"3";"2";"5";"1";"0";"0";"0";"4";"0";"0";"1"
;;"6";"Dobbe, S.E.M.";"200";"5";"12";"11";"1";"2";"11";"41";"32";"16";"2";"19";"8";"1";"0";"5";"13";"5";"6";"10"
;;"7";"Temmink, N.G.J.";"102";"3";"7";"4";"0";"2";"6";"20";"19";"6";"2";"7";"8";"0";"2";"1";"8";"1";"3";"3"
;;"8";"ten Broeke, M.J.";"22";"1";"2";"0";"1";"0";"0";"7";"3";"1";"1";"4";"0";"0";"0";"1";"1";"0";"0";"0"
;;"9";"van Dijk, J.J.";"93";"0";"11";"2";"1";"1";"2";"21";"10";"3";"0";"15";"9";"2";"0";"2";"7";"0";"1";"6"
;;"10";"Meijer, B.W.V.";"22";"0";"2";"2";"0";"0";"1";"5";"2";"1";"0";"4";"1";"0";"0";"1";"1";"0";"1";"1"
;;"11";"Elfrink, G.E.";"9";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"1"
;;"12";"Wolters Gregório, J.";"4";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"10";"0";"1";"1";"0";"0";"0";"4";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Alberts, R.";"115";"5";"26";"1";"2";"0";"14";"22";"20";"1";"0";"5";"4";"1";"4";"4";"1";"1";"0";"4"
;;"15";"van der Nat, H.F.A.";"5";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Memiş, M.";"58";"0";"2";"9";"0";"1";"5";"21";"10";"3";"1";"3";"1";"0";"0";"1";"1";"0";"0";"0"
;;"17";"van Dijk, D.";"25";"1";"3";"2";"0";"0";"2";"7";"3";"1";"0";"4";"1";"0";"0";"1";"0";"0";"0";"0"
;;"18";"de Ridder, N.";"194";"2";"6";"76";"0";"1";"2";"17";"2";"46";"1";"5";"4";"0";"1";"0";"28";"1";"0";"2"
;;"19";"Yahyaoui, J.";"87";"0";"12";"5";"3";"1";"6";"19";"15";"0";"0";"11";"5";"0";"0";"4";"0";"0";"1";"5"
;;"20";"van Boven, A.W.";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Coppus, T.H.C.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"21";"0";"1";"2";"0";"0";"0";"10";"4";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"25";"van den Hout, S.G.";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"6";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"van Rossum, L.";"20";"0";"3";"0";"0";"0";"2";"1";"4";"0";"2";"5";"0";"0";"0";"1";"1";"1";"0";"0"
;;"29";"Rongen, K.S.";"8";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Cramer, A.";"8";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"32";"van Scheltinga, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"33";"van Unen, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"34";"Kuin, R.M.";"60";"0";"1";"1";"0";"1";"0";"41";"6";"1";"1";"0";"0";"0";"0";"0";"8";"0";"0";"0"
;;"35";"Harris, D.C.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"37";"Zandvliet, S.K.D.S.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"12";"1";"0";"0";"0";"0";"1";"1";"1";"2";"0";"2";"0";"0";"2";"0";"1";"0";"0";"1"
;;"39";"Boer, M.I.";"9";"0";"1";"0";"0";"0";"1";"3";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"12";"0";"3";"1";"0";"0";"1";"0";"3";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"42";"van der Sluis, J.H.A.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"43";"Schelvis, A.";"9";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"4";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"5";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"de Vries, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Eikenaar, E.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"644";"15";"39";"19";"6";"17";"9";"225";"87";"33";"13";"47";"21";"1";"7";"13";"52";"9";"12";"19"
"7";"Forum voor Democratie";;;"13022";"404";"933";"755";"187";"205";"369";"1898";"2261";"712";"257";"1166";"654";"164";"145";"486";"1147";"279";"340";"660"
;;"1";"Baudet, T.H.P.";"9316";"292";"680";"532";"143";"127";"278";"1365";"1651";"500";"151";"874";"456";"109";"100";"349";"840";"193";"240";"436"
;;"2";"Jansen, F.J.H.";"221";"4";"20";"18";"3";"3";"5";"26";"47";"12";"1";"10";"17";"8";"0";"9";"21";"5";"3";"9"
;;"3";"van Meijeren, G.F.C.";"2423";"85";"171";"119";"32";"49";"57";"338";"380";"128";"78";"210";"137";"36";"36";"93";"192";"54";"73";"155"
;;"4";"van Houwelingen, P.";"292";"7";"20";"15";"2";"8";"8";"38";"50";"15";"9";"25";"7";"6";"2";"12";"19";"12";"10";"27"
;;"5";"Dekker, R.J.";"254";"7";"18";"11";"3";"5";"9";"39";"53";"7";"7";"23";"9";"4";"2";"12";"16";"6";"7";"16"
;;"6";"de Vos, L.G.";"135";"3";"6";"4";"0";"5";"3";"29";"20";"9";"6";"9";"9";"1";"1";"3";"15";"1";"2";"9"
;;"7";"Russcher, T.K.";"23";"1";"0";"9";"0";"0";"0";"5";"0";"1";"0";"3";"1";"0";"0";"0";"2";"0";"1";"0"
;;"8";"Etalle, M.J.S.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
;;"9";"Bakir, A.";"13";"0";"2";"0";"0";"0";"1";"3";"3";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"10";"Dessing, J.";"17";"0";"2";"1";"0";"1";"1";"2";"1";"1";"1";"3";"1";"0";"1";"0";"1";"1";"0";"0"
;;"11";"Vastenhouw, J.";"7";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0"
;;"12";"Al Biyati, I.";"9";"0";"2";"0";"0";"0";"1";"3";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"de Knegt, R.E.R.";"8";"0";"1";"3";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"28";"1";"0";"0";"0";"1";"2";"0";"21";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"17";"Bos, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Koopman, P.";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"19";"van Asch, R.W.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van den Boomgaard, M.R.";"6";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Tollenaar, D.P.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Lute, T.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"van der Zwaart, T.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"van der Knoop, J.F.";"4";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"25";"Alberts, L.Y.";"25";"0";"0";"0";"0";"1";"0";"15";"6";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"de Lange, A.K.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"27";"Olivier, J.A.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"11";"0";"0";"2";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2"
;;"31";"Luurssen, G.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"33";"Heller, T.H.G.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"26";"1";"1";"1";"0";"1";"1";"8";"3";"4";"0";"0";"4";"0";"0";"0";"0";"0";"0";"2"
;;"35";"Vos, A.V.B.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"15";"0";"0";"0";"0";"0";"0";"11";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"27";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"23";"0";"1";"0"
;;"38";"van der Voort, J.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"39";"Nijman, M.";"70";"0";"0";"36";"0";"0";"0";"0";"3";"25";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Schaap, D.V.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"18";"0";"1";"1";"1";"1";"0";"2";"4";"0";"0";"0";"3";"0";"2";"1";"1";"1";"0";"0"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"16";"1";"1";"0";"1";"0";"1";"2";"0";"1";"1";"1";"1";"0";"0";"1";"3";"0";"1";"1"
;;"49";"Cliteur, P.B.";"13";"0";"2";"1";"0";"2";"0";"2";"3";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"8";"Partij voor de Dieren";;;"15379";"322";"1245";"517";"142";"425";"521";"3778";"1722";"520";"473";"1798";"532";"173";"257";"393";"934";"307";"342";"978"
;;"1";"Ouwehand, E.";"10482";"242";"854";"337";"105";"316";"310";"2506";"1188";"371";"324";"1091";"403";"139";"169";"284";"684";"230";"228";"701"
;;"2";"Kostić, I.";"1489";"9";"68";"53";"10";"37";"56";"343";"90";"22";"32";"416";"50";"16";"18";"16";"52";"14";"68";"119"
;;"3";"Teunissen, C.";"455";"7";"35";"18";"3";"12";"17";"110";"54";"13";"26";"36";"18";"4";"13";"7";"24";"10";"10";"38"
;;"4";"Wassenberg, F.P.";"155";"2";"13";"5";"0";"1";"7";"40";"22";"3";"6";"14";"7";"1";"5";"9";"8";"4";"0";"8"
;;"5";"Akerboom, E.S.";"624";"17";"37";"10";"3";"14";"19";"188";"126";"22";"39";"39";"12";"0";"11";"9";"50";"12";"4";"12"
;;"6";"van Raan, L.";"264";"17";"48";"8";"1";"1";"10";"48";"46";"1";"8";"22";"2";"0";"9";"24";"7";"2";"2";"8"
;;"7";"van Schaik, M.";"231";"1";"27";"6";"3";"7";"11";"71";"23";"6";"5";"30";"10";"1";"5";"6";"5";"1";"2";"11"
;;"8";"Krijger, A.L.";"622";"8";"70";"21";"4";"15";"58";"175";"66";"19";"10";"54";"4";"3";"16";"18";"34";"16";"8";"23"
;;"9";"Plusquin, P.S.M.L.";"62";"0";"6";"2";"0";"1";"3";"24";"3";"4";"3";"4";"0";"0";"0";"1";"5";"1";"1";"4"
;;"10";"Groenewege, P.J.L.";"17";"1";"4";"1";"1";"0";"0";"2";"3";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0"
;;"11";"van Heuven, M.";"22";"1";"3";"0";"1";"1";"3";"4";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"2";"2"
;;"12";"van Hassel, F.";"24";"0";"1";"0";"2";"2";"0";"4";"3";"2";"0";"4";"1";"0";"0";"0";"3";"0";"1";"1"
;;"13";"Bunnik, R.J.";"80";"2";"3";"2";"0";"2";"2";"25";"11";"4";"0";"15";"0";"2";"1";"0";"4";"2";"3";"2"
;;"14";"Schmeets, H.H.J.";"35";"0";"1";"0";"0";"1";"2";"8";"2";"0";"1";"7";"0";"0";"3";"0";"2";"0";"5";"3"
;;"15";"Pınar, K.";"86";"2";"8";"1";"0";"2";"2";"29";"13";"5";"2";"8";"2";"1";"2";"0";"3";"2";"0";"4"
;;"16";"Jones, M.G.";"43";"0";"3";"1";"0";"0";"5";"16";"7";"1";"2";"4";"0";"0";"0";"0";"1";"0";"1";"2"
;;"17";"Bosma, J.";"69";"3";"7";"4";"1";"0";"3";"23";"4";"1";"2";"6";"2";"0";"0";"5";"4";"0";"2";"2"
;;"18";"Barker, R.N.";"10";"0";"0";"0";"0";"1";"0";"4";"1";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Wijlandt, K.";"10";"0";"1";"0";"0";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2"
;;"20";"Batteau, J.M.";"22";"1";"0";"2";"1";"0";"1";"7";"1";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"4"
;;"21";"Hollebeek, J.P.";"17";"0";"1";"0";"0";"0";"0";"6";"2";"4";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0"
;;"22";"Dicke, I.M.";"56";"1";"4";"3";"0";"3";"1";"17";"7";"3";"1";"1";"3";"1";"1";"0";"6";"1";"0";"3"
;;"23";"Salemans, B.R.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Bersch, F.";"9";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"2"
;;"25";"de Gram, F.";"5";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"26";"Krediet, L.";"31";"1";"4";"3";"0";"0";"2";"10";"3";"0";"0";"1";"2";"0";"0";"0";"2";"1";"1";"1"
;;"27";"de Vos, D.J.C.";"61";"0";"8";"2";"1";"2";"0";"16";"10";"2";"1";"3";"2";"1";"1";"3";"1";"1";"0";"7"
;;"28";"van der Velde, M.C.";"11";"0";"1";"0";"1";"0";"0";"3";"2";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0"
;;"29";"van Viegen, A.H.K.";"10";"1";"0";"1";"1";"0";"0";"2";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"25";"1";"1";"0";"0";"0";"2";"9";"3";"3";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0"
;;"31";"Veenstra, M.";"18";"1";"3";"0";"0";"0";"0";"2";"1";"0";"0";"1";"2";"0";"0";"0";"1";"3";"1";"3"
;;"32";"Vlasveld, A.I.";"15";"1";"0";"0";"0";"0";"1";"6";"3";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"7";"0";"1";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"32";"0";"4";"1";"0";"0";"1";"9";"2";"1";"0";"3";"2";"0";"0";"2";"5";"2";"0";"0"
;;"35";"van der Pluijm, L.C.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"11";"0";"0";"0";"0";"1";"0";"4";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"1"
;;"37";"Pallandt, C.M.J.";"11";"0";"0";"0";"0";"0";"0";"4";"2";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1"
;;"38";"Pechler, W.I.";"8";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2"
;;"39";"van Lierop, J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"40";"Spruit, V.";"76";"0";"2";"16";"2";"1";"0";"9";"2";"25";"0";"4";"0";"0";"0";"1";"11";"0";"0";"3"
;;"41";"Kuijer, B.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"46";"0";"9";"14";"1";"1";"4";"6";"4";"1";"0";"1";"0";"2";"1";"1";"1";"0";"0";"0"
;;"43";"Oudshoorn, J.";"3";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"11";"0";"1";"0";"0";"0";"1";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"45";"Samshuijzen, E.";"5";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"46";"Brouwer, M.";"9";"0";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"16";"0";"4";"1";"0";"0";"0";"5";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1"
;;"48";"Rozema, J.G.";"7";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"11";"0";"1";"1";"0";"0";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0";"2";"2";"0";"0"
;;"50";"Minnaert, X.D.E.";"53";"1";"6";"3";"0";"3";"0";"13";"1";"2";"3";"6";"3";"0";"1";"2";"4";"0";"0";"5"
"9";"ChristenUnie";;;"6771";"437";"486";"138";"71";"112";"146";"743";"1257";"174";"154";"796";"892";"42";"72";"149";"525";"38";"233";"306"
;;"1";"Bikker, M.H.";"5108";"349";"330";"106";"53";"91";"65";"558";"950";"135";"135";"593";"717";"36";"40";"97";"400";"29";"200";"224"
;;"2";"Grinwis, P.A.";"133";"9";"7";"2";"3";"1";"0";"12";"29";"5";"3";"21";"21";"1";"0";"4";"11";"0";"2";"2"
;;"3";"Ceder, D.G.M.";"683";"29";"99";"12";"6";"3";"69";"81";"123";"15";"7";"58";"43";"2";"25";"28";"56";"2";"12";"13"
;;"4";"te Rietstap, A.H.";"20";"2";"1";"1";"1";"0";"1";"3";"2";"0";"0";"5";"2";"0";"0";"0";"2";"0";"0";"0"
;;"5";"Gooijer-Medema, J.K.";"184";"10";"8";"0";"2";"4";"5";"23";"38";"2";"3";"25";"33";"1";"1";"3";"14";"2";"2";"8"
;;"6";"Drost, N.";"38";"4";"3";"2";"1";"1";"0";"3";"7";"0";"0";"8";"3";"0";"0";"4";"1";"0";"1";"0"
;;"7";"Holtman, T.S.";"10";"2";"1";"0";"0";"1";"1";"2";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
;;"8";"Otter-van den Bosch, C.";"21";"2";"1";"0";"0";"0";"1";"5";"3";"0";"0";"3";"2";"0";"0";"1";"2";"0";"0";"1"
;;"9";"van der Graaf, S.J.F.";"146";"4";"9";"1";"1";"4";"2";"16";"23";"3";"2";"31";"20";"0";"0";"4";"12";"2";"3";"9"
;;"10";"Klein, M.C.A.";"92";"6";"0";"0";"2";"0";"0";"2";"13";"0";"0";"15";"14";"0";"0";"0";"1";"0";"3";"36"
;;"11";"Niesink, C.C.M.";"13";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"3";"3";"0";"0";"0";"1";"0";"1";"0"
;;"12";"Setz, J.N.";"4";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van der Krift, H.J.C.";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"1"
;;"14";"Langen, A.L.";"7";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"15";"Koppejan, E.J.A.";"10";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1"
;;"16";"van Wageningen, E.";"4";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Tijhof, B.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"de Reus, W.T.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"26";"0";"6";"0";"0";"0";"0";"2";"8";"1";"0";"1";"3";"0";"1";"0";"4";"0";"0";"0"
;;"20";"Treurniet, M.";"4";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Palland, A.S.";"7";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"2"
;;"22";"Westerbeek, A.E.";"12";"0";"1";"1";"0";"0";"0";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"23";"Muilwijk, I.";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"24";"Westerink-Petersen, J.";"5";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Berg, G.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
