"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"35";"Hartsuiker, R.J.J.";"14";"0";"2";"0";"0";"1";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"1";"1"
;;"36";"Klein Lankhorst, H.";"49";"1";"4";"3";"2";"3";"0";"6";"4";"0";"3";"6";"2";"2";"0";"1";"4";"0";"5";"3"
;;"37";"Haverkort, E.A.";"19";"1";"2";"0";"0";"0";"0";"1";"1";"3";"2";"0";"1";"0";"0";"1";"3";"2";"0";"2"
;;"38";"Simons, C.";"10";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1"
;;"39";"Bijenhof, Y.";"32";"1";"6";"0";"1";"0";"2";"2";"6";"1";"2";"2";"2";"0";"0";"1";"2";"1";"0";"3"
;;"40";"van Groningen, D.A.";"59";"0";"4";"0";"0";"5";"1";"5";"3";"0";"4";"3";"5";"7";"2";"0";"4";"1";"2";"13"
;;"41";"Zeeuw van der Laan, E.M.";"298";"0";"3";"1";"11";"5";"1";"12";"3";"0";"8";"154";"14";"25";"0";"0";"1";"4";"18";"38"
;;"42";"Volkman, Y.";"20";"2";"4";"0";"1";"1";"0";"3";"2";"1";"0";"2";"0";"0";"2";"0";"1";"0";"0";"1"
;;"43";"van Kessel, P.W.";"271";"3";"1";"39";"1";"11";"0";"137";"16";"8";"26";"3";"2";"0";"0";"1";"12";"8";"0";"3"
;;"44";"Rahimi, H.";"102";"1";"13";"3";"5";"1";"1";"13";"16";"0";"6";"11";"3";"2";"1";"1";"1";"1";"4";"19"
;;"45";"Omlo, B.F.";"4";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"22";"0";"4";"0";"1";"0";"0";"5";"1";"0";"1";"2";"3";"0";"0";"0";"1";"1";"1";"2"
;;"47";"Nelisse, R.M.L.";"22";"0";"0";"2";"0";"1";"0";"3";"3";"2";"0";"2";"1";"0";"1";"0";"3";"0";"2";"2"
;;"48";"de Wit, B.G.P.";"50";"3";"3";"3";"3";"0";"0";"9";"4";"4";"1";"0";"2";"6";"0";"2";"1";"0";"2";"7"
;;"49";"van Meerten-Kok, M.A.";"390";"0";"1";"1";"11";"6";"1";"5";"2";"0";"5";"9";"24";"19";"0";"0";"1";"1";"5";"299"
;;"50";"Hoogezand, B.";"13";"1";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0"
;;"51";"Achterbergh, M.";"278";"4";"4";"1";"0";"0";"1";"8";"240";"0";"1";"2";"0";"0";"0";"7";"7";"1";"0";"2"
