"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
;;"18";"Ellian, U.";"55";"0";"2";"1";"1";"1";"0";"0";"0";"6";"4";"4";"1";"2";"0";"3";"0";"6";"6";"0";"4";"1";"0";"2";"0";"3";"2";"0";"4";"1";"1";"0"
;;"19";"Michon-Derkzen, I.J.M.";"28";"0";"1";"0";"0";"1";"1";"1";"1";"5";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"5";"1";"2";"0";"0";"0";"1";"0";"1";"0";"1";"3"
;;"20";"Martens-America, C.";"28";"0";"0";"0";"0";"0";"1";"3";"0";"5";"0";"0";"0";"2";"1";"2";"0";"0";"1";"0";"0";"0";"1";"3";"0";"2";"1";"1";"2";"0";"2";"1"
;;"21";"Meulenkamp, W.J.H.";"12";"1";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"de Groot, P.C.";"28";"0";"0";"0";"0";"0";"1";"0";"0";"7";"0";"1";"1";"3";"0";"0";"0";"1";"0";"0";"2";"0";"6";"0";"0";"0";"0";"0";"4";"0";"2";"0"
;;"23";"Kisteman, A.";"25";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"3";"2";"0";"0";"5";"1";"0";"1";"1";"3";"1";"0";"0";"0";"0";"0";"4";"0";"1"
;;"24";"de Kort, A.H.J.";"95";"5";"1";"0";"2";"0";"3";"5";"2";"14";"1";"0";"3";"6";"0";"3";"0";"8";"10";"0";"7";"1";"1";"4";"0";"2";"2";"2";"5";"7";"1";"0"
;;"25";"van den Hil, J.";"42";"2";"1";"0";"0";"0";"2";"1";"1";"10";"0";"1";"0";"4";"0";"0";"0";"7";"5";"0";"1";"0";"1";"0";"0";"1";"0";"1";"4";"0";"0";"0"
;;"26";"Valstar, P.J.";"29";"1";"0";"0";"1";"0";"0";"2";"1";"3";"0";"0";"0";"2";"0";"0";"0";"3";"2";"0";"0";"0";"5";"1";"1";"0";"0";"0";"0";"7";"0";"0"
;;"27";"Bevers, H.";"13";"0";"0";"0";"1";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1"
;;"28";"Buijsse, M.R.G.";"117";"0";"0";"5";"44";"0";"7";"1";"0";"2";"0";"0";"1";"3";"0";"0";"0";"10";"20";"0";"1";"0";"12";"3";"0";"0";"1";"0";"2";"5";"0";"0"
;;"29";"Dral, R.M.";"59";"1";"0";"1";"0";"0";"5";"3";"1";"14";"1";"0";"4";"4";"0";"0";"0";"3";"1";"0";"4";"0";"3";"3";"0";"0";"3";"2";"2";"3";"1";"0"
;;"30";"Bikkers, B.T.";"12";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"31";"Verkuijlen, R.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0";"1"
;;"32";"Richardson, S.M.";"44";"2";"2";"2";"1";"1";"0";"2";"3";"4";"1";"0";"0";"4";"0";"0";"0";"3";"3";"0";"1";"0";"0";"1";"4";"0";"2";"0";"6";"0";"2";"0"
;;"33";"de Beer, M.E.E.";"1699";"96";"26";"3";"0";"146";"0";"542";"36";"110";"29";"1";"4";"27";"23";"36";"15";"30";"8";"67";"4";"36";"9";"11";"12";"8";"27";"23";"131";"11";"58";"170"
;;"34";"van Strien, P.J.T.";"24";"0";"0";"0";"0";"0";"1";"3";"0";"12";"2";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"35";"Hartsuiker, R.J.J.";"12";"1";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"36";"Klein Lankhorst, H.";"11";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0"
;;"37";"Haverkort, E.A.";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"38";"Simons, C.";"14";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"2";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
;;"39";"Bijenhof, Y.";"20";"0";"0";"0";"0";"9";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1"
;;"40";"van Groningen, D.A.";"9";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"41";"Zeeuw van der Laan, E.M.";"14";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
;;"42";"Volkman, Y.";"13";"1";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"43";"van Kessel, P.W.";"14";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0"
;;"44";"Rahimi, H.";"19";"0";"0";"1";"1";"0";"1";"2";"0";"4";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
;;"45";"Omlo, B.F.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
