"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
;;"38";"Vrolijks, I.L.";"163";"3";"1";"1";"3";"2";"3";"15";"1";"45";"2";"2";"2";"4";"0";"3";"0";"18";"4";"4";"3";"1";"6";"2";"2";"2";"5";"4";"18";"2";"4";"1"
;;"39";"Smits, P.L.";"20";"0";"0";"0";"0";"0";"2";"1";"0";"6";"1";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0";"0";"1";"3";"0";"0";"0"
;;"40";"Nabih, M.";"17";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"4";"2";"0";"0"
;;"41";"Rietveld, M.D.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"Torunoglu, Y.";"48";"2";"0";"0";"0";"0";"0";"3";"0";"11";"0";"0";"0";"7";"0";"2";"0";"8";"3";"0";"3";"0";"0";"1";"0";"1";"2";"0";"0";"4";"0";"1"
;;"43";"de Bruijn, E.";"260";"4";"2";"1";"0";"2";"2";"19";"4";"45";"1";"1";"4";"14";"3";"3";"0";"23";"14";"3";"17";"3";"18";"4";"7";"4";"4";"3";"32";"10";"2";"11"
;;"44";"Bosman, E.M.";"17";"0";"0";"0";"0";"0";"0";"3";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"1";"0";"0"
;;"45";"Kuipers, C.M.";"15";"0";"1";"0";"2";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"46";"van Schalkwijk, M.W.";"31";"1";"0";"0";"0";"0";"1";"1";"0";"5";"0";"0";"0";"3";"0";"2";"0";"2";"4";"0";"1";"1";"2";"1";"1";"0";"0";"1";"2";"3";"0";"0"
;;"47";"van Son, L.J.M.";"40";"0";"0";"4";"0";"2";"0";"1";"2";"7";"1";"0";"0";"0";"0";"1";"0";"5";"1";"0";"1";"0";"2";"1";"1";"0";"1";"1";"9";"0";"0";"0"
;;"48";"Penninx, A.";"21";"0";"0";"0";"2";"0";"0";"1";"1";"5";"1";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"2"
;;"49";"Roozendaal, H.";"147";"1";"1";"0";"7";"0";"33";"4";"0";"6";"0";"58";"0";"1";"0";"3";"0";"5";"5";"0";"2";"0";"2";"4";"3";"1";"1";"1";"4";"1";"3";"1"
;;"50";"van de Wolde, F.";"55";"1";"0";"0";"0";"0";"0";"0";"4";"13";"0";"2";"1";"5";"0";"1";"2";"7";"5";"0";"2";"0";"0";"3";"2";"0";"5";"0";"1";"0";"1";"0"
"4";"PVV (Partij voor de Vrijheid)";;;"217216";"9203";"3241";"2962";"2943";"6586";"3142";"16625";"10192";"16679";"3582";"1161";"3454";"10057";"2358";"6087";"1275";"20055";"7270";"2430";"9169";"3257";"7932";"7241";"5303";"4853";"7628";"2699";"18387";"9629";"4279";"7537"
;;"1";"Wilders, G.";"200627";"7903";"2991";"2773";"2745";"6102";"2878";"15237";"9505";"15554";"3292";"1062";"3233";"9331";"2167";"5647";"1180";"18747";"6726";"2247";"8487";"3021";"7276";"6662";"4909";"4546";"7069";"2529";"16988";"8890";"4004";"6926"
;;"2";"Agema, M.";"6834";"173";"100";"85";"104";"196";"155";"434";"219";"530";"115";"50";"120";"359";"61";"158";"26";"627";"303";"59";"351";"83";"345";"272";"190";"140";"228";"62";"563";"391";"118";"217"
;;"3";"van Meetelen, R.F.";"420";"5";"4";"3";"3";"7";"7";"25";"10";"39";"5";"4";"8";"28";"4";"15";"0";"30";"23";"2";"26";"6";"27";"19";"9";"4";"28";"4";"26";"30";"7";"12"
;;"4";"Markuszower, G.";"149";"63";"0";"4";"1";"2";"0";"13";"5";"13";"1";"1";"3";"3";"0";"0";"1";"8";"6";"0";"2";"0";"3";"0";"3";"0";"1";"1";"11";"0";"1";"3"
;;"5";"Bosma, M.";"2518";"61";"39";"31";"30";"57";"57";"192";"98";"202";"36";"32";"34";"156";"22";"73";"25";"204";"76";"19";"137";"38";"101";"90";"56";"61";"97";"28";"229";"98";"50";"89"
;;"6";"Claassen, R.A.B.";"2862";"567";"50";"14";"17";"122";"2";"335";"211";"81";"44";"1";"21";"67";"69";"97";"14";"43";"31";"52";"58";"50";"33";"84";"57";"41";"118";"49";"265";"50";"55";"164"
;;"7";"Faber, M.H.M.";"210";"4";"2";"2";"2";"3";"2";"14";"5";"25";"1";"0";"3";"13";"2";"3";"2";"23";"11";"4";"15";"3";"8";"8";"2";"6";"9";"0";"16";"15";"2";"5"
;;"8";"Mulder, E.";"44";"1";"1";"0";"1";"2";"1";"4";"2";"5";"0";"0";"0";"2";"0";"1";"0";"5";"1";"1";"0";"0";"5";"4";"0";"0";"2";"0";"4";"1";"1";"0"
;;"9";"Maeijer, V.";"130";"1";"1";"1";"1";"2";"2";"10";"6";"17";"1";"1";"2";"11";"0";"5";"1";"8";"5";"4";"12";"0";"9";"3";"5";"2";"3";"3";"4";"4";"3";"3"
;;"10";"van Dijck, A.P.C.";"44";"1";"0";"1";"1";"0";"1";"2";"0";"4";"0";"0";"1";"2";"0";"0";"0";"9";"2";"0";"4";"1";"3";"2";"1";"0";"1";"0";"4";"2";"0";"2"
;;"11";"Kops, A.";"57";"0";"0";"0";"2";"0";"12";"5";"1";"3";"0";"6";"1";"3";"2";"2";"1";"0";"1";"0";"1";"0";"4";"2";"1";"1";"0";"0";"7";"2";"0";"0"
;;"12";"Madlener, B.";"20";"2";"1";"1";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"3";"3";"0";"0"
;;"13";"de Jong, L.W.E.";"67";"2";"3";"0";"0";"4";"0";"3";"7";"10";"0";"1";"1";"3";"0";"7";"0";"3";"1";"0";"2";"2";"0";"1";"1";"5";"0";"0";"5";"3";"1";"2"
;;"14";"Graus, D.J.G.";"686";"18";"9";"3";"6";"27";"2";"184";"38";"42";"6";"0";"3";"24";"11";"14";"7";"17";"11";"14";"21";"10";"4";"12";"22";"16";"24";"8";"75";"11";"7";"40"
;;"15";"Blaauw, R.B.";"21";"0";"0";"1";"0";"1";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"1";"0";"2";"0";"0";"0";"2";"0";"5";"0";"1";"0"
;;"16";"de Roon, R.";"12";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"3";"0";"0";"0"
;;"17";"van Dijk, E.";"16";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"2";"0";"2";"0";"0";"2";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0"
;;"18";"de Vree, J.H.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"19";"Aardema, M.";"14";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"2";"1";"0";"0";"0"
;;"20";"van der Velde, M.K.";"97";"5";"1";"2";"1";"1";"4";"5";"1";"5";"1";"0";"0";"6";"0";"0";"0";"12";"5";"0";"4";"1";"6";"6";"1";"2";"1";"0";"14";"5";"4";"4"
;;"21";"van der Hoeff, P.H.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"22";"Deen, M.";"18";"1";"1";"0";"0";"1";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"4";"0";"0";"1"
;;"23";"Nijhof-Leeuw, J.M.";"65";"1";"1";"2";"0";"3";"0";"5";"4";"3";"1";"0";"1";"2";"0";"1";"0";"8";"4";"0";"3";"0";"4";"3";"1";"1";"1";"1";"8";"2";"2";"3"
;;"24";"Boon, M.C.H.";"13";"0";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"2";"1";"0";"1"
;;"25";"Mooiman, J.";"35";"1";"0";"0";"1";"1";"0";"4";"0";"4";"1";"0";"0";"0";"0";"0";"0";"4";"5";"0";"0";"0";"1";"3";"1";"1";"1";"0";"5";"2";"0";"0"
;;"26";"Ram, D.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Vlottes, E.";"8";"1";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Smitskam, P.";"6";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Esser, E.R.F.";"18";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"3";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"1";"0";"1";"3";"0";"0"
;;"30";"Boutkan, W.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van den Born, V.H.";"6";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"32";"Crijns, P.P.";"879";"376";"7";"6";"1";"37";"4";"104";"66";"21";"4";"0";"4";"7";"10";"21";"14";"5";"0";"18";"7";"8";"3";"12";"10";"6";"23";"0";"54";"7";"6";"38"
;;"33";"van Haasen, J.P.";"7";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"34";"Vondeling, M.";"64";"1";"1";"0";"0";"0";"0";"7";"2";"3";"1";"1";"1";"1";"1";"1";"1";"9";"4";"1";"3";"3";"2";"1";"0";"4";"2";"0";"3";"8";"0";"3"
;;"35";"Valize, J.J.T.M.";"485";"3";"0";"22";"4";"3";"6";"5";"0";"3";"1";"0";"8";"16";"0";"4";"1";"204";"16";"0";"17";"2";"43";"29";"16";"9";"3";"1";"15";"54";"0";"0"
;;"36";"Heutink, H.D.";"8";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1"
;;"37";"Pool, J.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Faddegon, C.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"40";"Rep, R.J.H.H.";"13";"0";"0";"1";"0";"2";"0";"2";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0"
;;"41";"Thiadens, F.M.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"Raijer, A.J.";"64";"3";"0";"0";"0";"3";"0";"4";"0";"10";"2";"0";"0";"3";"2";"2";"0";"4";"4";"0";"2";"10";"3";"1";"2";"0";"1";"1";"4";"3";"0";"0"
;;"43";"van Bijnen, H.M.";"355";"1";"23";"3";"0";"5";"0";"9";"4";"83";"67";"0";"1";"4";"2";"27";"0";"2";"0";"4";"4";"15";"4";"3";"5";"2";"4";"3";"49";"0";"13";"18"
;;"44";"van Hattem, A.W.J.A.";"16";"1";"0";"0";"1";"0";"0";"0";"2";"3";"0";"0";"3";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
;;"45";"van Strien, G.A.";"293";"4";"4";"5";"22";"0";"5";"7";"3";"5";"0";"1";"3";"4";"0";"1";"1";"62";"29";"2";"5";"1";"39";"16";"8";"1";"7";"5";"7";"42";"1";"3"
"5";"CDA";;;"22287";"496";"696";"336";"341";"313";"402";"1015";"502";"1567";"444";"174";"496";"848";"212";"570";"128";"1674";"1012";"337";"951";"443";"1331";"924";"504";"382";"766";"393";"1723";"1700";"782";"825"
;;"1";"Bontenbal, H.";"13985";"349";"106";"238";"261";"213";"330";"772";"343";"1123";"259";"150";"296";"627";"131";"229";"94";"1211";"791";"230";"685";"304";"885";"590";"320";"271";"479";"249";"1005";"510";"465";"469"
;;"2";"Vedder, E.C.";"548";"7";"5";"7";"17";"8";"14";"27";"12";"56";"12";"8";"19";"25";"12";"5";"2";"34";"25";"7";"30";"10";"34";"17";"7";"11";"21";"12";"36";"19";"26";"23"
;;"3";"Boswijk, D.G.";"78";"2";"3";"3";"3";"3";"1";"1";"1";"9";"1";"0";"2";"7";"1";"1";"0";"5";"6";"2";"3";"0";"4";"2";"1";"0";"4";"0";"9";"2";"1";"1"
;;"4";"van Dijk, I.";"403";"9";"1";"4";"10";"15";"21";"14";"11";"15";"3";"3";"16";"18";"3";"6";"0";"26";"44";"6";"30";"8";"34";"18";"14";"4";"13";"4";"23";"7";"13";"10"
;;"5";"Krul, H.M.";"62";"3";"0";"0";"0";"2";"0";"7";"1";"6";"2";"0";"0";"5";"0";"6";"0";"1";"4";"1";"4";"2";"2";"2";"1";"1";"0";"0";"3";"2";"3";"4"
;;"6";"Palland-Mulder, H.M.";"52";"1";"1";"0";"0";"0";"2";"0";"0";"7";"3";"0";"2";"4";"2";"4";"1";"1";"1";"0";"0";"2";"1";"2";"0";"6";"0";"1";"6";"1";"3";"1"
;;"7";"van den Brink, G.";"31";"1";"0";"1";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"6";"0";"2";"3";"0";"0";"2";"2";"1";"2";"2";"2"
;;"8";"Absil, M.G.J.A.C.";"3328";"27";"5";"72";"26";"27";"17";"53";"36";"87";"13";"8";"107";"102";"18";"9";"8";"307";"98";"17";"145";"26";"321";"260";"90";"61";"72";"10";"66";"1143";"45";"52"
;;"9";"Steen, H.S.";"20";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"2";"2"
;;"10";"Kuik, A.";"47";"0";"1";"1";"10";"2";"2";"3";"0";"3";"0";"0";"2";"3";"1";"0";"0";"5";"1";"0";"2";"2";"1";"0";"1";"0";"1";"0";"2";"0";"4";"0"
;;"11";"Spoelstra, J.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1"
;;"12";"Slootweg, E.J.";"9";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0"
;;"13";"Chaoui-Nhass, S.";"15";"0";"0";"0";"0";"1";"0";"2";"1";"0";"2";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0"
;;"14";"Zwinkels, J.M.";"21";"2";"1";"0";"0";"0";"1";"1";"0";"2";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"2";"0";"0";"0";"0";"0";"3";"1";"0";"0"
;;"15";"Diederen, R.";"3434";"89";"571";"10";"10";"40";"7";"98";"88";"220";"143";"0";"49";"48";"42";"302";"20";"62";"23";"69";"31";"87";"35";"23";"65";"25";"162";"88";"548";"9";"212";"258"
;;"16";"Hamstra, S.";"13";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1"
;;"17";"Houmes, E.S.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"18";"van den Berg, J.H.C.";"10";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"de Haan, J.D.P.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
;;"20";"Vermeer, J.";"5";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van der Heide, E.J.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"22";"Goos, J.C.M.";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"22";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"7";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"25";"Segers-Hoogendoorn, R.G.C.";"11";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"26";"van Gijssel, A.K.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"27";"Goudriaan, L.H.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van Lagen, M.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"29";"van der Spek, A.M.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
;;"30";"Out, F.M.S.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"34";"van den Oever, J.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"12";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"2";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"7";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"37";"van Luik, D.A.N.";"25";"0";"1";"0";"1";"0";"3";"6";"0";"2";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"0";"0"
;;"38";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Bracke, D.G.A.J.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"15";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"2";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0"
;;"45";"Meppelink, E.M.";"22";"0";"0";"0";"2";"0";"1";"2";"2";"4";"1";"0";"0";"1";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0"
;;"46";"van Dijk, Q.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"7";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"15";"1";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0";"0";"2";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"6";"SP (Socialistische Partij)";;;"23940";"949";"307";"287";"312";"703";"521";"2665";"939";"2249";"375";"210";"293";"1173";"223";"579";"176";"1870";"1082";"303";"916";"352";"993";"700";"492";"397";"662";"278";"1945";"757";"491";"741"
;;"1";"Marijnissen, L.M.C.";"20371";"796";"273";"260";"279";"593";"460";"2108";"801";"1929";"317";"194";"254";"971";"188";"487";"160";"1636";"967";"246";"787";"305";"850";"585";"427";"340";"566";"239";"1642";"674";"424";"613"
;;"2";"Beckerman, S.M.";"462";"12";"4";"3";"11";"16";"11";"63";"14";"50";"8";"5";"4";"20";"3";"6";"1";"36";"28";"5";"21";"14";"23";"15";"3";"4";"11";"7";"36";"13";"4";"11"
;;"3";"van Kent, B.";"83";"2";"1";"0";"0";"5";"2";"7";"1";"15";"3";"0";"0";"3";"1";"3";"0";"10";"6";"1";"2";"0";"3";"2";"1";"1";"2";"1";"9";"0";"2";"0"
;;"4";"Dijk, J.P.";"89";"6";"2";"1";"0";"2";"3";"18";"2";"5";"0";"0";"2";"2";"2";"0";"0";"10";"6";"0";"6";"1";"2";"0";"2";"0";"1";"0";"13";"0";"1";"2"
;;"5";"van Nispen, M.";"56";"0";"1";"1";"0";"2";"0";"6";"4";"5";"0";"0";"0";"3";"1";"2";"0";"5";"0";"0";"6";"0";"1";"0";"1";"1";"2";"0";"7";"3";"0";"5"
;;"6";"Dobbe, S.E.M.";"211";"8";"2";"2";"3";"3";"9";"20";"3";"30";"4";"1";"2";"10";"0";"6";"1";"28";"13";"3";"4";"2";"10";"7";"6";"7";"5";"1";"10";"6";"2";"3"
;;"7";"Temmink, N.G.J.";"96";"4";"0";"1";"1";"0";"3";"11";"3";"13";"0";"0";"0";"5";"0";"2";"0";"13";"3";"0";"6";"1";"5";"1";"2";"2";"2";"0";"12";"1";"1";"4"
;;"8";"ten Broeke, M.J.";"16";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"1"
