"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"48";"de Wit, B.G.P.";"28";"0";"3";"1";"2";"0";"0";"1";"1";"2";"0";"3";"0";"2";"1";"0";"1";"3";"0";"0";"0";"3";"4";"1"
;;"49";"van Meerten-Kok, M.A.";"18";"0";"0";"8";"1";"1";"0";"1";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"50";"Hoogezand, B.";"8";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
;;"51";"Achterbergh, M.";"18";"0";"0";"4";"5";"0";"0";"1";"2";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"52";"Wendel, H.";"33";"0";"2";"11";"8";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"3";"2";"1"
;;"53";"Kohli, N.R.";"138";"2";"14";"18";"6";"4";"0";"3";"1";"2";"3";"16";"26";"0";"3";"11";"4";"6";"2";"0";"12";"3";"0";"2"
;;"54";"Klerks, I.C.";"11";"0";"1";"1";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
;;"55";"Dijkema, H.M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"56";"Elkerbout, A.";"21";"0";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0";"3";"2";"0";"0";"1";"1";"0"
;;"57";"van Rijn, D.";"137";"1";"0";"90";"1";"3";"0";"0";"1";"0";"0";"13";"0";"0";"1";"1";"0";"10";"11";"1";"0";"1";"2";"1"
;;"58";"Aptroot, B.W.";"21";"0";"5";"4";"1";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"3";"1";"1";"0";"1";"0";"1"
;;"59";"de Regt, L.H.P.";"11";"0";"0";"2";"3";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
;;"60";"van Veen, J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
