"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"4";"van Dijk, I.";"251";"2";"6";"18";"21";"10";"6";"13";"4";"12";"9";"11";"9";"5";"4";"4";"5";"29";"13";"9";"16";"15";"23";"7"
;;"5";"Krul, H.M.";"59";"0";"1";"6";"7";"2";"0";"1";"2";"2";"1";"0";"6";"2";"0";"2";"1";"10";"0";"1";"5";"0";"6";"4"
;;"6";"Palland-Mulder, H.M.";"85";"1";"4";"6";"10";"0";"2";"3";"1";"3";"1";"1";"2";"3";"1";"3";"5";"14";"2";"4";"6";"3";"7";"3"
;;"7";"van den Brink, G.";"18";"0";"0";"4";"3";"1";"1";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"2";"1";"0";"0"
;;"8";"Absil, M.G.J.A.C.";"32";"0";"3";"5";"0";"1";"1";"2";"0";"0";"2";"0";"3";"0";"1";"2";"0";"2";"2";"1";"1";"2";"2";"2"
;;"9";"Steen, H.S.";"40";"1";"2";"2";"0";"2";"1";"1";"1";"2";"3";"2";"2";"0";"1";"3";"1";"2";"1";"3";"3";"3";"3";"1"
;;"10";"Kuik, A.";"78";"1";"2";"5";"10";"5";"2";"1";"2";"1";"3";"3";"5";"2";"1";"4";"3";"5";"1";"1";"3";"6";"7";"5"
;;"11";"Spoelstra, J.";"17";"0";"0";"2";"2";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"2";"0";"1";"2";"0";"0";"1"
;;"12";"Slootweg, E.J.";"26";"0";"0";"6";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"14";"1";"0";"1";"0";"1";"0"
;;"13";"Chaoui-Nhass, S.";"62";"0";"1";"8";"1";"0";"0";"2";"3";"0";"1";"3";"2";"0";"1";"0";"0";"35";"3";"0";"0";"0";"0";"2"
;;"14";"Zwinkels, J.M.";"100";"0";"2";"8";"4";"1";"0";"2";"1";"1";"4";"2";"0";"0";"2";"5";"0";"45";"3";"1";"5";"4";"5";"5"
;;"15";"Diederen, R.";"15";"0";"3";"2";"0";"0";"0";"0";"0";"1";"1";"2";"4";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"16";"Hamstra, S.";"14";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"2";"0";"0";"1";"1";"1";"1"
;;"17";"Houmes, E.S.";"18";"0";"1";"0";"3";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"2";"0";"2";"2";"0";"1";"2"
;;"18";"van den Berg, J.H.C.";"33";"0";"3";"1";"3";"2";"0";"4";"1";"1";"2";"1";"0";"0";"0";"2";"0";"4";"0";"3";"2";"2";"1";"1"
;;"19";"de Haan, J.D.P.";"10";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0"
;;"20";"Vermeer, J.";"625";"1";"0";"5";"0";"0";"1";"2";"5";"2";"0";"6";"3";"0";"1";"0";"2";"577";"18";"0";"1";"0";"0";"1"
;;"21";"van der Heide, E.J.";"45";"0";"0";"15";"6";"2";"0";"0";"0";"0";"1";"5";"2";"1";"0";"2";"2";"2";"2";"2";"1";"1";"0";"1"
;;"22";"Goos, J.C.M.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"23";"Boogaard, P.";"125";"0";"2";"0";"0";"0";"1";"0";"0";"1";"3";"0";"0";"0";"1";"0";"2";"2";"1";"2";"3";"104";"0";"3"
;;"24";"Goudzwaard-Wiersma, W.";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2"
;;"25";"Segers-Hoogendoorn, R.G.C.";"50";"0";"2";"3";"8";"2";"0";"2";"0";"1";"0";"2";"6";"1";"4";"4";"1";"1";"1";"1";"5";"2";"2";"2"
;;"26";"van Gijssel, A.K.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"70";"0";"4";"2";"1";"0";"0";"0";"0";"0";"1";"0";"1";"5";"35";"0";"2";"0";"0";"1";"8";"1";"0";"9"
;;"28";"van Lagen, M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van der Spek, A.M.";"71";"0";"0";"1";"3";"6";"2";"2";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"51";"1"
;;"30";"Out, F.M.S.";"10";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"113";"0";"0";"3";"1";"0";"0";"0";"22";"0";"2";"0";"7";"0";"1";"65";"1";"0";"2";"0";"2";"1";"1";"5"
;;"32";"Tuncer, Y.";"48";"0";"0";"3";"0";"1";"0";"0";"2";"1";"0";"0";"36";"0";"1";"0";"2";"1";"0";"0";"1";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"34";"van den Oever, J.A.";"15";"0";"0";"1";"1";"0";"0";"5";"1";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"5";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Beers, A.M.A.G.";"16";"0";"0";"2";"3";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"2";"0"
;;"37";"van Luik, D.A.N.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"7";"0";"1";"0";"1";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"43";"Bracke, D.G.A.J.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Joosten, J.P.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"45";"Meppelink, E.M.";"26";"0";"2";"1";"6";"1";"0";"2";"0";"0";"0";"0";"1";"1";"1";"0";"4";"0";"0";"0";"2";"5";"0";"0"
;;"46";"van Dijk, Q.A.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"7";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"48";"Siegmann, A.H.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"18";"1";"3";"0";"2";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"3";"3";"0";"2"
"6";"SP (Socialistische Partij)";;;"21122";"265";"752";"1856";"2361";"741";"180";"391";"576";"616";"772";"863";"1271";"403";"399";"1521";"751";"1203";"237";"726";"1852";"1486";"468";"1432"
;;"1";"Marijnissen, L.M.C.";"18414";"247";"655";"1507";"2008";"633";"147";"358";"504";"550";"686";"733";"1074";"358";"361";"1308";"669";"1036";"204";"643";"1642";"1368";"439";"1284"
;;"2";"Beckerman, S.M.";"617";"6";"21";"60";"86";"15";"12";"9";"14";"19";"19";"24";"35";"9";"15";"42";"21";"38";"8";"35";"52";"38";"9";"30"
;;"3";"van Kent, B.";"131";"0";"3";"23";"24";"5";"0";"4";"0";"3";"3";"8";"6";"0";"0";"8";"6";"11";"4";"4";"7";"4";"0";"8"
;;"4";"Dijk, J.P.";"67";"1";"1";"13";"6";"3";"0";"0";"3";"1";"4";"4";"4";"0";"0";"2";"4";"4";"0";"1";"8";"4";"1";"3"
;;"5";"van Nispen, M.";"91";"1";"3";"2";"20";"8";"0";"0";"2";"6";"2";"1";"6";"4";"3";"5";"2";"2";"1";"1";"9";"8";"1";"4"
;;"6";"Dobbe, S.E.M.";"208";"3";"7";"13";"37";"7";"1";"4";"8";"7";"2";"8";"20";"6";"2";"13";"10";"7";"4";"10";"14";"8";"1";"16"
;;"7";"Temmink, N.G.J.";"125";"0";"7";"10";"20";"7";"2";"1";"3";"1";"4";"1";"6";"8";"2";"9";"0";"13";"1";"8";"5";"8";"2";"7"
;;"8";"ten Broeke, M.J.";"26";"0";"1";"2";"6";"0";"1";"0";"0";"1";"0";"0";"2";"1";"0";"2";"1";"2";"0";"0";"4";"0";"0";"3"
;;"9";"van Dijk, J.J.";"84";"1";"2";"7";"10";"5";"1";"0";"4";"2";"2";"7";"7";"0";"2";"11";"4";"4";"0";"2";"6";"1";"0";"6"
;;"10";"Meijer, B.W.V.";"52";"0";"1";"9";"3";"5";"1";"1";"1";"1";"1";"4";"1";"2";"0";"1";"1";"6";"0";"2";"5";"1";"2";"4"
;;"11";"Elfrink, G.E.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1"
;;"12";"Wolters Gregório, J.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"13";"Boerwinkel, E.M.J.";"15";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"3";"1";"1";"1";"1";"0";"0"
;;"14";"Alberts, R.";"33";"0";"2";"5";"2";"2";"1";"1";"1";"2";"1";"2";"1";"0";"0";"4";"0";"2";"0";"1";"4";"0";"1";"1"
;;"15";"van der Nat, H.F.A.";"11";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"16";"Memiş, M.";"59";"0";"4";"4";"17";"3";"0";"0";"1";"1";"3";"6";"8";"1";"0";"1";"0";"2";"0";"0";"5";"0";"0";"3"
;;"17";"van Dijk, D.";"51";"1";"3";"3";"6";"5";"2";"0";"1";"2";"2";"1";"3";"0";"0";"2";"0";"10";"1";"1";"5";"1";"1";"1"
;;"18";"de Ridder, N.";"53";"2";"1";"3";"6";"1";"1";"1";"2";"6";"1";"1";"3";"3";"3";"4";"2";"3";"0";"2";"3";"2";"0";"3"
;;"19";"Yahyaoui, J.";"80";"0";"2";"9";"9";"3";"0";"0";"2";"1";"6";"4";"12";"1";"2";"8";"2";"2";"1";"0";"13";"3";"0";"0"
;;"20";"van Boven, A.W.";"15";"0";"0";"1";"4";"0";"1";"0";"0";"0";"0";"2";"2";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2"
;;"21";"Coppus, T.H.C.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"10";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1"
;;"24";"Coşkun, T.S.J.";"89";"0";"8";"4";"7";"1";"0";"1";"7";"2";"5";"2";"10";"0";"2";"1";"4";"2";"1";"1";"17";"3";"0";"11"
;;"25";"van den Hout, S.G.";"12";"0";"0";"0";"1";"0";"0";"0";"3";"0";"1";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"26";"van der Wijk, N.H.F.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"27";"Verdaasdonk, I.";"29";"0";"1";"1";"8";"1";"0";"1";"1";"0";"0";"1";"2";"1";"1";"2";"1";"2";"0";"1";"0";"3";"0";"2"
;;"28";"van Rossum, L.";"176";"1";"1";"109";"7";"1";"0";"0";"1";"0";"0";"6";"7";"1";"0";"0";"0";"21";"7";"1";"7";"2";"1";"3"
;;"29";"Rongen, K.S.";"8";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"30";"van Hooft, J.W.H.";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Cramer, A.";"19";"1";"2";"1";"2";"1";"0";"0";"0";"1";"0";"5";"0";"0";"0";"0";"0";"3";"0";"0";"2";"1";"0";"0"
;;"32";"van Scheltinga, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Unen, G.";"7";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0"
;;"36";"van der Veen, J.";"4";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"37";"Zandvliet, S.K.D.S.";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"8";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"39";"Boer, M.I.";"9";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1"
;;"40";"Ramesar, J.S.";"49";"0";"4";"7";"5";"1";"0";"0";"1";"0";"9";"6";"4";"0";"0";"3";"3";"4";"0";"0";"2";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"17";"0";"1";"10";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"44";"de Man, W.J.";"81";"0";"2";"0";"2";"0";"0";"0";"6";"0";"0";"0";"8";"0";"1";"54";"0";"2";"1";"0";"2";"0";"0";"3"
;;"45";"Hendriks-Berg, A.M.G.";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"46";"de Vries, E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"47";"Eikenaar, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Courbois, P.A.O.";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"50";"Leijten, R.M.";"418";"1";"18";"38";"52";"25";"10";"7";"6";"5";"18";"17";"42";"7";"3";"33";"18";"14";"3";"5";"31";"27";"9";"29"
"7";"Forum voor Democratie";;;"18318";"295";"727";"1113";"1645";"521";"308";"457";"461";"481";"686";"749";"1085";"392";"385";"945";"616";"1650";"217";"789";"1440";"1355";"626";"1375"
;;"1";"Baudet, T.H.P.";"12984";"223";"550";"774";"1160";"400";"201";"301";"311";"337";"511";"522";"819";"273";"274";"725";"461";"1037";"146";"550";"1065";"953";"431";"960"
;;"2";"Jansen, F.J.H.";"327";"5";"14";"23";"31";"7";"7";"24";"10";"6";"11";"11";"10";"14";"7";"10";"1";"32";"3";"15";"38";"25";"10";"13"
;;"3";"van Meijeren, G.F.C.";"3515";"42";"117";"207";"302";"74";"64";"65";"107";"104";"125";"167";"197";"73";"67";"149";"107";"423";"54";"158";"234";"265";"126";"288"
;;"4";"van Houwelingen, P.";"460";"7";"14";"40";"43";"15";"9";"10";"10";"19";"14";"15";"14";"4";"13";"23";"12";"47";"5";"26";"39";"38";"14";"29"
;;"5";"Dekker, R.J.";"310";"3";"9";"20";"25";"11";"9";"12";"10";"6";"7";"13";"12";"7";"4";"12";"10";"35";"3";"15";"20";"22";"16";"29"
;;"6";"de Vos, L.G.";"161";"6";"3";"10";"11";"3";"2";"6";"3";"2";"5";"7";"10";"2";"3";"5";"9";"18";"1";"7";"15";"17";"6";"10"
;;"7";"Russcher, T.K.";"18";"0";"0";"2";"0";"0";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"3"
;;"8";"Etalle, M.J.S.";"7";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"9";"Bakir, A.";"48";"0";"1";"6";"3";"1";"4";"1";"2";"0";"0";"1";"2";"3";"0";"2";"0";"5";"0";"3";"3";"5";"3";"3"
;;"10";"Dessing, J.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
;;"11";"Vastenhouw, J.";"5";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"12";"Al Biyati, I.";"18";"0";"0";"0";"1";"0";"0";"0";"2";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"5";"1";"1";"1"
;;"13";"de Knegt, R.E.R.";"7";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"6";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1"
;;"18";"Koopman, P.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1"
;;"20";"van den Boomgaard, M.R.";"16";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"2";"0";"3";"0";"2";"0";"0";"1";"2"
;;"21";"Pichel, R.J.";"36";"0";"1";"0";"16";"1";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"2";"0";"0";"1";"2";"5";"3";"0"
;;"22";"Hoogzand, E.S.J.";"41";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"5";"1";"2";"27"
;;"23";"Mierop, G.L.";"37";"0";"0";"0";"25";"2";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"2";"0";"0"
;;"24";"Brown, C.";"29";"0";"7";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"1";"0";"0";"4";"5";"0";"0"
;;"25";"Kegel, E.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Bakker, S.A.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2"
;;"27";"de Lange, A.K.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"10";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Luurssen, G.A.A.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"14";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"2";"1";"1"
;;"35";"Vos, A.V.B.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"29";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"25";"0";"0";"2";"0";"0";"0"
;;"39";"Nijman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"12";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0"
;;"43";"van de Breevaart, J.O.";"85";"6";"2";"0";"6";"1";"10";"27";"0";"2";"3";"1";"1";"6";"0";"1";"4";"5";"0";"3";"0";"2";"5";"0"
;;"44";"Schaap, D.V.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"5";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"46";"Zwitser, T.";"26";"0";"0";"6";"4";"2";"0";"4";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"2";"1"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"22";"0";"0";"4";"5";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"3";"0";"0";"0";"3";"1";"0"
;;"49";"Cliteur, P.B.";"34";"0";"1";"4";"0";"2";"0";"2";"0";"0";"1";"3";"3";"2";"0";"1";"1";"3";"2";"0";"2";"3";"1";"3"
"8";"Partij voor de Dieren";;;"13630";"153";"445";"1911";"1770";"431";"100";"221";"317";"291";"398";"722";"899";"189";"324";"697";"395";"887";"201";"454";"772";"945";"316";"792"
;;"1";"Ouwehand, E.";"9996";"109";"344";"1208";"1242";"326";"75";"176";"249";"236";"311";"498";"626";"142";"242";"528";"282";"691";"155";"369";"586";"729";"240";"632"
;;"2";"Kostić, I.";"612";"2";"26";"108";"93";"20";"2";"5";"12";"10";"14";"29";"62";"5";"14";"34";"28";"29";"10";"10";"25";"32";"17";"25"
;;"3";"Teunissen, C.";"553";"8";"8";"100";"44";"16";"6";"9";"14";"11";"15";"59";"42";"8";"11";"27";"11";"53";"6";"11";"20";"29";"7";"38"
